[00:00] claude裡面的Skill他本質上就是在做這樣的事情
[04:16] 每一步做什麼都非常的清楚
[04:18] 還有相關的規則跟我設定的條件
[04:22] 產出的格式是Word檔一次會產出三份
[04:25] Word的文件所以一份Skill就是一個
[04:27] 超級詳細的SOP把所有專業知識
[04:30] 流程步驟品質標準都寫進去接下來
[04:33] 下一段實際上在claude裡面他總共有
[04:37] 五種擴充機制Skill只是其中一種而已
[04:40] 分別是這五種第一個就是claude.md
[04:44] 他就是一個全域的背景知識設定
[04:48] 最重要最重要整體的規則通常都會
[04:52] 記錄在這個文件裡面這個文件要
[04:54] 怎麼寫其實是有很多技巧的你可以
[04:57] 上網搜尋一下再來就是我們今天
[04:59] 介紹Skill有需要的時候我們才會
[05:01] 載入這個使用說明再來你會很常
[05:04] 聽到的MCP他有點像是一個接口
[05:08] 可以讓我們連接外部工具跟外部的
[05:11] 工具去做聯繫比如說可以連接到
[05:13] Google或是Obsidian在不同的工具
[05:16] 之間去做連接再來Hooks就是腳本
[05:19] 固定時間做固定的事全自動再來
[05:23] Plugin就是上面所有東西一次全部
[05:26] 打包成一個套件叫做Plugin那他們
[05:29] 是層層包裹的關係最外層是Plugin
[05:32] 所以Plugin裡面包含了Skills Hooks
[05:35] MCP的Server還有我們的Commands而
[05:38] claude.md就是全域的設定這東西很
[05:42] 重要但是你又不能寫太多大家大概
[05:44] 知道一下有這五層就好了我們今天
[05:47] 主要談論的是Skills
[05:48] Skills簡單的分
[05:50] 我把它分成兩種一種是對話型Skills
[05:53] 另外一種是檔案型Skills為什麼
[05:55] 會這樣分是因為在我們上面這個
[05:58] claude chat裡面他所有的資料都是
[06:00] 存在雲端的所以你在這個claude chat
[06:03] 裡面建立的Skills大部分都是屬於
[06:06] 對話型Skills而你這個Skills就會
[06:08] 存在雲端你不管在哪個視窗開出來
[06:11] 這些技能全部都會同步而另外兩個
[06:14] 像cowork還有claude code他是本地端
[06:17] 我們所有的對話都會存在我們現在
[06:20] 本地這個資料夾這個檔案裡面所以
[06:23] 你在cowork跟在claude code裡面
[06:25] 創建Skills沒有辦法直接同步到
[06:29] 雲端上面去也沒有辦法同步到別臺
[06:32] 電腦去我們之後會教別的同步的方式
[06:35] 但是一開始使用的時候你必須要
[06:38] 區分出這兩種就是claude chat裡面的
[06:41] Skills是在雲端的而cowork跟claude
[06:44] code這兩個Skills跟檔案有關的都是
[06:47] 在本地所以你在創建Skills的時候
[06:50] 你必須要弄清楚你這個Skills是
[06:52] 對話型的還是檔案型的那很簡單
[06:55] 我們區分方式是這件事情需不需要
[06:58] 動到我電腦裡面的檔案所以像剛剛的
[07:02] 出題技能的話只靠對話claude利用
[07:05] 他本身的能力就可以完成不需要
[07:08] 動到電腦裡面檔案那另外一種的話
[07:10] 你需要讀取或產生本地檔案的話
[07:13] 就屬於檔案型的Skills很簡單的
[07:15] 區分就是對話型的全部都能用
[07:17] 檔案型的話只有在cowork跟Code裡面
[07:20] 使用那我們簡單的舉兩個例子
[07:22] 比如說對話型Skills我們來寫一份
[07:25] 食譜的Skills幫我創建一個Skills
[07:27] 當我提到食物名字的時候會自動
[07:32] 上網幫我搜尋食物的食譜做法
[07:36] 還有食譜的圖片像這樣的一個Skills
[07:39] 的話你基本上只要靠對話就能夠
[07:42] 達成那因為我現在是在claude Code裡面
[07:45] 創建的Skills所以這個Skills他就
[07:47] 只會放在claude Code裡面所以如果
[07:49] 你想要在claude Chat能夠使用的話
[07:52] 你必須要上傳這個Skills到雲端上面去如果
[07:55] 你不知道怎麼做的話你就問claude
[07:57] 他會幫你搞定
[07:58] 創建好了接下來
[08:00] 允許接下來他會告訴我怎麼樣使用
[08:04] 因為我是在本地端claude Code裡面
[08:07] 去寫這個Skills所以我們是這樣子
[08:09] 呼叫Skills Skills設定好之後都要
[08:12] 重開一次claude重開之後番茄炒蛋
[08:15] 你只要直接打上我們食物的名字
[08:19] 或是一道菜的名稱不需要讀任何檔案
[08:24] 不需要產生Word或PDF純粹靠對話
[08:27] 跟搜尋來完成好所以他會自動觸發
[08:30] 這個Skills完成食譜
[08:32] 提供照片來當做參考
[08:35] 那如果你想要連同這個照片
[08:38] 跟食譜做成檔案的話
[08:40] 那你只要跟他講更新這個技能
[08:43] 最後食譜跟照片會輸出成
[08:46] 一個PDF檔案下載到這個資料夾裡面來
[08:51] 我們通常在創建技能的時候
[08:52] 你可以邊使用邊更新
[08:54] 不滿意馬上可以改
[08:55] 你在claude Chat裡面
[08:57] 也可以生成檔案
[08:58] 只不過那個檔案是先暫存在雲端
[09:00] 之後你開完對話之後再從雲端下載
[09:03] 我覺得最大的差別在於說
[09:06] 我們能不能在本地端讀取檔案
[09:08] 來去使用這個技能
[09:10] 所以真正厲害的技能應該是檔案型技能
[09:13] 差別在於說
[09:14] 會動到電腦裡面檔案
[09:15] 所以需要安裝套件要執行Python
[09:18] 要寫出PDF所以只能夠在CodeWorks
[09:21] 跟claude Code裡面跑
[09:22] 所以你在寫Skills的時候
[09:24] 你一定要分清楚
[09:25] 有的Skills是需要用到特殊的功能
[09:28] 他不見得能夠在claude Chat雲端上面跑
[09:32] 我個人建議以後我們新建技能的時候
[09:34] 都盡量在claude Code裡面去建立技能
[09:37] 基本上比較複雜的工作流程
[09:40] 應該都會在這個地方完成
[09:42] 因為像這種要安裝程式啊
[09:45] 跑一些本地端的功能的話
[09:47] 在claude Chat裡面是無法使用
[09:49] 你所有的技能可以在側邊欄的地方
[09:52] 去看你的Customize可以看到你所有的技能
[09:55] 技能是能夠下載還有安裝的
[09:57] 在我的直播裡面其實有詳細的
[10:00] 去講到技能的範例
[10:02] 如果大家有興趣的話
[10:03] 可以點上面連結觀看我的直播影片
[10:05] 簡單回顧一下技能會動到電腦裡面檔案嗎
[10:09] 如果需要的話我們都在CodeWalk
[10:11] 跟claude Code裡面使用
[10:13] 再來預告一下Skills還能夠串接
[10:16] 其他的外部工具比如說像Google日曆啊
[10:19] Gmail啊 Obsidian筆記本啊
[10:22] 或是自動執行排程任務
[10:24] 我們後面都還在講
[10:25] 我們今天先搞懂Skills
[10:28] 你只要是需要重複做有固定流程的
[10:32] 都可以把它做成是一個Skills
[10:33] 來大量簡化你的工作
[10:36] 好以上就是今天影片的全部內容
[10:38] 如果你想要關注claude基本功
[10:41] 訂閱按讚還有分享哦
[10:43] 我們下期再見拜拜
