[00:00] OpenCode的Zen方案裡面最好的是這個。
[11:56] 所以你就自己去安裝這些懶人包,
[11:58] 好不好?那相關懶人包的安裝跟設定,
[12:02] 可以去我頻道裡面看我的Claude Code的懶人包裡面有教
[12:06] 大家。
[12:08] 算了,好人做到底,等我一下。
[12:10] 好,來。
[12:12] 今天你要使用這懶人包的話,
[12:14] 你必須要去看這個播放清單。
[12:16] 這播放清單是Claude Code的播放清單。
[12:19] 如果你想要去使用這個懶人幫你,
[12:22] 必須要先去看這個影片。
[12:23] 比如說,你要裝NotebookLM的MCP
[12:27] 的話,你就要去看這一集,
[12:29] 會教你怎麼裝。
[12:30] 如果你要去註冊GitHub的話,
[12:32] 你要去看這一集。
[12:34] 他會教你怎麼註冊GitHub。
[12:36] 再來,你的第二大腦筆記的話,
[12:39] 你必須要去看第七集跟第八集。
[12:41] 他會教你怎麼去安裝Obsidian。
[12:44] 再來,連接資料庫的話,
[12:46] 你要去看第0.95集。
[12:48] 像這樣,他會教你怎麼樣去裝這個Firebase
[12:52] 資料庫。
[12:53] 再來很重要的第10集是一定要看,
[12:55] 第10集就是我們使用AI Agents的一個觀念。
[12:58] 觀念的統整,這邊有一個小時。
[13:00] 這一部片是你一定要看的。
[13:01] 所以如果說你想要學習AI Agents的話,
[13:04] 這幾部片都要去看。
[13:05] 看完之後呢,才來去安裝這個懶人包。
[13:10] 你才知道懶人包是要怎麼樣去安裝。
[13:12] 好,這個懶人包是這樣子去使用的。
[13:15] OK,再來,接下來,OpenCode裡面。
[13:19] 那你裝完這個懶人包之後,
[13:20] 因為上你就可以上網了。
[13:22] 那我今天一樣我新增一個專案給大家看。
[13:25] 所以我在我的C槽。
[13:29] 新增一個專案,叫做OpenCode。
[13:31] OpenCode。
[13:32] 今天是0523。
[13:33] 新增一個專案資料夾OpenCode0523。
[13:37] 等下我們在OpenCode裡面做的專案,
[13:40] 我們就是以這個資料夾為主。
[13:41] 所以我們在左邊的地方開啟專案就按這個加號,
[13:45] 我們就可以開啟專案。
[13:46] 小克並不是第二大腦,小克是我的agent。
[13:50] 小克的部分會另外找時間另外開一集小克的,
[13:54] 但是小克應該是在別的場次會講小克。
[13:58] 目前暫時這一兩月的直播跟我的教學影片是不會講
[14:02] 小克的,但小克現在已經很厲害了。
[14:04] 小克現在已經超強的小克,
[14:06] 進化不到幾版的小克了。
[14:08] 那但是我今天不會談小克。
[14:11] 今天我們最主要是講OpenCode。
[14:13] 那如果你想要聽別的工具的話,
[14:15] 就請,請,
[14:16] 請,請,請,請,請,請,請,請,請,請,
[14:17] 請,請,請,請,請關注我的YouTube頻道。
[14:19] 在左邊的地方開啟專案,
[14:21] 這邊開啟專案的話就選我們今天在C槽,
[14:25] 我們剛剛新增的OpenCode0523的專案,
[14:29] 選它。
[14:30] 完全是一樣的。
[14:32] 所以現在就在這個專案裡面。
[14:35] 那你的OpenCode裡面是有免費方案的,
[14:39] 我現在來解釋一下。
[14:40] 免費方案就是我們這個OpenCode的方案裡面有給兩個
[14:45] 免費的AI。
[14:46] 第一個分別是Deepseek V4 Flash。
[14:49] 那之前的四個免費啊,
[14:52] 只剩下兩個可以用。
[14:56] 另外兩個已經被收掉了。
[14:59] 所以我說免費的不穩定就是這個意思。
[15:02] 有時候我們不是很清楚說它什麼時候會收走。
[15:07] 免費的用意就是我利用你的對話資料來當作是我的訓
[15:12] 練資料。
[15:13] 所以我什麼時候取消我並不知道。
[15:17] 那目前還有得用的免費是這兩個。
[15:19] 第一個是Deepseek V4 Flash。
[15:21] 我覺得Deepseek V4非常好用。
[15:25] 很聰明。
[15:27] 那另外一個這個Neotron 3 Super Free這個是
[15:31] NVIDIA的AI。
[15:32] 這個是免費讓大家試用。
[15:34] 那免費讓大家試用的狀況下也是一樣。
[15:37] 你也不曉得他什麼時候收走。
[15:38] 所以我們免費是這樣。
[15:40] 就是我們去使用他們讓大家適用的方案。
[15:45] 然後這個適用的方案,我們的對話紀錄會被他拿去當作
[15:49] 訓練資料。
[15:49] 你才有辦法免費使用。
[15:51] 那所有付費的AI,他都不會拿你的對話資料去適用。
[15:57] 那再來,等一下你會看到所有陸版的AI。
[16:01] 所有陸版的AI的伺服器全部都是在美國。
[16:04] 所以大家在這邊你會看到使用陸版的AI的話,
[16:09] 它的伺服器都在美國並不是在中國,
[16:11] 所以這一點大家可以放心。
[16:13] 那如果你對於陸版的AI有疑慮的話,
[16:16] 你就不要使用陸版的AI就好了。
[16:18] 那我今天等一下會試用陸版的AI給大家看。
[16:22] 那陸版AI其實蠻好用的,
[16:24] 老實說。
[16:25] 蠻好用的,又便宜又好用。
[16:28] 好,那他們是把伺服器都架在美國,
[16:31] 所以所有資料都是到美國。
[16:33] 好,所以免費的方案是這樣。
[16:35] 那主力的話就是這個。
[16:37] 那再來,你在點到這個AI的旁邊的時候,
[16:41] 它會出現資源。
[16:42] 這個意思是說,它的多模態是什麼。
[16:45] 那它多模態的話,像這個AI是沒有多模態的。
[16:48] 也就是說它並沒有資源圖片跟影片。
[16:50] 所以它只看得懂文字,它只能夠處理文字。
[16:54] 所以你丟給它圖片,它是不認得的。
[16:57] 所以我們使用免費AI,目前為止你能夠用到的就是純文字
[17:02] 的AI模型並沒有資源多模態。
[17:06] 所以免費的狀況下,你能夠用的當然是受到限制的。
[17:09] 可是我老實跟大家說,你如果只處理文字的部分,
[17:14] 光是這個免費的AI就非常好用。
[17:16] 如果以只處理文字來說,
[17:19] 不處理圖片的話,我覺得已經非常好用了。
[17:22] 甚至你要省額度的狀況下,
[17:24] 你就是比較簡單的工作,
[17:25] 你開這個免費出來做,大部分的狀況下都做得很好。
[17:28] 像這個Deepseek V4 flash,
[17:30] 我覺得已經很強很好用了。
[17:32] 我有很長一段時間都使用它。
[17:35] 那下方的話,Open router是第三方的API
[17:39] 供應商。
[17:40] 它也有提供免費的,但是大部分的免費都不太能用。
[17:44] 我必須要老實跟大家說。
[17:45] 所以這個Open router的話,
[17:47] 我個人覺得以免費方案來說,
[17:50] 你加它只是為了能夠去使用Open
[17:54] Zen的這兩個免費AI模型而已。
[17:57] 大部分的狀況下,它並沒有很好用。
[17:59] 好,那你要怎麼樣去增加新的模型呢?
[18:03] 我們就是在這個地方設定,
[18:05] 設定的地方點它。
[18:07] 那OpenCode的話,它的供應商最主要有兩個,
[18:10] 好,然後這裡的話,設定的話我們這邊自動接受權限把它
[18:15] 打開,就是會比較方便一點。
[18:18] 然後再來,這邊有一個提供者跟供應,
[18:20] 提供者跟模型,來,我們先按提供者。
[18:22] 提供者的話這邊就是供應商。
[18:25] 那我有申請一個Opencode zen的API是
[18:29] 免費的。
[18:30] 那我進來之後,你們現在看到是這樣。
[18:33] 那我等一下要試用付費的兩種模型給大家看。
[18:37] 那付費兩種模型的話,就是在今天這一集,
[18:41] 我最主要就是試這兩種給大家看。
[18:43] 然後再來,之後的話我會以本地端模型,
[18:49] 然後接OpenCode,然後實驗給大家看。
[18:52] 如果今天你用本地端的模型,
[18:54] 用OpenCode的話,可以用嗎?
[18:56] 這是在第三集之後,我會去做這樣的嘗試。
[18:59] 我們OpenCode就是以第三方低成本跟免費為主的
[19:04] Agents去發展。
[19:06] 好,來,
[19:08] 現在我就不要使用這OpenRouter了,
[19:11] 所以我就把它中斷連線。
[19:13] 中斷連線,所以等一下中斷好了,
[19:15] 已經連線了,中斷連線
[19:17] 了。來,現在我要使用的是OpenCodeZen。
[19:21] OpenCodeZen是你要儲值才能夠使用,
[19:25] 用多少算多少。
[19:27] 再來,OpenCode是訂閱制。
[19:30] 你訂閱方案之後,會像我們現在的主流模型一樣。
[19:35] 它會有每5小時的使用額度,
[19:39] 會有每一週的使用額度。
[19:41] 所以兩種方案是不一樣的。
[19:43] 這個是儲值制,就是你儲值錢之後用多少算多少。
[19:47] 這個是你每個月固定是10美金,
[19:51] 第一個月是5美金。
[19:52] 所以等一下我給大家試,
[19:54] 第一個月5美金。
[19:55] 所以我花160塊是OpenCode的Go給大家看。
[20:00] 這個是台幣  塊一個月的這個,
[20:03] 聽嗎?那這個儲值的話,
[20:05] 原來上我就20美金了,除20美金。
[20:08] 這個是用多少算多少?
[20:10] 兩種都給大家看。
[20:12] 這兩種模型是不太一樣的。
[20:14] 那我們就要連線。
[20:16] 這時候OpencodeZen連線之後,
[20:18] 它會進到這個頁面來。
[20:19] 你必須要取得OpenCode的Zen方案的API
[20:24] 金鑰。
[20:24] 那去哪裡取得呢?
[20:25] 在這個網站裡面。
[20:27] 你就連到這個網站。
[20:28] 好,連到這個網站之後,
[20:29] 你會需要去註冊。
[20:31] 註冊後,按照我們登錄去註冊。
[20:35] 好,我註冊的話,我就是用我的Google帳號去註冊。
[20:38] 那註冊進來之後呢,我去儲值20美金。
[20:41] 好,Zen方案,儲值20
[20:43] 美金。來,我已經用掉了5美金多了。
[20:47] 那為什麼用到5美金多?
[20:48] 我等一下要跟大家講。
[20:49] 你有發生一點意外,所以這個是它的缺點之一,
[20:52] 我等一下跟大家說。
[20:54] 那用多少算多少的優點是這樣的。
[20:56] 用多少算多少優點是,你就是工作你不需要像我們每個
[21:01] 月20美元一樣。
[21:02] 因為每個月20美元有時候我真的沒有用完過,
[21:06] 我到現在為止我20美元我都沒有用完過,
[21:09] 為什麼呢?
[21:09] 因為我的工作是這樣,我現在有空我就做嘛。
[21:12] 做完我就放著,那我沒空的時候我就沒用,
[21:15] 那我有需要我就開出來。
[21:17] 我不會刻意把20美金的方案全部用完。
[21:22] 我知道在座你們有的人會有一種焦慮是說我付了
[21:25] 20美金的方案,我沒有用完我會覺得很可惜。
[21:29] 所以變成是你們就被20美金綁死。
[21:31] 你們快到齊的時候趕快拼命用,
[21:34] 然後把它用完。
[21:34] 浪費很多時間,做了很多無謂的事情。
[21:38] 所以實際上這也是一種浪費。
[21:42] 所以如果你是20美元都沒有用完的人,
[21:45] 也許你可以考慮這個ZEN方案。
[21:47] ZEN方案就是你儲值用多少算多少,
[21:50] 所以它沒有所謂的5小時額度跟週額度,
[21:54] 沒有。
[21:55] 它就用,就開始扣錢扣錢,
[21:56] 扣到完為止。
[21:58] 這樣大家了解嗎?
[21:59] 好,所以你在使用這個OpenCode的ZEN方案的時候,
[22:03] 你就要去想什麼方案又便宜又好用?
[22:07] 有,我跟你講有,又便宜又好用方案是有
[22:10] 的。很好用又扣很少錢的。
[22:13] 那有沒有又怪又貴又難用的呢?
[22:17] 有!我這邊直接點名又貴又難用的就是Gemini
[22:21] 3.5 Flash我用它一次大概就用掉我
[22:25] 4美金多。
[22:27] 為什麼?因為它不夠聰明,
[22:28] 所以變成是它在做一些事情的時候做了很多無謂的嘗試
[22:32] 那無謂的嘗試會一直扣我的錢。
[22:34] 所以我覺得這是它的缺點。
[22:36] 你用的不太好、不太適配的AI
[22:40] 去做工作的時候,
[22:41] 有時候一個工作卡在那邊會一直不斷的重複嘗試重複
[22:44] 嘗試那就會一直扣錢。
[22:46] 好這是它的缺點。
[22:48] 那你看到我現在14.76元。
[22:50] 裡面大概有4美金是Gmanai 3.5Flash
[22:54] 給我扣掉的。
[22:55] 因為我在試用它後來發現說Gmanai 3.5Flash
[22:59] 很貴。
[23:00] 其實它很貴。
[23:01] 但它很快。
[23:03] 所以它在使用的時候真的是Token是噴超快的。
[23:07] 所以我個人覺得你如果使用這個OpenCode
[23:10] 的Zen方案你要去找尋又便宜又可靠的
[23:14] AI。是有的,我等一下跟大家說,
[23:16] 哪一個模型是我覺得很好用的。
[23:19] 所以它這邊就會有一個餘額。
[23:21] 那用完它就不能用了。
[23:22] 所以你也不用怕說,我今天會什麼報帳單。
[23:26] 沒有,它就是你儲值多少用多少。
[23:29] 這樣。所以有些人是我可能一個禮拜可能只有兩三天
[23:32] 會用到AI而已。
[23:33] 你可以使用OpenCode方案,
[23:35] 然後來去使用Agents。
[23:37] 那也許你一個月都用不到20美金。
[23:39] 他就是用多少算多少。
[23:41] 所以也許有這樣的人。
[23:43] 那它資源的模型在這裡。
[23:45] 各位,你們先來看一下。
[23:46] 它資源的模型在這裡。
[23:48] Claude的hiku,最新的也都有。
[23:52] 4.6、4.7都有。
[23:53] CP值最高的是這個。
[23:55] 4.6,4.6就是又聰明又便宜。
[23:59] 這個CP值很高。
[24:00] 再來GPT系列全部都有。
[24:03] 我跟大家講,這個方案裡面最好的是哪一個你知道嗎?
[24:28] 那你想要做很聰明AI才能做的事情的時候,
[24:31] 你再去換。
[24:32] 換成5.4或是換成5.5都可以。
[24:35] 你再去換比較聰明一點去做大型的事情。
[24:38] 一般的事情5.4 Mini就做得非常的好,
[24:42] 而且它真的非常便宜,做事情每次都扣一點點而已,
[24:47] 扣0.01美金這樣而已,所以它是又便宜又好用,
[24:51] 我大推這個。
[24:52] 各位,如果你有訂閱OpenCode方案的話,
[24:55] 我大推使用這個模型,去當作是你日常處理事情的主力,
[25:00] 非常便宜又好用,大力推薦。
[25:03] 3.5Flash是有的先不要用我
[25:11] 不是說Google不好我覺得真的太貴了真的奉勸大家
[25:16] 不要用我前幾天用直接
[25:19] 給我噴掉4美金這邊免費的版本他也有提供
[25:25] V4 Flash Free這個GLM就是中國版的
[25:30] GPT,這個也蠻好的,這也蠻聰明的。
[25:33] 陸版的AI都蠻便宜、
[25:38] 蠻好用的。
[25:38] 那我個人推這兩個,Kimi2.6,
[25:41] 他很聰明,用量沒有很多,
[25:45] 他大概是差不多是比5.5弱一點點,
[25:49] 比那個Obs4.7弱一點點,
[25:51] 但是價格比較便宜。
[25:54] 再來又便宜又好用的是這個Mini Max 2.7,
[25:57] 這個也是非常好用。
[25:59] 它速度比較慢,但是又便宜又聰明。
[26:02] 這也是又便宜又聰明的。
[26:04] 所以在OpenAI的ZEN方案裡面,
[26:06] 我推薦Mini Max 2.7,又便宜又聰明。
[26:11] 再來這個KIMI 2.6,非常聰明不貴。
[26:17] GPT首選5.4mini,
[26:22] 又便宜又聰明。
[26:24] 其他大型的事情,
[26:27] Sonnet 4.6也相當好用。
[26:31] 所以你也可以自帶金鑰是可以的,
[26:36] 你也可以把你自己的OpenAI API Key放
[26:39] 在這邊來。所以如果你有訂閱Codex方案,
[26:43] 你可以把你OpenAI的方案接來這邊,
[26:47] 它就會用掉你的Codex方案在這裡。
[26:50] 所以你是可以接你自己的OpenAI。
[26:52] 這個anthopic的話,目前不行。
[26:55] 這個先不要。
[26:56] Google我有接,但是因為Google 3.5真的太貴了,
[26:59] 所以接的也沒什麼用。
[27:01] 3.5真的太貴了。
[27:04] 建議大家好好的用你的訂閱方案就好,
[27:07] 不要借API用。
[27:08] 好,所以這邊會有一個API Key。
[27:10] 再來有另外一個方案叫做Go方案,
[27:13] 它有兩種方案,一個是Zen,
[27:14] 一個是Go。Go方案的話,
[27:16] 現在第一個月是163塊。
[27:18] 那如果等一下你們想要試用看看的話,
[27:22] 可以使用我的邀請碼。
[27:23] 所以你可以獲得5塊錢的折扣。
[27:26] 那它第一個月的訂閱就是5塊錢美金。
[27:29] 從第二個月開始就10塊錢美金。
[27:32] 所以是別人20塊美金的一半。
[27:34] 你可以取得的效能當然不會只有一半。
[27:37] 如果你是輕度使用者的話,
[27:40] 月訂閱最便宜就是OpenCode的Go方案。
[27:44] OpenCode的Go方案的話,
[27:47] 有些模型可能是使用量化模型,
[27:50] 是比較沒那麼聰明的模型
[27:53] 但是一般工作上你應該是感覺不太出來,
[27:57] 除非你要做很難的事情。
[27:59] 但是我猜正在觀看我影片的你應該是不會是做很難事情
[28:04] 的人。
[28:05] 好,如果訂閱OpenGo方案是屬於便宜的月訂閱方案。
[28:10] 第一個月是5塊錢美金,
[28:11] 所以我花160塊試給大家看。
[28:14] 好,所以我一樣我給大家這個連結。
[28:17] 如果你有想要試試看OpenCode的話,
[28:21] 從第一個月160塊來試試看看。
[28:24] OpenGo的話,你訂閱之後你可以使用什麼方案呢?
[28:27] 這裡的話應該是OpenGo的模型在那裡。
[28:31] 了解更多。
[28:33] OpenGo的模型供應商,
[28:35] 有哪些呢?
[28:37] 沒寫。
[28:38] 沒寫沒關係,我們直接實戰。
[28:42] 所以這邊我們會設定一個API金鑰。
[28:45] 所以等一下我們在接模型的時候,
[28:48] 就是從這裡去得到一個API Key。
[28:50] 那API Key我這裡就不給大家看了。
[28:52] 不給大家看。
[28:53] 所以我就給定一個API Key把API Key複製起來接到這個
[28:57] 地方來接到這個地方來
