[00:00] claude基本功第四集串接Notebook LM進階應用五大情境
[00:06] 上一集我們已經把Notebook LM跟claude接起來了
[00:10] 但是大家一定會有個疑惑說
[03:06] 所以你看筆記本已經新建好在這裡
[03:08] 我們點他你看所有的內容都已經上傳了
[03:12] 包含我們的來源按右邊會有我們的測驗
[03:16] 還有報告全部都在這邊
[03:18] 其他的東西全部一起生成
[03:21] 這個就是我們使用 claude 的好處
[03:24] 我們可以一次做很多事情
[03:26] 資訊圖表全部生好了
[03:27] 語音摘要影片跟簡報會比較久
[03:30] 他完成了就會先下載
[03:31] 然後繼續等其他的作品
[03:34] 測驗下來之後是 json 檔
[03:36] 他會再寫一個程式去把它轉成 csv 檔
[03:40] 因為我要求他最後是 google 的試算表
[03:43] 完成之後再產生一份合併版
[03:45] 我們來看一下是不是已經好了
[03:48] 完成之後他直接下載
[03:50] 在我們現在這個目錄的資料夾
[03:52] 所以你會發現這個是完成的檔案
[03:55] 有記憶理解應用分析跟合併的
[03:59] 打開來看一下好完成
[04:01] 所以你看一下這邊試算表的話
[04:04] 就有關於這個題目選項解析
[04:07] 還有提示全部在試算表完成
[04:10] 所以你要再把它匯到別的平臺去
[04:13] 當做線上測驗是沒有問題的
[04:15] 將所有生成的內容下載
[04:17] 他執行到一半的時候你是可以再跟他講話
[04:20] 是沒有問題的
[04:21] 所以像我剛剛忘了跟他講說
[04:22] 其他內容要下載所以他工作到一半
[04:25] 你跟他講話他會排進去裡面
[04:27] 所以你不用擔心
[04:28] 所以你看中間他會安排進去其他工作
[04:31] 他不會說這個要全部做完他才會停
[04:34] 沒有你中間你要跟他講什麼
[04:36] 你直接打字輸入就好了
[04:37] 他會接收到訊息會在裡面做動態的調整
[04:40] 在不斷的回報進度給你
[04:42] 中間其實我沒有按任何的鍵
[04:44] 他就一直不斷的在工作
[04:45] 所以這邊多一個downloads的資料夾
[04:49] 我們點開來看內容有什麼
[04:51] 來你看我們的資訊圖表已經做好了
[04:54] 這個是報告報告還有MD檔
[04:56] 你可以跟他講說這個MD檔
[04:58] 把轉成Word檔將生成的報告
[05:01] MD檔轉成Word另存一樣
[05:04] 他做到一半你跟他講是沒有關係的
[05:07] 我們現在看一下資訊圖表
[05:08] 一次生成6張所以這個是每一個重點
[05:12] 就是一個資訊圖表你看
[05:14] 我所有的重點全部在這個地方
[05:16] 而且非常的精準6張一次完成
[05:20] 你看這麼漂亮真是超強
[05:22] 在生成同時我也講一下
[05:24] 現在等同是說你使用claude mcp
[05:28] 去叫google的notebookLM做事情
[05:31] 所以google的notebookLM
[05:33] 做的事情就是花google那邊帳號的額度
[05:37] 這邊會有花到額度就是你
[05:39] 跟notebookLM在做對話
[05:41] 然後把檔案下載回來或是
[05:43] 將檔案轉檔這些都是花claude的額度
[05:46] 那mcp的部分我個人給建議
[05:49] 就是不要裝太多mcp
[05:51] 因為mcp的話會很佔上下文的空間
[05:53] 你就裝那個你工作最需要的幾個就好
[05:56] 那我覺得notebookLM的mcp是很需要的
[05:59] 所以我就裝他那你千萬不要
[06:01] 到處去下載很多的mcp來裝
[06:04] 你用不到就不要裝
[06:05] 接下來他回報我音訊下載成功
[06:07] 影片還在處理先安裝工具
[06:10] 並轉換報告為word
[06:11] 好這裡我看到音訊總覽
[06:13] 直接下載到我的資料夾裡面
[06:15] 來報告的word檔也好了
[06:18] 點開來看一下好word檔
[06:20] 看起來沒什麼問題但是符號的部分
[06:23] 可能還要處理一下那我這邊就不示範了
[06:26] 你可以在claude的裡面跟他說
[06:28] 符號要用數學符號來表示
[06:31] 再來影片也完成了
[06:33] 當然這個影片是完全沒有任何問題的
[06:36] 總共是一部7分多鐘的影片
[06:38] 再來簡報也完成了
[06:40] 簡報的話會產生兩個檔
[06:41] 一個是pdf一個是powerpoint
[06:44] 點開來看一下好所以完全照
[06:47] 我的要求去生成這份簡報
[06:50] 也沒有任何的問題
[06:51] 簡報做的非常的漂亮非常的準確
[06:55] 老師們驗證一下內容是否正確
[06:57] 就可以拿來使用好所有工作都完成了
[07:01] 來最重要的是剛剛我是不是
[07:03] 一次叫他做很多事情
[07:05] 像這種我們會重複然後多步驟的事情
[07:08] 就會非常適合來做成skill
[07:11] 如果你不懂什麼是skill的話
[07:13] 請去看我影片的第二集
[07:15] 接下來我把所有事情做完一遍之後
[07:18] 確認沒有問題的我就跟他說
[07:20] 將上述的流程轉換成一個備課的技能
[07:25] 只要我提及說要做備課的教材
[07:27] 就幫我自動做上面所有的流程
[07:31] 用這樣的方式有個好處就是
[07:33] 你做完一遍覺得ok了
[07:35] 然後你再叫他把這整個流程
[07:37] 做成一個技能全部打包成一句話
[07:40] 就可以一次把這些事情全部都做完
[07:43] 所以他這個備課技能是放在全域的skill資料夾
[07:46] 所以在任何專案裡面都可以觸發他
[07:48] 把剛剛我所有的流程全部做成一個sop
[07:52] 全部打包起來接下來按確認
[07:55] 所以以後如果你有要使用notebook LM
[07:58] 做一大串的事情的話
[08:00] 你可以在這個地方先一步一步把它做完
[08:02] 做完之後你確認ok沒有問題了
[08:05] 你再叫他把剛剛的步驟全部打包成skill
[08:09] 這個skill在第二集裡面我說過了
[08:12] 這個就是屬於檔案型的skill
[08:14] 不是對話型的skill
[08:15] 所以在claude chat的雲端是沒辦法使用這個技能的
[08:19] 你一定要在claude code底下才能夠使用這個技能
[08:23] 所以我只要說了備課相關的
[08:25] 他就會一次幫我把它全部都做好
[08:28] 自動執行的流程有這七個預設風格
[08:30] 他也都幫我全部處理好
[08:32] 這個就是skill強大的地方
[08:34] 任何的場景都是這樣使用的
[08:37] 接下來我們來講第二個定時化
[08:40] 定時化的話因為我們在claude裡面
[08:43] 我們是可以設定時間讓他去定期跑一個任務
[08:47] 那我要跑任務我就是使用notebook LM裡面
[08:50] deep research來去追蹤教育的新趨勢
[08:54] 所以我們來試試看在左邊的地方
[08:56] 選這個schedule的點他選一個新任務
[09:01] 現在選的是local任務的名字
[09:03] 任務的描述大概打一下
[09:06] 接下來這邊會有設定這邊選全部同意
[09:10] 他執行模型不用那麼聰明
[09:12] 選sonnet就可以了資料夾的話
[09:15] 就是我最後輸出之後資料夾
[09:17] 選我們之前設定好的 notebook LM
[09:19] 時間的話不用每天啊一個禮拜
[09:22] 就可以選 weekdays 上午 9 點好
[09:25] create 接下來要執行的任務
[09:27] 把它打在這個地方使用 notebook LM
[09:30] 裡面的 deep research 功能去搜尋
[09:34] 有關於下列幾個關鍵字的深度研究
[09:38] 關鍵字如下教育 AI 代理人
[09:41] 教學應用 claude google AI 最新趨勢
[09:46] 最新消息將搜尋到的研究報告
[09:51] 匯出成文件下載下來轉成 word 檔
[09:55] 另外根據文件的內容製作一份簡報
[09:58] 也將簡報下載所有要做的事情
[10:01] 你把它打好在這個地方接下來選 create
[10:05] 所以這邊就做好了那做好之後
[10:07] 你想要看一下說他到底有沒有辦法跑
[10:09] 所以你可以先點他點他完之後
[10:12] 在右邊會有個 run now 可以先測試
[10:14] 跑一遍我們點選一樣啊自動製作
[10:17] 一個 todo list 然後開啟執行
[10:20] 我交代他的工作你看他調用 mcp
[10:23] notebookLM 他搜尋的是這三年的
[10:26] 可能我要改一下提示詞叫他只搜尋
[10:29] 最近一周的就好打開筆記本看一下
[10:32] 好看到了一個新的筆記本然後
[10:35] 正在做 deep research 接下來他在做的事情
[10:40] 就會產生文件下載還有簡報下載
[10:44] 我設定好之後接下來每個禮拜
[10:47] 他都會自動幫我跑一遍然後
[10:49] 會將檔案下載到我的資料夾裡面去
[10:52] 在 claude 裡面他是多工的對
[10:55] 他這邊在跑你可以不用管他
[10:57] 接下來我們來講第三個行動化
[10:59] 隨時隨地啟用手機下指令回家
[11:02] 就有成果為什麼這樣說是因為
[11:04] 在我們的 code work 裡面之前有提到
[11:07] 我們是可以用手機的 dispatch 來去操控
[11:11] code work 當你在選的時候你必須要
[11:13] 先選一個目錄目錄的話我們選 notebook lm
[11:16] 所以這邊選創造一個新的 project
[11:19] 選已經存在的目錄我們之前已經建好了
[11:22] 在 user 裡面的 notebook lm 點選選擇
[11:26] 最主要是使用 dispatch 將我交代的工作
[11:30] 由 notebook lm 來執行如果你有需要檔案的話
[11:35] 把檔案拖拉到這個地方來接下來按 create
[11:38] 你要怎麼樣遠端操控呢在我們左邊的地方
[11:41] 會有一個 dispatch 在我之前影片有提到過
[11:45] 這個 dispatch 要怎麼使用原則上就是
[11:48] 他會在你的手機裡面會開一個對話
[11:51] 所以我們可以在手機端去將我們想要
[11:55] 製作 notebook lm 的任何的檔案或是
[11:59] 我想要看到什麼東西想要記到 notebook lm
[12:02] 裡面的筆記本我就使用手機來去做操作
[12:05] 好現在看到是我的手機端我的手機端
[12:08] 有安裝 claude 所以我只要打開 claude
[12:11] 在 claude 有這個 dispatch 的功能
[12:14] 比如說我看到很好的影片內容
[12:17] 我想要把它存到 notebook lm 裡面去
[12:20] 幫我將這部影片的內容存到 notebook lm 去
[12:25] 並且製作一份簡報將簡報下載
[12:29] 我利用語音輸入在手機輸入這段訊息
[12:32] 按提交所以你會發現手機跟我的 claude
[12:35] 兩邊會同步這個訊息在電腦版這邊
[12:38] 就出現 read 這邊搜尋完成之後就沒有做了
[12:42] 需要調整一下讓他去匯入來源
[12:45] 再從這份報告裡面去產出簡報
[12:47] 這邊要稍微等一下因為在搜尋的過程
[12:50] 會需要些時間好完成看一下右邊
[12:55] 正在產出文件還有簡報好這是沒有問題的
[12:59] 這邊都沒有問題我就先跳過了
[13:01] 還有調整一下最新趨勢改成最近一周
[13:04] 這樣得到的內容會比較新好儲存
[13:07] 接下來以後他會自動自己跑
[13:09] 幫我總結一下這個資料夾裡面的檔案內容
[13:13] 檔案格式做一下簡單的總結
[13:17] 目前 cowork 怪怪的所以這個功能
[13:19] 之後再實驗給大家看但是你是可以做到
[13:22] 使用 dispatch 來去操控 notebook lm
[13:26] 接下來第四個串聯化跨工具的一個使用
[13:31] 所以你現在串了 notebook lm 可是
[13:34] 我的 claude 也有串其他的工具啊
[13:37] 比如說我有串第二大腦 obsidian
[13:39] 我也有串 github 所以我可以在好多工具之間
[13:44] 會自行去做資料的串接
[13:47] 打開我最近使用的五本 notebook lm 的筆記本
[13:51] 接下來他找到我最近使用的五本
[13:54] 那我現在需要這個教育 ai 代理人的教學應用最新趨勢
[13:59] 你直接點了就可以開了
[14:00] 但是我們不需要幫我將這本筆記本裡面的報告
[14:05] 儲存一份到我的 obsidian 筆記本裡面去
[14:09] 另外他的簡報幫我上傳一份 pdf 簡報到我的 github
[14:15] 去做留存筆記本名字跟我的 github 倉庫名稱
[14:20] 由你自行決定
[14:21] 我教他做的事情是從 notebook lm
[14:24] 存到我另外一個筆記本裡面去
[14:26] 然後將簡報的話上傳到我的 github 裡面去
[14:29] 關於這兩個應用在之後影片會講
[14:31] 但是你會看到說我是不是可以串起不同的工具
[14:35] 將 notebook lm 的內容放到不同的平臺去做相關的應用
[14:39] 提交完成兩件事都搞定了
[14:43] 第一個我的 obsidian 裡面新增一個 youtube 筆記
[14:48] 好完成了在我的筆記本裡面已經出現了
[14:52] 這一個教育 ai 代理人教學應用最新研究趨勢
[14:56] 所以我成功的從 notebook lm 做了 deep research
[15:00] 之後將這份報告存到我的另外一個筆記裡面去
[15:04] 簡報的話也上傳到了 github
[15:06] 他幫我新增一個倉庫將簡報傳到這個地方來
[15:10] 放到這邊就可以給別人下載了
[15:12] 超級方便一句話跨三個工具啊
[15:16] 這個就是 web 版做不到的事情
[15:19] 接下來我們來看最後一個規模化
[15:22] 我們可以一次看所有的筆記本
[15:24] 幫我整理 notebook lm 的全部的筆記本
[15:27] 幫我大概分類一下不常用的或是資料很少的
[15:32] 跟很常用資料很多的最後一個整理還有報告
[15:36] 所以我可以做到全部一起整理
[15:38] 但如果你使用網頁版的話
[15:40] 你就得一個一個去翻我 200 多本我要怎麼翻
[15:43] 他幫我寫成一份報告存到我的 obsidian 筆記裡面去
[15:47] 所以這邊就會有多這個筆記盤點完了
[15:51] 有強烈的 80 20 現象重度使用的只有 4 本
[15:56] 閒置資料金礦資料多但是沒動的有 10 本
[16:00] 清理候選的有 20 幾本可以批次刪除或合併
[16:04] 高頻使用的是這 4 本
[16:07] 閒置的話他建議我在前面加探索兩個字
[16:10] 然後三個月後自動歸到清理候選
[16:13] 這是我 obsidian 的 notebook lm 筆記本盤點報告
[16:17] 優先維護的是這幾個筆記本
[16:20] 資料多但超過兩個月沒動的有這麼多
[16:23] 這邊還給我行動建議要怎麼去處理
[16:26] 有分短期中期跟長期
[16:29] 幫我用前綴命名規則將所有筆記本重新命名
[16:34] 並且在前綴規則地方讓我大概知道一下
[16:37] 這個筆記本的重要程度
[16:40] 他給我命名的規則是這樣
[16:41] 上面會有星星然後會有分類
[16:43] 所以問我新等規則同意嗎
[16:45] 清理候選要不要直接納入命名
[16:48] 新等規則同意清理候選也納入命名
[16:51] 共享筆記的部分都不要改名字
[16:55] 本一次改完 ai 就是在做這樣的事情
[16:58] 提交好目前的話只能夠回傳最近修改的 100 本
[17:03] 所以他就先處理這 100 本
[17:04] 好完成接下來我們來看一下他幫我改好了前 100 本
[17:09] 你看全部改好了上面都幫我分類好了
[17:13] 還有星星真是太讚了
[17:16] 所以他只會回傳最近的 100 本
[17:18] 其他不常用的必須要點進去之後喚醒他們
[17:22] 讓他排到前面來我們才有辦法去做改名
[17:25] 好以上就是我們使用 claude 去串接 notebookLM 的五大應用
[17:32] 自動化定時化行動化串聯化還有規模化
[17:36] 你學會這些技巧之後
[17:38] 你使用 notebookLM 的境界就跟之前完全不一樣
[17:42] 如果你想要關注更多關於 claude 在教學上應用
[17:46] 訂閱按讚還有分享哦
[17:48] 我們下期再見拜拜
