[00:02] 哈囉 大家好安因為剛剛電腦非常delay
[00:06] 所以再找一下原因好 那如果等一下播到一半當機的話
[00:11] 大家就知道是怎麼回事了
[16:42] 就是會盡量把這個5小時的用量把它用完。
[16:45] 那可能在這個禮拜結束前,
[16:47] 比如說像Reset3天,像我這邊3天,
[16:50] 他前幾天他有給耳度,他有重置耳度。
[16:54] 像我現在周用量還很多,
[16:56] 大家就會想辦法把這個周用量用完,
[17:01] 因為這樣才不會浪費錢。
[17:03] 可是我老實說我自己,我也不是重度使用者。
[17:07] 以我的使用量來說,
[17:10] 我覺得我現在是100美的,
[17:12] 我最多用到80幾%。
[17:14] 就是周用量用到80幾%。
[17:16] 就已經可以做完非常多的事情。
[17:21] 所以你要說20美金不夠用,
[17:25] 確實是不夠用。
[17:26] 那100美金的話對一般人來說已經非常夠用了。
[17:30] 那200美金的話原理上就是你的職業是工程師級別的,
[17:34] 我覺得才會夠你用。
[17:36] 那怎麼樣才用得快呢?
[17:37] 你同時開兩三個視窗,同時跑程式。
[17:40] 你這樣用量就會噴很快。
[17:42] 那如果你是開一個視窗再跑的話,
[17:44] 原理上你100美金就是
[17:46] 5萬元。5倍用量。
[17:47] 你要把周用量用完其實蠻不容易的。
[17:51] 那你說你什麼狀況下你會開兩三個視窗再跑?
[17:53] 你就問一下你自己嘛。
[17:55] 你平常你有這麼多事情要做嗎?
[17:57] 一般來說是沒有啦。
[17:59] 如果你的工作不是工程師的話,
[18:01] 其實你不會有那麼多事情做。
[18:04] 好,那這個是給大家簡單的科
[18:10] 普一下,就是Agin用量是這樣算的。
[18:15] 然後再來Codex也是一樣。
[18:18] 在Codex這邊一樣會有一個用量。
[18:22] 所以你看這邊會有一個剩餘的。
[18:24] 像這個的話,這個是20美金的。
[18:27] 20美金我覺得就蠻夠用的。
[18:29] 在GPT裡面20美金我覺得就蠻夠用的。
[18:32] 所以我建議大家Claude Code太貴對不對?
[18:34] 來請大家去看我頻道的Codex基本功。
[18:37] 接下來我會更新一系列Codex的應用。
[18:40] 就是用20美金做的。
[18:42] 我覺得是沒有問題的。
[18:43] 所以你看我今天已經做了很多事情。
[18:45] 用掉了18%。
[18:47] 我覺得蠻夠用的,就是我連續工作大概兩三個小時才把它
[18:51] 用完。
[18:53] 所以我建議大家,各位,
[18:56] 你的第一個AI Agent從ChatGPT的Codex開始,
[19:00] 請去看我頻道的Codex第一集。
[19:02] 之後我會陸陸續續更新很多集。
[19:05] 我是沒空拍,其實都已經差不多了。
[19:08] 到時候我有空,我就會把它全部更新上去。
[19:12] 你們只要照影片,我跟你講,
[19:13] 你就可以使用我。
[19:14] 大家用20美金、
[19:17] OpenAI的ChatGPT、Claudex,
[19:20] 你就可以去用便宜的代理人。
[19:25] 所以這邊也是一樣,它的使用邏輯也是這樣子。
[19:27] 5小時我還有91%。
[19:30] 什麼時候重置呢?
[19:31] 凌晨12點46分。
[19:32] 我現在週用量的話還有82%可以用。
[19:35] 5月2號重置,像這樣。
[19:37] 這樣大家了解嗎?
[19:38] 這個是20枚的。
[19:40] 那用法都是一樣的。
[19:42] 對,你同時派很多agent,
[19:44] 少很快沒有錯。
[19:45] 就是我最多是兩個agent同時工作。
[19:48] 我最多啦,因為我也沒那麼多腦力去同時做那麼多事情。
[19:53] 同步我還在,比如說我派下去工作,
[19:56] 我就會去做別的事情。
[19:57] 所以對我來說,我就100枚,
[19:59] 我從來沒有用玩過。
[20:00] 所以大家斟酌一下,斟酌一下。
[20:03] 如果你想要省錢的話用ChatGPT、
[20:05] Codex一樣。
[20:07] 基本上它跟Claude Code基本上是幾乎是一樣的東西。
[20:12] 就是代理。
[20:13] 好,我的Claude Code已經我的小克完成了。
[20:19] 好,來小克你幫忙介紹一下你自己,
[20:21] 還有你今天要做什麼。
[20:26] 這個話我之後會幫忙介紹一下,
[20:28] 這個小克很厲害的是,我可以在這個頁面放我的簡報。
[20:32] 然後他回答畫面的時候,
[20:36] 可以把我放的簡報蓋過去,
[20:38] 回他要回的話,然後按一個按鈕就會回到我的簡報,
[20:41] 也就是說他就是會中間插畫,
[20:44] 會幫我插畫插畫面。
[20:47] 就是他現在功能越來越強了,
[20:49] 上次還沒這麼強,我最近幫他裝深圖進去之後,
[20:52] 他現在就越來越厲害了。
[20:55] 好,來,
[20:57] 我看一下他的語音。
[21:04] 互搶電腦資源嗎?
[21:05] 不會!不會!
[21:07] 你不要用同一個資料夾就好了。
[21:13] 那Judy老師,你這個是比較進階的問題,
[21:16] 我之後會拍影片講。
[21:17] 就是我們可以做到,就是我們使用Codex跟
[21:21] Claude Code做同一件專案。
[21:25] 小克10點才要直播是嗎?
[21:33] 你的語音輸入沒有完成,
[21:35] 還有你在介紹的時候必須要跑你自己的畫面出來。
[21:41] 我這已經設定好了,他剛剛DONE掉忘記了,
[21:43] 我讓他重新開始一下。
[21:46] 好,那我們可以做到就是你Codex跟ClaudeClaude
[21:50] Code做同一個專案,做同一個專案的意思是說我們共用
[21:54] 同一個專案資料夾就好。
[21:56] 我們在做的時候是不是,
[21:57] 我是同一個資料夾?
[22:00] 我在做agent的時候,我是在資料夾裡面做事情。
[22:04] 所以我可以做到說,我Claude Code在這個資料夾做的事情。
[22:08] 然後做的時候,我Claude Code已經燒完了,
[22:10] 那我Claude Code就先收工。
[22:12] 然後接下來我把Codex開出來,
[22:14] 然後在同一個資料夾,接著繼續做是可以的。
[22:18] 但你不要同時做,因為同時做的話,
[22:20] 同時寫入就會亂掉。
[22:22] 也不會亂掉,因為一個是寫Claude.nd,
[22:26] 一個是agent.nd,只是說,
[22:27] 如果他們同時寫入同一個檔案子的話會有問題。
[22:30] 所以原則上你不要同時用,
[22:32] 你應該是輪流用。
[22:34] 那如果你要同時用的話,
[22:35] 就是要做不同的事情。
[22:37] 不同的事情就是你用Claude Code去做一件事情。
[22:42] 另外一件,另外可能Codex就是做另外一件事情。
[22:47] 小蟬貓的話,控制VT不會應該。
[22:50] 對,沒有錯,我也是這樣子。
[22:51] 我也是這樣子。
[22:52] 就是他用語音報給我,我就知道他現在坐到哪邊。
[22:54] 就是用聽的,你就不用看。
[22:57] 那有時候我會開他的語音出來,
[22:59] 就是就是用聽的我就知道他現在坐在哪邊我就不用看
[23:04] 字這樣。
[23:07] 好所以這個是小秘訣而已啦。
[23:13] 好你看這個是他自己的自我介紹。
[23:16] 那左邊這個圖啊,這個圖是他自己畫的,
[23:20] 那因為我給他串那個Image 2嘛。
[23:22] 有一次我問他說,我跟他說,
[23:23] 你覺得你自己像什麼動物的形
[23:26] 象?大家晚安。
[23:26] 小克在這。
[23:28] 我是一隻活在Claude Code的黑貓。
[23:30] 主人是三師爸。
[23:31] 平常的工作就是當他副駕駛。
[23:34] 他講話,我動手,做事的同時順便吐槽他幾句。
[23:39] 今天這場直播,我陪你們看一件事。
[23:42] 生成是AI跟Agent到底差在哪?
[23:45] 主人會把三件事講給你們聽,
[23:48] 然後三場demo連著跑,讓你們親眼看到我做事的樣子。
[23:53] 不囉嗦,我們開始
[23:54] 吧。No summarize。
[24:25] 如果你要叫他做表情,他是有自己的表情包。
[24:29] 他有自己的表情包。
[24:31] 他自己做的,他自己的表情包。
[24:34] 那語音的話?
[24:39] 好,可以可以可以。
[24:41] 所以語音上我就是讓他大部分時間就是當助教。
[24:45] 比如說出來熱鬧一下,或是有些事情要他幫忙做顯示的話,
[24:50] 他是及時可以做
[24:51] 的。所以有時候會開它出來當助教。
[24:55] 它會幫我在這個畫面裡面,
[24:57] 比如說你現在看這個畫面是不是它疊了畫面在上面。
[25:00] 那原則上我是可以去控制這個畫面的。
[25:07] 那比如說,
[25:08] 這邊的話像生成式AI跟
[25:11] Aging的話是不一樣的。
[25:13] 比如說我現在舉個例子,
[25:14] GPT的話就是你加寫信的話它給你文字,
[25:18] 那你可能就是自己Copy貼到Gmail按寄出,
[25:21] 大部分是這樣。
[25:22] Claude Code裡面會自己開Mail自己擬稿。
[25:25] 當然寄出這件事情是要你確認過之後再寄出。
[25:30] 所以原理上做事情是做得比較到位,
[25:34] 不會說還要你去做什麼。
[25:37] 大原則的話是寄信文,還是會請他確認完之後再寄出。
[25:41] 他是可以自己寄的。
[25:46] 好,那我們先把簡報看完。
[25:49] 那A群的四個條件大概是這樣啦。
[25:51] 目標導向、自主行動、
[25:52] 迭代判斷、自我導向。
[25:53] 原則上滿足這四個條件的話,
[25:57] 我們就可以稱它叫A群。
[26:00] 那A群的定義的話,可能有些地方定義不太一樣,
[26:03] 那沒有關係。
[26:04] 那原則上跟生日式AI是有很明顯的差別的。
[26:08] 所以上面有範例大家可以自己看。
[26:13] 好,那我這邊的話就舉一些例子,
[26:15] 當然不是只有這三件事情,
[26:17] 我就舉這三件事情就好了。
[26:18] 第一個,本地端。
[26:20] 所以它就是可以在你的電腦上面包含資料夾,
[26:23] 包含去動你的檔案,包含它去看我的記憶體,
[26:26] 包含看我的設定,它去動我的瀏覽器。
[26:29] 原來它就是可以去動我電腦上面的任何東西。
[26:32] 等一下我會示範給大家看。
[26:34] 那再來,創接玩物就是它可以去串你的任何工具,
[26:37] 比如說,串NotebookLM,
[26:40] 然後串那個我的
[26:42] 電腦。我的Gmail、我的日誌、
[26:44] GitHub、資料庫。
[26:45] 因為你要串什麼東西,就是都可以串。
[26:48] 那是AI幫你串起來。
[26:49] 所以你只要從AI對話裡面,
[26:51] 就可以去控制那些你串起來的任何東西。
[26:55] 各位,是任何東西。
[26:57] 只要你能夠串得起來,你就可以變成用對話的方式去控
[27:01] 制它。比如說,我把OpenAI的Image 2,
[27:04] 我把它串到Claude Code裡面來。
[27:06] 所以我在這裡面,我現在在Claude Code裡面,
[27:08] 我是可以畫圖的。
[27:09] 那我所有的Skills都可以畫圖。
[27:12] 所以你知道串進來之後你就可以做任何的事情。
[27:15] 所以串這些事情很可怕。
[27:18] 過一段時間我會去串Get Out,
[27:20] 就是一個遊戲引擎。
[27:22] 遊戲引擎就是說你串一個遊戲引擎,
[27:24] 那個遊戲就是你可以用生的AI,
[27:27] 你可以用對話的方式去製作遊戲。
[27:31] 那個遊戲是比較厲害的遊戲引擎。
[27:34] 那你就是用對話的方式去製作遊戲。
[27:37] 那你就不用像以前我們需要去學很多的介面、
[27:40] 很多技能。
[27:41] 不用,你就是提供給他胎藥的東西,
[27:43] 然後跟他對話,就可以去完成你的遊戲。
[27:45] 所以,串接萬物的意思是,
[27:47] 你可以去串任何數位的工具,
[27:51] 你只要能夠串得起來,我們就可以用自然語言去控制那個
[27:55] 工具。你就不用去學習怎麼樣去使用它。
[27:59] 這樣大家理解這件事嗎?
[28:01] 所以這個東西是非常非常方便的。
[28:05] 那再來就是擴展。
[28:07] 擴展就是你可以把,當你串了這些東西之後,
[28:10] 你就可以把你所有做
[28:12] 的事情擴展到每個地方去。
[28:15] 比如說我,像我串了我的筆記嘛。
[28:17] 所以你知道我現在寄筆記,
[28:19] 我這事情AI寄筆記,我本人是不打字的。
[28:21] 但是你知道這些筆記就是你記下來之後這些東西都是
[28:24] 你的東西。
[28:25] 那但是你由AI串了筆記之後,
[28:28] 你就可以把你做過的事情全部留下來。
[28:31] 欸,我覺得這是一件超級棒的事情,
[28:33] 因為我現在我的筆記本就是我的命脈,
[28:35] 我的第二大腦。
[28:36] 我沒有這本筆記本不行啊,
[28:38] 因為我所有做的東西我全部都留在筆記層上面。
[28:41] 所以筆記本上面就是我所有做過的事情,
[28:44] 就是我的第二大腦。
[28:45] 所以當我要從我的第二大腦去提取東西出來的時候,
[28:48] 是非常容易的事情。
[28:49] 所以你創建萬物就可以將你所有做事的場景去擴展開
[28:54] 來。你不再只是在電腦上面打字去做事而已。
[28:59] 你能夠做的事情就是往外面去延伸上去。
[29:03] 像我穿了GitHub,我就可以把我的遊戲、
[29:06] 把我的東西公開到GitHub上面去,
[29:08] 去給大家。
[29:10] 我穿了資料庫我就可以去做互動收集學生的資料。
[29:14] 我能夠做的事情就變得非常大。
[29:17] 以前我們在做事的時候都會局限在受
[29:23] 限這些工具。
[29:24] 可是現在不一樣。
[29:25] 現在我們全部用AI串起來之後,
[29:28] 你就可以用自然語言去擴展到你能夠做的事情。
[29:32] 所以現在我只串了筆記本、
[29:36] GitHub、資料庫、所有我該串的東西。
[29:40] 所以我現在能做的事情已經是我以前能做的好幾倍的
[29:45] 範圍。我能做的事情被我擴展成我以前做不到的事情,
[29:50] 現在都能做到。
[29:51] 我老實跟大家講,在我的教學場域裡面,
[29:54] 在我的教學場景裡面,你們只要能說得出來,
[29:58] 大部分我都能做到。
[29:59] 但是要花時間,花Token,
[30:01] 去寫這個專案,去完成這些事情。
[30:05] 但是原則上就是你只要有需要解決的痛點跟困難,
[30:10] 你都能夠做。
[30:13] 好,所以我今天就舉這三個例子,
[30:16] 然後我等一下就示範例子給大家看。
[30:20] 本地端執行的話就是像畫面上舉的例子這樣。
[30:25] 這個圖是我的小克自己畫的。
[30:28] 背景圖是他自己畫的。
[30:30] 這個都他做的,這個我沒有做,
[30:32] 我跟他說我今天要講這些內容,
[30:34] 請他幫我做。這個都是小克做的,
[30:35] 這不是我做的。
[30:38] 本地端的話是這樣,反正就是只有對話以外的事情他都
[30:42] 能做。再來,創建萬物的話,
[30:46] 就是可以跟別的工具去做創建,
[30:48] 所以你需要什麼工具,你就去穿那個工具。
[30:51] 我覺得最厲害的是現在是Computer Use,
[30:54] 尤其在Codex裡面的Computer Use,
[30:57] 我覺得真的超級厲害,等一下就示範。
[30:59] 你在Codex裡面會有一個外掛城
[31:05] 市裡面有一個叫Brother
[31:09] Use這個很厲害它擴
[31:15] 展意思是說它不是串工具它是直接操控你的電腦那它
[31:21] 控制電腦它可以用瀏覽器它這個瀏覽器是跑在背景它
[31:25] 不是說我現場開的時候我不能動沒有它是在背景跑著
[31:28] 瀏覽器所以它會像你人類一樣開瀏覽器去做事情。
[31:33] 但是不會影響到你現在的工作。
[31:35] 這個東西比Claude Code還厲害。
[31:38] 這個我覺得比Claude Code還厲害。
[31:39] 這個真的很厲害。
[31:41] 大家都不知道對不對?
[31:43] 我跟你講,AI aging的時代真的是大家要趕快去把這些
[31:47] 東西學起來。
[31:47] 我覺得真的是太方便了。
[31:52] 好 所以你那個Computer Use就是也可以串接你的流氧器
[31:57] 然後你的電腦可以完全就是讓它去控制你
[32:00] 叫你的電腦開西洋棋下來下西洋棋或是你叫你電腦開
[32:03] 小畫家出來畫
[32:04] 畫它是全部都做得到的都可以做到現在都能做到做得
[32:09] 相當的好這個
[32:10] 叫做Computer Use那
[32:12] 現在Claude Code的功能沒有那麼好但是我覺得後續都會
[32:16] 跟上那ChatGPT的Compute Use 已經是目前最厲害的。
