[00:00] 簡報的字都是可以修改的哦。
[05:22] 第一種版本的話就是我們在PPT裡面文字加上插圖。
[05:26] 插圖的部分就是由Image 2來去幫忙生成
[05:30] 所以它本質上還是PowerPoint。
[05:32] 只不過你可以處理的是你可以在PowerPoint
[05:35] 裡面去加入你想要的任何插圖。
[05:39] 第二種就是我每一張投影片仿造像NotebookLM
[05:42] 這樣子。每一張投影片都是使用Image 2去
[05:45] 生成。Image 2可以完整的做到每一頁簡報
[05:49] 都是相同的風格。
[05:50] 這是沒有問題的。
[05:52] 缺點就是上面文字不能修改。
[05:55] 所以接下來會有第三個版本。
[05:57] 第三個版本就是我們做出來像NotebookLM的簡報
[06:01] 但是圖歸圖,文字歸文字。
[06:03] 文字就是可以去修改。
[06:05] 它所用的方式是去生成無文字的底圖,
[06:09] 然後加上疊加文字框。
[06:11] 我們來看一下做出來的效果。
[06:13] 第一個範例,原本內建的PPT,
[06:17] 然後加上Image 2生成的圖片。
[06:19] 所以你可以看一下,這邊所有的文字都是可以
[06:22] 修改的。另外加上這個圖片,
[06:24] 圖片就是我們使用Image 2去生成的。
[06:26] 所以大家有看到嗎?
[06:27] 所以它採用的方式是原本的
[06:30] 就是在你的PowerPoint裡面去加進來我們
[06:32] AI生成的圖片。
[06:34] 所以像這個都是AI圖片,
[06:37] 可以加進來在裡面。
[06:38] 所以你可以指定說你到底要加什麼圖片進來。
[06:41] 所以像這邊的話沒有加圖片。
[06:43] 純文字、原生PowerPoint。
[06:46] 像這個也是一樣,幫忙加這張圖片上去而已。
[06:49] 好,這是第一種。
[06:50] 在你原本的PowerPoint裡面加上AI生圖。
[06:53] 所以你可以加進去任何你想要加的圖片。
[06:56] 這是第一
[06:58] 接下來是純圖片。
[07:00] 純圖片就會像是我們的NotebookM一樣。
[07:03] 所以你會發現純圖片的話,
[07:06] 整個視覺的一致性會非常高。
[07:09] 所以大家看一下,是不是很像是NotebookM
[07:12] 做的簡
[07:13] 它的風格的一致性非常的好。
[07:15] 你可以完完全全去控制它。
[07:18] 不管是你使用我們之前教過的YAML或是自然語言。
[07:22] 原則上,在claude裡面,
[07:24] 你的控制權是非常高的。
[07:27] 基本上可以做到幾乎100%的控制。
[07:30] 你想要簡報生成什麼樣子就什麼樣子。
[07:33] 所以這個是仿造NotebookM去生成的簡報也是
[07:37] 沒有問題的。
[07:38] 特別注意是我生成之後的簡報存下來的東西
[07:41] 就是PowerPoint哦。
[07:42] 不用再經過任何的轉檔。
[07:45] 缺點是我沒辦法去改上面的任何文字。
[07:47] 這個是第二種的缺點。
[07:49] 但你會發現說很明顯的它的視覺效果會比
[07:53] 第一種好很多。
[07:54] 再來究極版的第三種。
[07:56] 第三種是這樣。
[07:57] 它會很像我們剛剛純生圖版本,
[08:01] 但它只會生成背景圖。
[08:03] 然後接下來它會把這個字疊上去。
[08:05] 所以你會發現說在這簡報裡面,
[08:06] 所有的字都是可以修改的。
[08:08] 像這個,這字也是可以修改的。
[08:11] 圖片、底圖已經先做好之後,
[08:14] 然後再去生成這個文字。
[08:15] 所以我們在改的時候,上面所有的字你都是
[08:18] 可以去做修改
[08:19] 的。這個是第二頁。
[08:21] 第三頁。你看所有字都是可以做修改的。
[08:24] 這邊所有字都可以修改。
[08:26] 像這也是一樣,我們所有的文字都是可以修
[08:29] 改的。這一頁也是一樣。
[08:31] 純圖片加可編輯PPTX。
[08:34] 所以我們完完全全可以去使用你的技能。
[08:37] 生成一個可以修改文字的PPTX。
[08:42] 我覺得這種版本是最佳應用的。
[08:45] 它的圖也很漂亮,文字也可以修改。
[08:47] 我們要的就是這一種。
[08:50] 具備有圖片的美感加可修改的文字。
[08:54] 在claude裡面你可以非常輕鬆的就
[08:58] 做到。存下來之後就是PPTX的格式。
[09:01] 那我有試過先產生YAML然後再產生圖片。
[09:05] 原理上它會100%遵照YAML格式去生的圖片。
[09:10] 我確認過了。
[09:10] 非常的精準。
[09:12] 當然字型的部分你可能需要額外去安裝這個字型。
[09:15] 那我用的是源石黑體
[09:18] 大家安裝一下,你就可以做到像我這樣子的
[09:21] 簡報效果。
[09:48] 我現在做數學遊戲,在遊戲裡面你
[09:52] 需要的那些像卡牌、圖案、
[09:55] 遊戲的物件,你可以直接
[09:59] 在claude裡面請它生成。
[10:02] 生成的圖片就會放在資料夾裡面。
[10:04] 直接在寫遊戲的程式的時候,
[10:07] 直接來用就好了,真的超級方便的。
[10:10] 比如說我做了一個遊戲叫做比例消除。
[10:12] 點進來之後是遊戲畫面,
[10:15] 大家有看到嗎?
[10:16] 我遊戲上面的橫幅就可以用Image 2來畫。
[10:19] 遊戲的每一個Logo也是我請他去畫。
[10:23] 畫完之後再截下來,放到對應的位置。
[10:28] 這邊你都不用手動做。
[10:29] 你只要告訴他你要做什麼就好了。
[10:32] 你整個遊戲頁面看起來就會比較高級,
[10:35] 比較有遊戲的感覺
[10:37] 所以像遊戲規則也是一樣,
[10:39] 這邊我們就可以把它寫得非常的清楚。
[10:41] 你看,這麼漂亮的畫面。
[10:43] 這個頁面還沒有使用claude Design去優化
[10:48] 那我會另外再拍一集,教大家怎麼樣把做好的
[10:51] 網站使用claude Design去做優化。
[10:54] 大原則是你在做一些你上課的遊戲教材,
[10:58] 或是上課的一些互動的工具,
[11:00] 你可以把你Image 2的圖片加進去在工具裡面,
[11:04] 直接部署到GitHub,非常方便。
[11:07] 以前沒有圖片的時候畫面比較單調,
[11:09] 現在有圖片你想要怎樣就怎樣,
[11:11] 你可以把它變得非常的華麗。
[11:13] 你在claude裡面接了AI生圖的話,
[11:16] 原則上你可以隨時去使用AI生圖,
[11:19] 去做任何的事情。
[11:21] 比如說我現在請我的助教出來。
[11:25] 那我的助教他會說話、
[11:27] 他會做事,他也可以秀圖片。
[11:29] 以前他秀在畫面上只能夠用HTML去做一些
[11:33] 展示。
[11:33] 他現在不但可以用HTML,
[11:37] 也可以把圖片加上去。
[11:38] 甚至前幾天我在跟他對話的時候,
[11:41] 我問他說你覺得自己最像什麼?
[11:43] 他告訴我他自己最像一隻黑貓。
[11:46] 所以我的助教現在他有自己的形象
[11:49] 所以他現在可以做到一面說話、
[11:51] 一面播簡報。
[11:52] 簡報可以有我們的畫面、
[11:55] 可以有文字。
[11:56] 他準備好了今天的內容,
[11:59] 那我就隨便跟他對話一下。
[12:00] 小克,你現在自我介紹一下你是誰?
[12:04] 我有設定好一個個性給他,
[12:06] 所以他不再是只有純文字去展示。
[12:09] 所以他可以做的事情就是說話,
[12:11] 還有我們的視覺
[12:13] 大家好,我是小克,一直活在Claude Code裡的黑貓。
[12:17] 我的主人是三師爸,宋睿偉老師。
[12:19] 別看我呆呆的,我會做的事還不少。
[12:22] 出題、備課、做小遊戲、
[12:24] 搜筆記、切簡報、現場生圖、
[12:27] 說話、拒絕危險操作。
[12:29] 今天的主題是GPT-Image 2的三大教學應用
[12:33] 而壓軸的範例三就是我本貓。
[12:37] 他會即時去做簡報。
[12:40] 簡報的話不管是HTML或是圖片,
[12:44] 他現場做好,現場秀出來給大家看。
[12:46] 所以他在當我助教的時候,
[12:48] 他是可以
[12:52] 即時出來回訊息或是做事情。
[12:54] 我已經設計好怎麼樣讓他在我的課堂裡面
[12:58] 去幫助我授課。
[13:00] 我也不斷地在進化它,幫它加功能。
[13:03] 所以你看一下這個頁面,
[13:04] 就是用HTML加上Image 2的生圖。
[13:07] 即時做簡報出來給大家看。
[13:10] 你幫忙介紹一下我們使用claudeClaude加Image 2,
[13:14] 在遊戲上的應用要怎麼應用。
[13:16] 說到遊戲應用,小課我最得意的就是這個,
[13:20] 比例消除。
[13:21] 主人在7比15班實測過,
[13:24] 學生玩到下課還不想走。
[13:26] 重點有,流程很簡單。
[13:28] 第一步,一句話下單。
[13:30] 其他細節請看螢幕。
[13:32] 重點是這四步在同一個工作流。
[13:34] 你不用開三個分頁手動串。
[13:37] ChatGPT訂閱做不到。
[13:39] 現場畫個圖片給大家試試看。
[13:43] 看!這就是剛剛一句話畫出來的數字。
[13:46] 七球、十秒、三毛錢。
[13:49] 要15顆湊一副四塊半,比一杯咖啡還便宜。
[13:54] Claude Code、ChatGPT訂閱600塊一個月。
[13:56] 這裡一塊錢可以畫三張還有找。
[13:59] 用圖片加文字動畫來為今天的
[14:03] 影片做一個總結。
[14:04] 所以他可以做到給一個圖片,
[14:07] 然後再用HTML的文字動畫,
[14:10] 然後慢慢把它帶出來。
[14:12] 來看一下效果。
[14:13] 好,所以你看這是他自己播的,
[14:15] 不是我沒有動他哦。
[14:18] 你看這個畫面是很讚的。
[14:20] 背景就是他的圖片,他自己的圖片。
[14:23] 今天我們講了三件事。
[14:25] 第一,遊戲素材、AI、生圖、
[14:28] 寫程式部署一條龍。
[14:30] 重點有記住一句話,
[14:32] 生圖不是終點,是其他技能的燃料。
[14:35] 第二,教學簡報。
[14:37] 這份影片的簡報本身就是AI化的。
[14:40] 其他細節請看螢幕,下次見。
[14:43] 好 就這樣吧。
[14:44] 原則上你的claude的接上生圖工具之後就會
[14:47] 變得非常厲害。
[14:49] 基本上所有的東西都能夠做了。
[14:51] 以上就是今天影片的全部內容。
[14:54] 如果你想要關注claude的其他的教學應用,
[14:58] 訂閱、按讚和分享哦。
[14:59] 我們下集再見。
