[00:00] 來各位我們來看一下他整理好的好不好。
[06:19] 這個算是有嗎?
[06:20] 好,都下載了。
[06:22] PDF。
[06:23] 看一下,真的可以嗎?
[06:25] 這不是PDF啊?
[06:27] 這是PDF嗎?
[06:28] 真的耶,可以耶,可以。
[06:30] 好,上網去下載檔案沒有問題的。
[06:34] 接下來,讀檔案這件事情,
[06:36] 我看一下它的OCR功能如何。
[06:39] 比如說現在我們有PDF檔對不對?
[06:42] 我讓他去讀看第四題好了,
[06:46] 就是110年的第四題。
[06:51] 你去讀110年四題的選擇題第四題。
[06:56] 將第四題的題目解釋一遍給我聽,
[07:00] 並且寫出解答。
[07:02] 好,我們看看他能不能讀懂這個檔案。
[07:06] 好,所以他直接找到110年的然後我們要選
[07:09] pdf。
[07:10] 接下來第四題應該是這一題。
[07:15] 所以矩形三角形A點在B1上面。
[07:19] 矩形ABC珠的面積是20。
[07:23] 所以AB珠就會是10嘛。
[07:25] 再來他說B珠,所以A珠1就是14
[07:29] 嘛。所以這一題要選C。
[07:31] 好看一下他讀得懂嗎?
[07:33] 這檔案是C。
[07:36] 可以耶。
[07:39] 好。
[07:40] 所以你看喔。
[07:41] 他就把題目讀出來了。
[07:43] 看到嗎?
[07:44] 題目提到一點。
[07:46] 所以他是從題目給定的圖形特徵跟條例來去求
[07:52] 出來的。
[07:52] 看起來是沒有問題。
[07:56] 所以解題步驟。
[07:59] 所以讀檔案也是沒有問題。
[08:03] 接下來我們來測試一下它的文書技能。
[08:08] 文書技能指的是說我們能不能產生Word檔。
[08:11] PowerPoint跟Excel。
[08:13] 就是處理Word檔。
[08:14] 所以我要來測試一下它能夠處理Word檔嗎?
[08:18] 那這裡我來看一下我有給一個report是我從我的
[08:22] skill去放上來的。
[08:25] 所以接下來我放了我的四個skill。
[08:28] 這四個skill分別是中
[08:30] 數學、段考、初題、審題專家。
[08:33] 所以這個Skill是從Claude那邊來的。
[08:36] 所以Antigravity可以讀得到Skill嗎?
[08:39] 可以安裝Skill嗎?
[08:41] 可以真的利用Skill去生成Word的文件。
[08:45] 所以這也是我好奇的。
[08:47] 那我就將這個Skill的網址貼貼給它。
[08:52] 請先去讀這個report裡面的內容。
[08:55] 這個report裡面共有四個技能。
[08:57] 你先判斷一下這四個技能,
[08:59] 你能夠安裝技能嗎?
[09:01] 你能夠使用這些技能嗎?
[09:04] 可以跟不可以都要說明理由。
[09:07] 好,我讓他去讀讀看。
[09:09] 所以我們的integrity是具備網頁搜尋、
[09:13] 網頁內容解析以及網路下載的能力。
[09:16] 所以搜尋網頁也是沒有問題的。
[09:20] 好,接下來我讓他去讀別的agent的技能。
[09:24] 別的AGM技能有辦法掛到我們的
[09:28] Antigravity裡面去使用嗎?
[09:31] 如果可以的話那不管是哪一家技能你就可以下載過來
[09:34] 使用所以可以啦我猜測應該是可以
[09:37] 我們就讓他讀讀看我
[09:38] 使用的語音輸入目前是使用Typerless這款語
[09:44] 音工具我覺得很好用
[09:45] 啦但是它有傳聞有一些自
[09:47] 然疑慮所以如果是敏感的資料盡量不要使用這個語音
[09:51] 輸入工具來去
[09:52] 輸入正常在教學備課,正常工作應該都是沒有問題的。
[09:56] 所以我覺得它很好用,所以我還是有在使用它。
[10:00] 好,接下來我們來看一下。
[10:03] 我能夠安裝這些技能嗎?
[10:07] 他說不行。
[10:10] 無法直接直入。
[10:11] 理由?
[10:12] 它是基於Gemini的AI助理。
[10:14] 核心系統提示詞跟內建工具。
[10:18] 是由後端平台預先配置好。
[10:20] 無法在對話過程中,動態修改我自己
[10:22] 原本的。要把這些技能永久安裝註冊進文了。
[10:26] 好,所以對你的本地環境高code是可以的。
[10:30] 可是這樣它到底行還是不行啊?
[10:33] 透過PIN install可以安裝套件。
[10:37] 我能夠使用這些技能嗎?
[10:39] 可以啊!
[10:41] 不需要試用安裝機能直接使用。
[10:44] 無法植入我的AI核心,但是我完全可以直接讀取並執行
[10:47] 他們。
[10:48] 可是這樣子跟技能有一點不太一樣是因為技能我們是
[10:52] 所以它是漸進式PROAD,
[10:54] 只說我需要的時候我才能夠使用。
[10:57] 所以如果它沒有辦法常駐到需要的時候使用,
[11:01] 而是利用讀取的方式來使用的話,
[11:04] 對於技能來說可能是比較略訊一籌的。
[11:09] 所以等下試試看。
[11:10] 好,所以將repo完整複製到工作目錄。
[11:13] 大家已經做好了。
[11:14] 所以可以直接呼叫資料小臉,
[11:16] python腳本,如來生成。
[11:19] ok。
[11:20] 好,來出題,審題,完全可以。
[11:23] 所以它可以產生題目券、
[11:25] 答案券的Word檔喔。
[11:28] 所以它有Python DOCX。
[11:31] 沒有問題。
[11:32] 來,所以配圖。
[11:33] 配圖限制化這個技能是需要配圖。
[11:36] 所以它並沒有Draw的技能。
[11:39] Draw的技能就是我呼叫OpenAI的API Key來使用
[11:44] Image 2來去生圖。
[11:45] 所以這個生圖腳本沒有包含在這個report
[11:48] 裡面。OK好。
[11:50] 替代方案。
[11:51] 或是它內
[11:52] 建的設定。所以它也會知道變通。
[11:55] 好幾何的就畫幾何圖形。
[11:58] 再來平量小遊戲這應該也是完全沒問題啦。
[12:01] 所以將這個REPO複製到專案路徑裡面。
[12:05] 好我們看一下是不是。
[12:08] 真的耶你看在這裡。
[12:10] 它自動幫我新增一個資料夾。
[12:12] 把它放在裡面。
[12:13] Steals。
[12:14] OK好我們來試試看好不好。
[12:16] 幫我出一份段考的練習券。
[12:20] 單元是七年
[12:22] 級的。是一年級下學期的一元一次不等式。
[12:25] 包含要去畫一元一次不等式的
[12:31] 圖形。所以你在題目裡面必須要有圖形判斷的題目。
[12:36] Fashion題的話也幫我出四題跟我們日常生活有關的生活
[12:41] 提醒的Fashion題。
[12:43] 配圖的部分也是由你自行來去配圖。
[12:46] 全部生成的檔案就放在這個專案資料夾。
[12:50] 好,接下來我們來看一下它能不能生成
[12:54] Word檔。
[12:55] 那利用我的技能來去做執行。
[12:59] 開始!
[13:00] 我覺得應該是可以的啦。
[13:02] 所以處理檔案的部分就是生成Word檔應該是沒有問題。
[13:06] 所以生成PBT應該也是沒有問題。
[13:07] 生成表單ECL應該也是沒有問題。
[13:10] 因為像這個Python,DOCX,
[13:12] PythonECL,Python,PowerPoint應該都是可以安裝的。
[13:15] 所以你知道Python有這個功能,
[13:18] 因為上agin裡面就有這個功能。
[13:19] 所以簡單講我個人覺得啦,
[13:22] 就是在Agin裡面去處理Word檔、
[13:25] PowerPoint檔跟Excel檔應該都是可以的。
[13:28] 好,那我個人是非常機賞。
[13:30] Antigravity它的速度非常的快。
[13:32] 我喜歡它速度這麼快。
[13:34] 速度快就是王道。
[13:36] 當然額度也會噴得很快。
[13:38] 好,那現在在分析技能了。
[13:41] 那我說明一下,它剛剛的說法是說,
[13:44] 它沒有辦法像Agin一樣使用技能是指,
[13:47] 技能是漸進式P-Low是
[13:49] 指,我們不管在什麼地方我們只要出現關鍵字我們就可以
[13:52] 使用這個技能
[13:54] 那他剛剛回答我的意思是說他已經存下來的
[13:58] 那如果要使用這個技能的話他要去讀那個檔案
[14:01] 讀完檔案之後照著那個檔案來去做
[14:04] 好那跟原生的技能比起來我覺得是略遜一籌
[14:08] 啦是因為變成是我們要叫他去使用這個技能他才用
[14:12] 那原先技能應該是我關鍵字出現就能用
[14:16] 應該是這樣沒關係那等一下我們就試試看
[14:19] 到底是怎麼一回事。
[14:20] 好,我使用的是Pro版本,
[14:23] Pro版本是20美金的,所以我的Model。
[14:27] 好,現在用量還沒有口紅。
[14:29] 所以我是Google AI Pro,
[14:31] 我是這個版本。
[14:32] 這是20美金的版本。
[14:33] 免費版本也可以用啦。
[14:36] 沒辦法也可以用,只是額度比較少。
[14:38] 好,接下來我們來看一下,
[14:40] 可以嗎?
[14:41] 試試看效果如何。
[14:44] 所以技能的部分可以使用,
[14:47] 可以使用。
[14:49] 可是可能就是稍稍麻煩一點這樣。
[14:52] 這個要一直按確認是蠻麻煩的。
[14:54] 好,那關於檔案的部分大家還想我測什麼的話,
[14:59] 我可以幫忙測喔。
[15:00] 你就直接在聊天訊息的地方直接打。
[15:04] 檔案的部分,就是我們今天只測檔案就好了。
[15:07] 只測檔案就好。
[15:08] 其他部分我們等別集再測啦,
[15:10] 因為我每次開一集的內容,
[15:12] 我們就是專注在一個點或是一個面向就好。
[15:16] 這樣大家在看我影片的時候會比較容易
[15:19] 要不然的話我可能一個影片裡面講很多雜細雜霸的內
[15:22] 容。那大家在看這個影片的時候就會有點沒辦法聚焦。
[15:26] 所以我的影片比較傾向於說我今天這部影片我就講一
[15:30] 件事情。
[15:31] 或是講一個功能,或是講一個概念,
[15:33] 或是講一個類別的東西。
[15:35] 那大家就可以根據你的需求去搜尋我影片。
[15:39] 那你看封面或是看標題或是用關鍵字搜尋。
[15:42] 你就知道說這部影片是講什麼。
[15:44] 你就可以針對你有需求的部分去做個別的觀看就好。
[15:48] 所以我們今天專注在end gravity處理檔案的部分。
[15:53] 它可以處理到檔案什麼程度。
[15:55] 全部允許再寫答案。
[15:59] 看一下。
[16:01] 好囉。
[16:05] 土的話,看到嗎?
[16:06] 他用Python去畫圖,看到嗎?
[16:09] 可以耶!
[16:11] 這邏輯是他用Python畫圖。
[16:13] 好,很聰明耶!
[16:15] 非常聰明。
[16:16] 我覺得他做的品質滿好的
[16:18] 耶。它光是圖我就覺得OK我們等一下做完再來看考卷
[16:23] 我覺得可以耶 所以處理檔案是沒有問題的喔
[16:25] 我覺得可以所以它畫的這個坐標圖是完全符合我的要
[16:30] 求的而且速度非常的快 我很喜歡它速度這麼快
[16:35] 好完成了好看一下太厲害了
[16:41] 來首先我們來看一下題目券題
[16:43] 目券握著檔喔各位握著檔喔
[16:46] 它憑空伸出Word檔。
[16:49] 聊天室摔排666好不好?
[16:52] 真的聊天室摔排666
[16:55] 我覺得它出考卷沒有比Claude Code差耶
[16:59] 真的耶這
[17:00] 考卷可以吧我覺得完全沒問題
[17:02] 耶好來填東西
[17:03] 再來我再要改它這個方程式
[17:07] 方程式我們會有一個格式
[17:09] 方程式就是像這個都是不對
[17:13] 所以原理上我們應該要讓它去改
[17:15] 一下比如說分數啊 那比如說這個絕對值小於等於不等
[17:20] 式的符號啊這個他是不行的齁再來看一下非選題可以
[17:26] 耶 非選題也是不錯
[17:27] 耶以方案這邊 考卷是沒問題的
[17:29] 看起來是沒問題
[17:30] 的來 遊樂園 來看一下有沒有遊
[17:33] 樂園門票 折價券 可以耶 我覺得可以
[17:36] 耶問題3 大家有看到嗎 全部都是生活問題齁這個手搖飲
[17:42] 料店創業跟利潤目標。
[17:44] 有看到嗎?
[17:44] 再來外送平台的優惠方案。
[17:48] 我覺得品質也是相當高的耶!
[17:50] 好,再來我來要求他改一下。
[17:53] 在題目卷裡面有關於方程式、
[17:56] 分數的部分還有不等式的符號,
[17:58] 其實都沒有照數學的樣子來呈現。
[18:02] 所以你應該要使用數學的格式來去呈現這些有關於數
[18:08] 學方程式以及符號的部分。
[18:11] 請你針對題目券做修正。
[18:15] 數學符號它有一個專有的格式,
[18:17] 好像叫MML嗎?
[18:21] 所以我們在打這些方程式的時候,
[18:24] 實際上我們常用就是使用方程式編輯器嘛。
[18:26] 那如果你沒有叫它去改這個東西的話,
[18:29] 那它出來就是會像我們一般打字一樣。
[18:31] 例如說1分之1他就會用1寫2,
[18:34] 他就不會真的像是1分之1這樣,
[18:36] 所以語言上在數學的題目或者是你們在做一些比較文
[18:41] 書工作的時候有一些特殊符號,
[18:43] 這個叫OMML格式。
[18:48] 所以下次你在要他出這種數學的式子的時候,
[18:52] 你就要跟他講說這個數學部分要使用OMML
[18:56] 格式來呈現,他就會幫你把它打好。
[18:59] 所以今天你看這影片你就多學一個格式就是數學方程
[19:04] 式的符號那個叫做OMML格式
[19:08] 你跟他講OMML格式他就會在第一次出考卷的時候就會
[19:12] 幫你完成所有應該注意的考卷的格式的方程式
[19:17] 格式的樣貌
[19:18] 所以這個地方是要注意的小細節
[19:22] 接下來我就請他重新生
[19:23] 成來生成的話我們這邊會有雙向細目
[19:26] 表各位雙向細目表啊
[19:29] 你看到嗎?
[19:31] 中文字幕表,它還是填層握著檔。
[19:33] 所以這個都是沒有什麼問題的。
[19:37] 跟他講都是很簡單的事。
[19:39] 是一樣,Allow this time。
[19:42] 好,所以檔案都沒有什麼問題耶。
[19:44] 我就很讚。
[19:45] 接下來改OMML,有看到嗎?
[19:49] Python,Python DOCX,Add Equation OML。
[19:53] 這個就是標準的數學的格式。
[19:55] 速度依然非常的快。
[19:57] 那我我在使
[19:59] 用我都會讓大家看一下額度,
[20:00] 剛剛我們的額度是滿的所以我現在工作一段時間就還
[20:04] 沒有扣掉五分之一我覺得他有給額度啦所以
[20:07] Pro帳號的Antigravity是可以做蠻多事情的出考卷的話,
[20:13] 原來上是像這樣就是
[20:14] 這麼簡單各位
[20:16] 老師,出考卷就這麼簡單可以達到我們使用題庫出出來
[20:21] 考卷的水準你
[20:23] 還可以考客製化
[20:24] 你給他單元,請他做雙項新聞表,
[20:27] 請他做這個考卷好
[20:29] 應該完成了吧。
[20:30] 我覺得很好用耶。
[20:33] 剛剛有這個夥伴提到OpenCode和Antigua
[20:37] 有提。哪個比較好?
[20:38] 我的方式是,如果在AIA時代的話,
[20:42] 你不要獨厚單一家。
[20:45] 每一家都用。
[20:46] 所以不要說它比較好。
[20:49] 因為哪一家比較好這件事沒有一定的。
[20:51] 可能兩個月後,這件事就會被翻盤。
[20:54] 比如說我現在跟你講說什麼東西好,
[20:56] 也許兩個月後,世界就會變化。
[20:59] 所以你不要說哪個AI比較好,
[21:01] 我沒辦法告訴你哪個AI比較好,
[21:03] 最好方式就都用,都選。
[21:05] 那因為我就把四家AI都拍給大家看了,
[21:08] 所以你們就看我的影片,
[21:09] 你就知道說這家這樣。
[21:10] 按自己挑一家你喜歡的常用的來用就好。
[21:13] 好我們來看一下V2第二版本。
[21:16] 看看方程式的部分是不是都完成了呢?
[21:19] 好,來,來各位有沒有看到?
[21:23] 有沒有看到?
[21:25] 是不是?
[21:27] 方程式編輯器啊?
[21:30] 再來小於等於嗎?
[21:32] 來小於等於這個符號就對了OMML格式數學格式就會
[21:37] 對從現在開始再也不用自己打方程式了各位知道嗎?
[21:45] 這以前我們打這個式很麻煩有出過數學考驗就知道打
[21:50] 方程式是最麻煩的但現在你有了AIG院上你都不需要打
[21:55] 方程式直接生成Word檔給你
[21:57] 你不需要再打方程式。
[22:01] 好,你覺得這個部分很讚的?
[22:05] 加上圖片當然可以啊,沒有問題啦,
[22:08] GATATATA沒有問題,
[22:11] 加上圖片是可以的
[22:12] 有會的可以做到,可以做到
[22:14] 它的邏輯是這樣,我先畫圖之後再插入WORD
[22:17] 那我現在示範一下好了,
[22:20] 直播就是好處,有人問麻煩問
[22:22] 幫我加一題題目到考卷的最後面,
[22:26] 當作是回家作業
[22:27] 這個題目是我要讓學生學會中垂線性質去
[22:33] 使用中垂線性質,所以幫我加一個要使用中垂線性質來
[22:39] 去作答的題目。
[22:41] 而題目的話必須要具備圖片,
[22:44] 幾何圖片。
[22:45] 你先畫好幾何圖片之後,
[22:49] 再把圖片插入我的檔。
[22:51] 題目的部分你在生成題目的時候跟圖片就要一起先想
[22:55] 好再畫。
[22:56] 好,所以邏輯的話是這樣。
[22:57] 我們他在生成題目的時候就知道要什麼圖片接下來他
[23:01] 就是會用Python去畫圖畫完圖之後他會先暫存起來等
[23:06] 到我出來考驗之後再把這個圖塞回來
[23:08] 是沒有問題的,所以任何的圖都是可以做的
[23:11] 所以你會發現我們資料夾結構是這樣子
[23:13] 資料夾結構是會有一個Images所以Images
[23:15] 的話你看喔我們這邊是不是就會有一個圖這個圖就是
[23:19] 他用Python畫的那他Python畫完之後再塞到
[23:23] Word檔裡面去
[23:24] 像這樣,是可行的,是可以的所以
[23:26] 任何的譜片。
[23:28] 以前我們在出數學題目的時候,
[23:29] 我們最麻煩的是因為那些圖如果你使用題庫的題目的話,
[23:33] 變成是題庫的題目的圖,
[23:34] 你就不好改。
[23:35] 那自己畫的話,門檻比較高,
[23:38] 因為並不是每個老師都會George Brown、
[23:40] GPT、或者是並不是每個老師都會寫程式,
[23:43] 或是並不是每個老師都有辦法操作軟體來去畫出正確
[23:47] 的集合圖形。
[23:48] 現在的話,請A群幫你畫的就好了。
[23:51] 他畫出來的圖應該都是沒有問題的,
[23:53] 會跟考卷上面的圖是一模一樣
[23:54] 的。所以你只要動動嘴巴的話就可以了。
[23:57] 好沒有錯是做得到的。
[23:59] 各位你們有提問趕快喔在聊天室的地方打喔。
[24:04] 我看到我能回答就回答。
[24:06] 好所以我讓他講加一題上面。
[24:08] 那我的認知是可以做到啦沒有問題。
[24:13] 好做完了來。
[24:15] 所以題目券V2放在哪裡?
[24:18] 看一下放到哪裡呢?
[24:21] 沒有放到這邊來。
[24:22] 放下去。
[24:23] 題目券這邊。
[24:24] 這邊。這邊。這邊。這邊。
[24:25] 好看一下看到嗎?
[24:28] 這樣有滿意嗎?
[24:29] 呵呵呵有滿意嗎?
[24:32] 好你覺得這個真的是太神奇
[24:35] 了麻煩打一個777好不好有看到嗎?
[24:38] 畫圖就是直接插入Word檔
[24:41] 它畫圖就直接插入Word檔
[24:43] 就像TQ一樣直接插入Word檔所以處理檔案也都是
[24:49] 沒有問題
[24:50] 的像這樣OK嗎?
[24:51] 好所以大家看到嗎
[24:53] 這個就是非常犯規的技能。
[24:55] 所有的Agen都做得到啦。
[24:57] 我今天就是在測試說那Antigrity可以做到嗎?
[25:01] 看起來應該是沒有問題的。
[25:03] 再來填資料。
[25:05] 填資料這件事情就是說我們常常有時候會需要有一些
[25:09] 錶單去填。
[25:10] 填資料的話我們可以填嗎?
[25:13] 學校有很多的東西要填。
[25:16] 那我隨便找一個範例來做。
[25:19] 我來看一下填什麼好呢?
[25:23] 我隨便找個範例來做好不好?
[25:24] 那我就找我們旺火中。
[25:27] 我來填這個個人資料好了。
[25:30] 填資料的話我就隨便找一個範例做給大家看。
[25:33] 看一下講師簡歷表空白的嗎?
[25:39] 這時候找不到東西可以填啊。
[25:42] 比如說你要填資料的話,
[25:44] 我們現在在資料夾裡面,
[25:46] 到我們的資料夾。
[25:48] 那資料夾裡面啊,比如說我要填資料。
[25:53] 那我要填一個講師簡歷表。
[25:55] 那講師簡歷表,假設啦,
[25:57] 今天我要填這個資料。
[25:58] 那當然任何資料都是能填的喔。
[26:00] 我們給他一個Word檔。
[26:02] 這Word檔裡面可能就有需要填資料。
[26:05] 像這樣,連絡手機先不要好了。
[26:08] 好,所以我現在有一個Word檔。
[26:11] 這個Word檔的話,我需要填資料。
[26:14] 我們現在假設啦,你在學校會有東西要填嘛。
[26:17] 比如說,官課、議課紀錄表。
[26:19] 會議紀錄,對不對?
[26:22] 還有什麼成果的這個表。
[26:24] 反正你一定會有一堆表單要填。
[26:26] 好,我現在示範的是填我的檔案。
[26:28] 那你說你要填Excel,填那些東西都是沒有問題的。
[26:32] 你只要東西給他,他都能幫你填。
[26:34] 那我現在就是要他去填我的講師簡歷表,
[26:37] 假設。那我這個是一個空白的表格,
[26:41] 對不對?
[26:42] 那我就讓他去填。
[26:43] 好,填我就讓他去填。
[26:45] 比如說,我還是要告訴他檔名,
[26:47] 講師簡歷給他。
[26:48] 所以他是可以幫你填任何的檔案。
[26:51] 我要你幫我填這個檔案裡面的欄位資料。
[26:57] 我的相關資料請你到我的Obsidian筆記本裡面去找尋
[27:01] 我的個人資料。
[27:02] 找到之後填入文件檔。
[27:06] 另存一個新檔。
[27:07] 好,所以任何的資料你只要給它,
[27:10] 它就可以幫你填。
[27:13] 所以你會發現說學校可能有需要一些表單或是有些資
[27:17] 料或是一定有工作室要我們填資料的
[27:20] 嘛。我們丟到我們的章案目錄裡面去。
[27:23] 跟它幫忙填。
[27:24] OK。好,所以我就示範一下。
[27:27] 不行。
[27:28] 那當然中間需要按很多的確認給它權限。
[27:32] 所以從現在開始,大家在填這些資料的時候都不是什麼
[27:36] 大問題。
[27:36] 真的都是可以填。
[27:37] OK。好,所以處理檔案也都沒有什麼大問題。
[27:42] 這對它來講都是小差一點。
[27:43] 那等一下的話,我最後再做一個示範的操績檔案。
[27:47] 所以操績檔案結束之後,
[27:50] 就差不多。我們差不多可以確定說它的整個能力如何。
[27:53] 所以處理檔案這件事,目前看起來應該是所有的檔案它
[27:57] 都可以處理。
[27:58] 我們就讓它去填。
[28:00] 那因為它要去找我的資料,
[28:02] 我的資料都存在我的筆記本裡面,
[28:04] 所以就讓它去做這些事情。
[28:09] 我的筆記本有存我所有的資料了,
[28:11] 所以很多時候我要填什麼資料,
[28:13] 我都會叫它去我的筆記本LOW。
[28:15] 那至於筆記本的部分,你們可以去看我頻道裡面有關於
[28:19] 我們的第二大
[28:20] 腦。Obsidian筆記本。
[28:22] 如果你想要學習怎麼樣去製作我們第二大腦筆記本的話,
[28:26] 你可以去看我頻道裡面影片有關於Obsidian
[28:29] 部分,都有詳細的教學。
[28:31] 當你有了這個Obsidian筆記本之後,
[28:34] 你可以使用AIA菌來去幫你寫任何的資料。
[28:38] 存起來存在筆記本的好處是以後你要撈什麼資料,
[28:42] 你就是去那邊撈就可以了。
[28:44] 好,那這個地方,全線要給還是有點麻煩?
[28:48] 目前我覺得最不方便就這裡啦,
[28:50] 要一直不斷的去按Submit。
[28:53] 這個地方有點煩啊。
[28:55] 好,那我們就讓他去投保看。
[28:59] 所以填資料應該可以減輕大家的工作吧。
[29:02] 讓他去填資料。
[29:04] 我知道大家可能有使用過Gemini或NotebookLM,
[29:07] 但是你知道,當我們用這些AI工具,
[29:09] 它是生成式AI工具,你最好還是要再做一個複製貼上對不對。
[29:15] 對,那使用Agin的話,就是你連複製貼上
[29:17] 這些東西,這件事都不需要了。
[29:19] 因為以前我們在Gemini或是在NotebookLM
[29:23] 我們做完之後,如果你要把它放到Word檔,
[29:27] 你還是要再做一個複製貼上的動作。
[29:30] 那當然是Google文件沒問題啦。
[29:32] 但如果是Word檔的話,原來上你就是要做這件事情。
[29:35] 好,因為它實在是找太多內容了。
[29:38] 所以沒辦法。
[29:39] 有沒有人可以告訴我這個要怎麼設定,
[29:42] 可以讓它比較高的權限,
[29:44] 讓它可以不用一直問我。
[29:46] 因為我覺得這樣蠻不自動
[29:47] 的。我覺得目前是需要修正的一個地方。
[29:52] 每讀一篇都問我一次。
[29:55] 寫好了。
[29:57] 所以在寫的時候還是都會給權限。
[30:00] 寫完了。
