[00:00] 今天我們來教大家
[02:43] 我有給一個懶人包的網址
[02:45] 那我把所有需要安裝的部分
[02:48] 我全部把它放在我的懶人包裡面去
[02:52] 所以大家在這個留言區
[02:55] 有看到一個訊息就是我懶人包的網址
[02:58] 所以懶人包網址的話
[02:59] 你把它打開來會像這個樣子
[03:01] 所以你到達這個網址之後
[03:03] 你會到達這個地方來
[03:04] 所以你去點選我留言區的懶人包
[03:08] 好這懶人包我都已經設定好了
[03:10] 你只要把這個懶人包丟給AI
[03:13] 它會自動帶著你去把這些東西裝好
[03:16] 所以在這裡那我們今天要使用的是
[03:19] 這個連接GitHub.md
[03:22] 好所以你就選這個連接GitHub.md
[03:25] 所以我們先點這個連接GitHub.md
[03:29] 這邊就是懶人包的內容
[03:30] 在右上角的地方這邊有一個
[03:32] download raw file這裡
[03:34] 將懶人包把它下載下來
[03:35] 下載完之後呢你在你的下載專區
[03:38] 會得到一個02連接GitHub.md檔
[03:42] 好這檔案要怎麼用呢
[03:44] 我們接下來我就到我們的另外一台電腦
[03:48] 沒有裝過的地方我們註冊安裝給大家看
[03:51] 好那我就要來到我第二台電腦
[03:54] 好我來到第二台電腦這台電腦沒有裝過
[03:57] 好現在就是三帥爸的畫面了
[04:00] 好所以一樣你在新電腦裡面
[04:03] 你打開我們的GitHub去選這個
[04:07] 好一樣在這邊下載這個GitHub.md
[04:09] 下載再來打開你的claude Code桌面版
[04:13] 所以你的claude Code桌面版的話
[04:15] 打開會像這樣
[04:17] 那因為我現在這個是我從來沒有
[04:19] 沒有安裝過的新裝的
[04:21] 所以上面的話真的就是沒有這個GitHub
[04:24] 好那你在這裡的話
[04:26] 你一開始進行的時候啊
[04:27] 你都要先選一個資料夾
[04:29] 好我們就選一個資料夾
[04:30] 好我選擇好資料夾
[04:33] 那因為我們在claude裡面
[04:35] 你必須要選定一個工作資料夾
[04:37] 接下來我所有的操作
[04:39] 就在這個資料夾裡面
[04:40] 我們剛剛下載的這個MD檔
[04:43] 直接在這個地方把它拉進來
[04:46] 這裡的話我調整一下這個模式
[04:49] 我習慣用這個bypass permission
[04:51] 選這個bypass permission
[04:53] 選了之後他就比較好了
[04:56] 是等一下他做任何事情
[04:58] 你就不用一直按確定哦
[05:00] 會比較沒那麼煩啊
[05:01] 所以新手的話我也不知道怎麼講
[05:03] 新手應該用嗎
[05:05] 因為這個是有一點風險的
[05:06] 但是我選擇相信claude
[05:08] 因為你要刪檔案之前
[05:09] 他還是都會詢問
[05:10] 好那我我這邊改好之後啊
[05:12] 我把這個這個github檔案
[05:15] 把它拉進來
[05:16] 所以拉進來之後
[05:17] 你會看到這邊有個draft file
[05:18] 所以我們就拉進來之後
[05:21] 你直接按提交就可以了
[05:23] 他就會告訴我們要怎麼做了
[05:25] 好提交他問你說
[05:28] 要相信這個工作空間嗎
[05:30] 點選相信那因為這個
[05:32] 這個懶人包是我我寫的啊
[05:34] 所以他會按照每一個步驟
[05:36] AI就會按照裡面的每一個步驟去去執行
[05:41] 這是一份懶人包教學文件
[05:44] 所以來所以我們應該要執行這個懶人包哦
[05:48] 所以你跟他講執行
[05:50] 把字調大一點
[05:51] 好他在做環境檢查
[05:53] 所以這裡的話來
[05:55] 環境檢查結果是這樣哦
[05:57] 所以他必須要安裝一個GitHub CLI
[05:59] 所以才有辦法去跟GitHub做連接
[06:04] 然後再來他就幫我安裝GitHub CLI
[06:07] 這一切都自動了哦
[06:09] 所以大家也不用擔心
[06:10] 大部分事情AI都會幫你做好
[06:12] 所以實際上我們人
[06:13] 不用做太多的設定
[06:15] 你只要步驟對方向對
[06:17] 原則上都不會差太遠
[06:18] 那他這邊的方式是使用GitHub CLI
[06:22] 來去跟GitHub做溝通
[06:24] 那我使用的方式是
[06:26] 我使用claude Code的桌面版
[06:28] 我並不是使用claude Code CLI模式
[06:30] 所以大家會發現說
[06:32] 你在使用上我們是圖形介面
[06:33] 所以你也不用太擔心
[06:35] 說他會有什麼程式或是什麼地方不懂
[06:38] 沒有他用起來就跟一般的AI一樣
[06:41] 你也可以截圖去告訴他
[06:42] 說哪裡有問題
[06:43] 他這邊都是跟你使用AI的方式
[06:46] 都是一樣的所以你不用擔心
[06:48] 好那如果你沒有
[06:51] 你沒有註冊過GitHub的話
[06:53] 沒關係等一下我會帶大家註冊
[06:55] 那這裡因為你第一次沒有裝
[06:57] 所以他會要你先安裝
[07:00] 好在安裝的時候呢
[07:01] 我們要先去註冊我們的GitHub
[07:03] 所以我們打開我們的網頁
[07:05] 好我來看一下
[07:06] 你在Google的地方搜尋GitHub
[07:09] 你會看到這個符號
[07:10] 這應該是貓吧
[07:13] 點他你從來沒註冊過的話
[07:15] 你就是要註冊要註冊
[07:17] 所以我們這邊註冊好
[07:20] 這邊的話Continue with Google
[07:22] 選擇一個帳戶好繼續
[07:25] 好這裡的話如果你不知道怎麼註冊的話
[07:28] 這邊安裝到一半有出現一個畫面
[07:31] 我註冊畫面他這邊有一個安裝程式
[07:33] GitHub CLI要安裝按Yes
[07:36] 我先給大家看一下安裝畫面
[07:37] 好所以你看哦有沒有自動安裝成功了
[07:40] 接下來要新增GH到PASS
[07:42] 所以你看哦他這邊完成之後
[07:44] 他問我說你有GitHub帳號了嗎
[07:47] 好你跟他說沒有
[07:49] 你跟他說沒有之後
[07:50] 他會教你註冊這個都是我設定的
[07:54] 所以原則上你就照著他上面的去操作就可以
[07:57] 好所以註冊一樣他給你頁面來
[08:00] 所以打開註冊頁面
[08:01] 在這裡的話就有我們的網址了
[08:03] 我們常用的email密碼要包含數字加小寫
[08:08] 八字元含數字加小寫
[08:10] UserName權占唯一
[08:12] 建議用英文加數字
[08:13] 決定之後就不好改了
[08:14] 再來email這個可取消勾選
[08:17] 再來通過拼圖驗證
[08:19] email驗證再來基本設定的話
[08:22] 直接捲到最下方點skip
[08:24] 方案選free這個是免費的
[08:27] 那登錄之後看到dashboard就完成了
[08:29] 好所以你就照著他這個去註冊
[08:32] 這應該是台灣創造帳號
[08:35] 接下來要開始拼圖點他
[08:38] 好這個拼圖用箭頭找到籃子裡面的影像
[08:45] 有同樣的內容哦應該是這樣吧
[08:49] 哇這好難哦哈哈哈哈哈哈哈哈
[08:55] 不容易啊不容易吧哈哈哈哈
[08:58] 不容易我覺得不容易啊
[09:01] 好所以完成的好完成
[09:03] 應該是你第二次登錄的時候
[09:05] 會需要做一個驗證好不好
[09:07] 好那因為這個東西如果你不常用的話
[09:09] 其實他蠻不容易的
[09:11] 好接下來我們已經註冊完成了哦
[09:15] 那就回到claude code裡面
[09:18] 你就跟他講註冊完成
[09:20] 他需要你的username
[09:22] 好username的話應該是這個
[09:24] 這個就是你的username
[09:25] 把資訊跟他講說已經註冊完成了
[09:30] 這個是我的username
[09:31] 他要我顯示的姓名
[09:33] 跟註冊github時候要用的那個mail
[09:36] 好你就根據他的提問回答就好了
[09:40] 把相關資訊給他
[09:43] 這個指令會在背景啟動並顯示驗證碼
[09:46] 好來這邊會有幾個驗證哦
[09:49] 所以你就照他的步驟就好了
[09:50] 所以這裡要手動操作
[09:52] 但是操作我們這邊只要設定一次就好了
[09:55] 所以有這邊讓你去打開瀏覽器
[09:59] 前往這個網址然後輸入驗證碼
[10:01] 你就開他我們先把驗證碼先複製起來
[10:05] 然後點選接下來都會連到這個地方來
[10:08] 大家看到嗎這裡的話要先登錄
[10:11] 好登錄之後啊登錄這個帳號之後
[10:14] 要你輸入驗證碼
[10:15] 把剛剛的驗證碼打上去按繼續
[10:18] 好這個時候只要點選綠色這個同意
[10:22] 好完成接下來回到claude code
[10:24] 完成之後告訴他以授權自動幫我檢查了
[10:27] 他幫我測試repo接下來測試網址
[10:31] 所以他幫我部署一個測試的網站
[10:34] 但是我們部署網站之後
[10:36] 你要看到真正的網站內容
[10:38] 還是需要一點點時間
[10:39] 所以他會告訴你說要等一兩分鐘
[10:42] 我們部署的時候都是這樣子
[10:44] 所以看看是不是真的有成功
[10:47] 那你就點這個網址open link
[10:50] 哇helloGithub連接成功完成了
[10:55] 這麼簡單各位就是這麼簡單
[10:59] 所以從現在開始你的claude code桌面版
[11:03] 就可以跟你的Github暢行無阻
[11:06] 所以你可以完完全全的是去把東西上傳到你的Github
[11:11] 然後把你的網站部署到Github上面去
[11:14] 好接下來你可以問他說
[11:17] 我之後製作網頁要如何push部署
[11:21] push就是把它推到Github上面
[11:24] 我們常說push部署的話
[11:25] 就是讓他變成是一個網頁
[11:27] 大家只要有網址就可以去看到你分享的內容
[11:31] 提交所有你在這個Github上面的任何問題
[11:35] 你就問他他都會回答的非常清楚
[11:38] 以後你不用再自己手動開你的Github
[11:41] 你就是全部都在claude對話裡面去控制你的Github
[11:46] 所以他就會回答你說哦好問題
[11:49] 以後製作網頁的時候
[11:50] 你只要對claude code說一句話就能上線
[11:53] 所以你就直接跟他講說
[11:55] 哦來幫我把這個網頁推到Github上線
[11:59] 他會自動幫我建立一個repo
[12:02] repo就是倉庫的意思
[12:04] 然後把檔案送到repo
[12:06] 接下來會幫我把它部署成網址
[12:08] 然後會回傳網址給你
[12:11] 你連Github都不用開
[12:12] 網址直接回傳到這個對話的界面來
[12:16] 所以假設你做了一個網頁在某個資料夾裡面
[12:19] 然後他就會幫你推送部署之後會得到網址
[12:24] 好你要更新內容的話其實也很簡單
[12:26] 你就用對話跟他講更新就可以了
[12:29] 所以實際上我們對claude code說話範例就是這樣
[12:32] 哦你做好一個網頁推到Github上線
[12:36] 他是真的會給你網址
[12:37] 全部幫你做好給你網址
[12:38] 把什麼教材我們這個在硬碟裡面的教材
[12:42] 直接推到Github
[12:44] 所以他就會幫你建立更新文字
[12:46] 然後或是產生qr code
[12:49] 刪掉repo全部都會自動幫你做好
[12:52] 你只要用自然語言的對話來去跟claude的
[12:58] 哦桌面版去講你要做什麼事情
[13:00] 他都會幫你做好
[13:03] 好那那這個東西為什麼會好用
[13:06] 是因為我們可以在本地端
[13:10] 你先把網頁做好
[13:11] 那你在本地端做網頁的時候
[13:13] 你可以放圖片上去
[13:15] 你可以一個網頁包很多網頁
[13:16] 所以實際上你可以在這個資料夾裡面
[13:19] 我們剛剛不是有設定一個資料夾嗎
[13:21] 在這個資料夾裡面
[13:22] 你把所有做好的網頁網址
[13:24] 先在這個資料夾裡面做
[13:26] 你在讀網頁的時候
[13:27] 我們以前最麻煩的是
[13:29] 我們有些圖片需要放到網絡上面去
[13:33] 可是以前我們在用 ai 做這個網頁的時候
[13:36] 很不方便是因為我們的圖片
[13:39] 在寫 code 裡面是很不好處理的
[13:42] 可是你現在在 claude code 桌面版裡面
[13:44] 你就是像一般我們在寫網頁程式一樣
[13:47] 你要加圖片加什麼東西
[13:49] 你可以在本地端全部做好
[13:51] 做好之後你只要跟他講說
[13:53] 幫我 push 到 github
[13:54] 然後並且上線
[13:56] 他就會全部的東西都上傳
[13:58] 幫你部署好變成是一個網頁
[14:00] 所有網頁裡面的圖片都能夠正常的顯示
[14:03] 所以當你要架你的個人網站
[14:05] 你要架什麼什麼網站
[14:06] 所有的網站你通通都可以
[14:09] 完完全全在這邊做好之後
[14:11] 全部部署上線好
[14:13] 以上是我們今天claude基本功第五集
[14:18] 建立你的個人資料庫
[14:21] 然後利用我們部署的懶人包
[14:24] 去將你的 claude code 桌面版
[14:27] 跟 github 去做連線
[14:29] 就這麼簡單
[14:30] 所以如果說你要做
[14:31] 你要做這個很豐富的網頁
[14:34] 包含音檔啊圖片啊影片那些東西
[14:37] 你就是在 claude code 這邊
[14:38] 先本地端做好之後
[14:40] 全部做好你測試也都 ok 了
[14:42] 那你就跟他講說
[14:43] 全部 push 到 github
[14:45] 他全部架好所有你上面
[14:46] 連接到的音檔圖片全部都會正常
[14:49] 他是一個公開網址大家都可以用
[14:51] 以上就是claude基本功第五集
[14:55] 建立你的個人倉庫全部內容
[14:59] 如果想要知道有關於 claude
[15:01] 所有相關在教學上面的應用
[15:05] 要訂閱按贊還有分享哦
[15:08] 我們今天的影片就到這邊
[15:10] 我們下集再見拜拜
