[00:00] 他的額度、他的用量幾乎是免費。
[02:15] 那又是另外一個世界囉。
[02:17] 為什麼會這樣說呢?
[02:18] 因為不管我們使用現在最頂尖的Claude Code,
[02:22] 不管我們使用現在最夯的Code
[02:24] x,它的用量都是有限的。
[02:27] 如果你想要到達比較多,
[02:29] 用不了的用量,你勢必都要上到100美金。
[02:31] 可是100美金對一般非工程師背景,
[02:35] 非你使用AI來去工作的人來說,
[02:38] 100美金是沒有必要的。
[02:40] 因為100美金真的每個月3000多塊。
[02:43] 那如果說你沒有把它用完的話,
[02:45] 實際上也是非常浪費。
[02:46] 那就以我目前我的職場,
[02:48] 比如說我是一位老師,我正常我白天都是有工作狀況下,
[02:52] 我使用AI去處理的工作,
[02:55] 原則上用不到100美金。
[02:57] 所以在用不到100美金的狀況下,
[02:59] 你用20美金去處理你的事情。
[03:01] 原則上一般來說應該都是沒有問題的。
[03:05] 那你想要多做一些事情呢?
[03:06] 20美金是有些局處。
[03:09] 所以今天就來介紹一下近乎無限用量OpenCode Go、
[03:14] OpenCode的Go方案。
[03:16] 用起來感覺到底是如何?
[03:18] 好,這是我今天OpenCode基本功EP03最划算的方案,
[03:24] 也就是OpenCode Go方案。
[03:26] 那我在上一集影片裡面我有介紹過我們的
[03:29] OpenCode。
[03:30] 那它是怎麼計算的呢?
[03:32] 我們在計算的時候,你就要去到它的官方的網站。
[03:36] 你官網之後就是打OpenCode Go。
[03:37] 那這裡我會把一些我最近使用的細節跟大家說。
[03:42] 那你到達這個官方網站之後,
[03:45] 註冊完登錄。
[03:46] 在右上角。
[03:47] 登了之後就可以看到你的方案。
[03:49] 那我目前為了幫大家實驗呢,
[03:51] 我把兩個方案我都去做實用。
[03:54] 其中第一個方案就是OpenCode的Zen方案。
[03:57] Zen方案要儲值20美金才可以使用。
[04:00] 所以這裡的話要儲值20美金。
[04:03] 那我覺得它很好用,是因為它很彈性。
[04:06] 它非常彈性。
[04:07] 彈性的意思是說我現在這個儲值20美金,
[04:10] 我可以怎麼樣?
[04:11] 我可以用多少算多少?
[04:15] 再來你在購方案裡面,當你購方案用完你的額度之後,
[04:20] 他可以利用你的Zen方案的餘額去支付購方案的錢。
[04:25] 那原則上我覺得購方案應該是用不完的啦。
[04:28] 所以Zen方案是儲值多少、
[04:30] 用多少。
[04:31] 那他儲值用多少,他用的量就是一般你的大型元的用量
[04:36] 是怎麼算的,他是怎麼算的。
[04:38] 所以原則上不會太便宜也不會太貴。
[04:42] 現在就說不便宜也不貴啦。
[04:44] 那當然包月的訂閱制應該是用量是比較
[04:49] 多的。
[04:50] 那像這種用多少算多少方案的話,
[04:53] 總體用量是沒有包月字那麼多。
[04:55] 因為包月字很多人一起去分攤這個錢。
[04:59] 所以目前為止是這樣。
[05:02] 好,我的這個有點怪怪的。
[05:06] 好,電方案的話,它可以用到所有頂尖的模型,
[05:09] 所以大家看喔,最新的4.8也上線喔,
[05:14] 這邊4.8也上線喔,所以你可以用到最新的
[05:16] 4.8是沒問題的喔。
[05:17] 再來我們看一下Go方案。
[05:19] Go方案你在這裡的話,如果大家使用我的註冊碼的話,
[05:23] 我現在把註冊碼貼到聊天室。
[05:25] 如果你聽完我今天的介紹,
[05:27] 你就會Go方案可以試試看的話,
[05:29] 你可以使用我的註冊碼。
[05:30] 那你使用我的註冊碼之後你可以得到5塊錢美金的額度。
[05:35] 這5塊錢美金的額度可以用在哪裡呢?
[05:37] 它可以用在這個地方。
[05:38] 比如說已經有夥伴使用我的折扣碼去註冊。
[05:43] 所以我這個獎勵就可以這樣子,
[05:45] 使用獎勵我可以把它用在這個地方。
[05:48] 它可以讓我的每週使用量、
[05:51] 每月使用量或是我的該月的滾動使用量去減少一定的
[05:55] 額度,就是5美元的額度。
[05:57] 所以如果你用我的註冊碼註冊碼,
[05:59] 你也可以減少5美元的額度,
[06:02] 讓你有比較多額度去使用當月的量。
[06:05] 所以這邊看你要不要使用。
[06:07] 所以這個5美元的折扣是這樣去使用的。
[06:10] 那也請大家,如果今天你有考慮要使用的話可以用我的
[06:13] 折扣碼。
[06:14] 讓我多一些折扣來去使用。
[06:17] OpenCode的方案做成影片回饋給大家。
[06:20] 好,再來這邊的話,
[06:23] 這個模型的呼叫像。
[06:25] 上面的話,它就會告訴你說,
[06:27] 我模型呼叫。
[06:28] 呼叫給大家看一下,這個每5小時的請求,
[06:32] 每週請求。
[06:33] 好,大家看一下,請求數意思是說我們跟他對話一次就
[06:38] 算一個請求。
[06:39] 那AI、Agin在工作的時候,
[06:42] 他會自己對話很多輪。
[06:44] 那每一個輪對話也算是一個請求。
[06:47] 所以他這邊是用請求數來算的。
[06:49] 所以請求數越少,代表他越貴。
[06:52] 好,大家用這樣去看就好了。
[06:55] 每5小時請求數量越少越貴,
[06:58] 因為它就是給你一定的額度。
[06:59] 那額度換算成他們Token的費用,
[07:02] 所以就會轉成請求數。
[07:03] 最簡單的看法就是請求數量越少越貴。
[07:07] 所以大家看一下一般正常的,
[07:10] 正常量我覺得算沒有很貴的。
[07:13] 那我自己常用的就是這個KIMI 2.6KIMI
[07:18] 2.6是很聰明的模型。
[07:19] 所以它5小時的請求數量是1.150,
[07:23] 不便宜。
[07:24] 但是跟最頂尖的語言模型比起來也算還好。
[07:28] Kimi2.6。
[07:29] 再來就是我這樣使用的就是Deepsticker V4
[07:33] Pro。這是一個很聰明的模型。
[07:35] 所以它每5小時的請求量是3450。
[07:39] 各位,3450是很多。
[07:42] KGin自己的對話,我跟他對話5個小時可以到
[07:45] 3454。
[07:47] 因為上次是蠻多的數量,
[07:49] 算是蠻便宜的。
[07:50] 可是大家知道Deepsticker V4 Pro是算很
[07:54] 聰明。這個很聰明的模型。
[07:55] 它算是在排名前10的。
[07:57] 這個是很聰明的模型,但是卻蠻便宜的。
[08:01] 所以當你要做一些比較重度工作的時候,
[08:05] 你可以開Deep V4 ProLite去做工作。
[08:07] 但是它算便宜的。
[08:09] 真正重點是這個,看一下這個。
[08:12] 大家看一下這個。
[08:14] 大家看清楚這個。
[08:15] 重點是這個。
[08:16] 大家看一下。
[08:17] Deep Seek V4 Flash 的每5小時請求量是
[08:23] 31,650次。
[08:25] 我簡單一點白話跟大家說,
[08:28] 五小時你用不完。
[08:30] 你用不完V4 Flash的用量,
[08:33] 五小時你絕對用不完。
[08:35] 也就是說你一直不眠不休使用的話,
[08:38] 可以一直用一直用一直用一直用,
[08:41] 不會中斷。
[08:42] 它便宜到你用非常久,它才用到1%。
[08:45] 你用很久才掉1%。
[08:47] 所以你可以把它當成是幾乎是免費、
[08:52] 無限的aging的語言模型。
[08:56] 這樣大家理解嗎?
[08:57] 目前你能夠做到這一點,
[09:00] 近乎無限、近乎免費使用的模型。
[09:04] 目前只有Deep-Sea Q4 Flash。
[09:07] 好,我們先不考慮本地端,
[09:08] 因為本地端的硬體設備成本太高。
[09:11] 我們就講雲端AI來說,雲端AI來講,
[09:14] 你以聰明程度跟你的用量在aging裡面,
[09:17] 我覺得目前第一名就是他。
[09:19] 他幾乎是無限跟免費使用。
[09:24] 那其他的agent你是做不到這一點。
[09:28] 所以我用他用的非常的過癮。
[09:30] 怎麼講?你要做一些雜事的時候,
[09:33] 做一些苦工的時候,開他出來做我覺得真的非常划算。
[09:37] 因為他基本上等於不花錢。
[09:40] 大家理解嗎?
[09:41] 等於不花錢,開始一直用一直用。
[09:44] 雖然他沒有是,他不像是頂尖模型那麼聰明。
[09:48] 可是他真的非常的
[09:49] 便宜。所以我覺得目前購模型最大的優點就是我們可以
[09:53] 無限幾乎免費的去不斷的使用Deep
[09:57] Seek V4 Flash。
[09:59] 那在我之前的直播影片有提到,
[10:02] 用它來工作其實品質是不差的,
[10:05] 它的品質不會太差。
[10:07] 它雖然不是頂尖,但不會太差。
[10:09] 所以你拿它來做一些雜物,
[10:11] 做一些苦工,非常好用。
[10:13] 好,所以介紹完這個用量之後,
[10:17] 你可以去看你的用量。
[10:19] 那看你用量的話你就是要到這裡來看,
[10:21] 到首頁的地方,選擇購方案。
[10:24] 那大家看一下我上個禮拜六還是禮拜五晚上付錢,
[10:28] 使用到現在一個禮拜的時間。
[10:31] 那大家看一下五天的時間。
[10:33] 那看一下,它有每月使用量。
[10:36] 我算是重度使用者,我也是努力用的。
[10:41] 真的是很難把它用完。
[10:42] 那在最下方的話你可以看到你的使用量。
[10:46] 使用量在這裡會有一個使用量。
[10:48] 那他真的有在用,你再點他。
[10:50] 那用最多應該是,好回答一下GATTATA。
[10:55] 對,雜誌的話,比如說處理檔案、
[10:59] 出考卷、做簡報、生成影片。
[11:01] 我們今天有一個既定的工作流或是既定的一個技能去
[11:05] 做固定事情的時候,就是處理雜誌。
[11:08] 所以你需要大量出考卷,
[11:10] 你需要大量做影片,你需要大量做簡報的時候,
[11:14] 這種雜事就是交由Deepseek Flash來做,
[11:17] 他仍然可以做得相當好。
[11:20] 為什麼呢?
[11:20] 因為所有的工作流程,我們請最聰明的原模型寫好之後,
[11:25] 由這些沒那麼聰明,但是用量幾乎是無限跟免費的
[11:30] AI,來去做這些由最聰明的模型,
[11:34] 規劃好的工作流程。
[11:36] 但是由它來跑。
[11:38] 這樣大家理解我的意思嗎?
[11:40] 我們在使用agent的時候就是要分工。
[11:43] 你把這些用量低,然後用蠻聰明的模型來跑這些事情才
[11:48] 是最划算的。
[11:49] 因為這些雜物消耗的Token數量,
[11:53] 你用大型頂尖的遠模型去做是不划算的。
[11:57] ok嗎?我等一下稍微講一下大概是哪些事情。
[12:01] 好,所以你在左邊的地方使用量的地方你可以去看。
[12:04] 那你就點它。
[12:06] 所以下方就會開你最近使用的,
[12:08] 所以你們先要看一下,我其實是大量的使用
[12:11] Deepseek V4 Flash去做事情。
[12:13] 所以你會看到說它的成本用的這麼多。
[12:15] 所以都是小數點後,你看0.0006,
[12:20] 一次呼叫,用到這麼多,
[12:22] 非常的便宜,
[12:25] 你可以把它當成是免費,
[12:27] 因為5小時你用不完,你真的用不完,
[12:29] 你絕對用不完。
[12:30] 好,再來比較花錢的,大概就是這個啦,
[12:34] 我有用這個。
[12:36] 我比較花錢的就是Kimi2.6Kimi2.6Kimi2.6
[12:40] 就是綠色的就是Kimi2.6Kimi
[12:46] 2.6Go的話我那天花很多額度去
[12:52] 使用所以Kimi2.6Go的話有傳聞說它是量
[12:57] 化模型的但是我覺得還OK啦我覺得算蠻好用
[13:00] 的所以Kimi2.6 Go的話就是這個方案。
[13:04] 所以你會發現說它真的是蠻貴的,
[13:06] 因為它5小時是1000多次嘛。
[13:09] Deepseek V4 Go是1萬多次,
[13:12] 真的是非常的難用完。
[13:13] 那我也很常使用Deepseek V4 Pro,
[13:16] 因為V4 Pro算是頂尖模型,
[13:18] 它算很聰明。
[13:19] 所以我也蠻常拿它來使用。
[13:21] 好,所以在Go裡面呢,我幫大家試好了。
[13:25] 你真正要使用的模型就只有三個。
[13:29] 這只有三個。
[13:30] 好,是哪三個呢?
[13:31] 聽我,威威道來。
[13:34] 好,所以打開你OpenCode裡面啊,
[13:37] 你可以去設定你的模型,
[13:39] 在左下角設定的地方,在這個地方,
[13:42] 好,可以去設定這個模型,
[13:44] 點它。
[13:45] 所以在這個模型的地方,
[13:48] 我們可以去設定要顯示哪些模型,
[13:50] 不顯示哪些模型,所以你就點它,
[13:52] 好,點它一下。
[13:53] 所以這裡的話,第一個是我們的Zen,
[13:56] 這方的話一樣可以顯示說,
[13:58] 你要開什麼就
[13:58] 好。所以我的Zen方案是我有開的,
[14:01] 這個是CP值很高,處理雜事他也很好用。
[14:05] 在最新的4.8我有開,我覺得4.8很不錯,
[14:09] 我試用到現在,我稍微試用一下,
[14:11] 我覺得4.8很不錯。
[14:12] 所以在Zen方案你也可以開到4.8模型。
[14:15] 那像Sony 4.6就是CP之網,
[14:18] 可度用的不多,那也蠻聰明的。
[14:20] 在Deep Sync V4 Flash Free,
[14:22] 這邊有一個免費方案,Free方案,
[14:25] 就是不用錢的。
[14:26] 那大家會有疑問說,
[14:29] Deep Seek V4 Free 方案跟Deep Seek V4
[14:32] Flash Go 方案兩者有什麼不一樣?
[14:35] 來各位,這兩個不一樣的地方在於他們的上下文容量是
[14:39] 不同的。
[14:40] 所以這個Free 方案他的上下文是20萬。
[14:43] 就是免費的Deep Seek V4 Flash 的上下文是
[14:48] 20萬。
[14:49] 而付費的Deep Seek V4 Flash Go
[14:53] 方案的上下文是100萬。
[14:57] 所以如果你有使用Deepseek V4 Flash Go方案的話,
[15:01] 我強烈建議你不需要再去使用Free方案。
[15:05] 那當然如果你今天不想要付錢的人,
[15:07] 你可以使用Free方
[15:08] 案。可能塗上去之後,去使用Deepseek
[15:12] V4 Free的方案,也可以。
[15:14] 20萬上下午也很好用啦。
[15:15] 你以不付錢來講,我覺得OK啦,
[15:17] 沒有什麼不好啦。
[15:19] 所以免費的上校館就20萬。
[15:22] 因為上午會開,就想要當有些事情需要免費去做的時候,
[15:27] 我會稍微拿來處理一下。
[15:29] 下方的話3.5Flash。
[15:31] 如果你想要趕時間的話,
[15:33] 各位,你趕時間的話,Gemini3.5Flash是我用過最快速
[15:39] 度最快的模型。
[15:40] 它真的非常的快,大概是其他模型的2倍
[15:44] 3倍的速度。
[15:45] 所以如果你趕時間要做事情,
[15:46] 你有錢的話,直接開3.5Flash出來,
[15:49] 它非常快,速度非常快。
[15:51] 再來GLM5.1也是一個非常聰明的模型,
[15:53] 但是有點貴啦,個人不建議使用。
[15:56] 好,所以下方的話,5.5你可以開來,
[16:00] 但是一般我都是用Codex去處理。
[16:02] 好,所以MiniMax,我覺得MiniMax可以不用開,
[16:06] 免費可以放著,沒關係。
[16:07] 再來Go方案的話,只要開這三個就好了。
[16:10] 各位,我現在來解釋一下這三個就好了。
[16:13] Go方案,你只要開
[16:15] 這三個就好了。這三個就好了。
[16:15] 那我會講說這三個在什麼時候用?
[16:17] 各位,Go方案你只要開這三個就可以了。
[16:21] 分別是Deep-Seek V4 Flash跟Deep-Seek V4 Pro。
[16:24] 這個Pro是頂尖模型。
[16:27] 如果你想要處理一些稍微要認真一點做事的,
[16:31] 開Pro出來。
[16:33] 好,再來KIMI 2.6也是頂尖模型。
[16:36] 在陸版的模型裡面,它算是頂尖的。
[16:39] 它能力應該是跟Claude的Obs 4.7差不多,
[16:43] 沒有差很多。
[16:44] 所以,它還是頂尖模型,
[16:46] 但它比較貴。
[16:47] 它比較貴。
[16:48] 好,所以優先順序,我現在跟大家講什麼時候需要開誰。
[16:53] 來,我現在直接開我的給大家看。
[16:56] 你打開之後啊,在下方,
[16:58] 你要選模型的地方。
[17:00] 那比如說嘛,你在選模型使用的時候,
[17:05] 你在選的時候,三種分別對應到不同任務。
[17:08] 好,哪不同任務呢?
[17:10] 你們現在看一下,我現在使用的是KIMI 2.6。
[17:14] 好,KIMI 2.
[17:15] 6。有什麼模型呢?
[17:16] 什麼時候需要用到它?
[17:18] 各位,它是多摩泰的模型。
[17:22] 好,你就看這邊,多摩泰的意思是說它資源字、
[17:26] 圖片、影片。
[17:26] 意思是說它吃得懂文字,
[17:31] 它讀得到圖片。
[17:33] 再來,它也讀得到影片,
[17:35] 這個叫多摩泰。
[17:36] 所以你輸入圖片給它,它是讀得到的。
[17:39] 你輸入文字給它,當然文字、
[17:41] 一些模型都讀得到。
[17:42] 你輸入影片,它也讀得到。
[17:45] 所以當你需要處理的文件類型,
[17:49] 有像PDF、Word、圖檔,
[17:52] 需要圖片的,你就要開KIMI 2.6出來。
[17:56] 但是KIMI 2.6也是很聰明的模型,
[17:59] 那它的上下文是26萬,26萬我覺得也很夠用啦。
[18:02] 所以在什麼時候開KIMI 2.6呢?
[18:06] 你需要辨識圖片。
[18:09] 比如說你需要處理文件檔案是有圖片的。
[18:13] 你需要貼圖給它,跟它講哪裡有問題的。
[18:16] 你就說就要開Kimi2.6。
[18:19] 那雖然它比較貴,但是跟像Claude Code比起來,
[18:23] 它還是相對來講是比較便宜的。
[18:25] 它是很聰明的模型。
[18:26] 好,再來,因為它很聰明。
[18:28] 所以我們在做一些事情的時候,
[18:31] 我們會開它出來。
[18:32] 比如說,我們需要做很難的事情。
[18:35] 比如說規劃大型專案。
[18:37] 比如說我現在正在製作一個Godot的遊戲的時候,
[18:43] 我在做遊戲的時候,我需要看它出來。
[18:44] 所以為什麼我需要看它出來?
[18:46] 是因為我們有時候在做一些來回錯誤,
[18:51] 要回報給AI的時候,我需要貼圖片。
[18:53] 所以這個時候你需要的是一個能辨識圖片的多模態語
[18:59] 言的模型。
[19:00] 那一般前端的那些像Claude Code,
[19:03] 的Arps,Sonic,GPT,他們都是
[19:05] 因為它們是頂尖的模型,
[19:06] 它們原先就是有多模態。
[19:08] 可是像比較非頂尖模型,
[19:10] 你要看一下它們的資源多模態。
[19:12] 像KIMI 2.6就是頂尖模型,
[19:14] 它是有資源多模態的。
[19:15] 所以圖片它認得。
[19:16] 所以當你需要圖片跟它做溝通的時候,
[19:19] 你就要開KIMI 2.6。
[19:21] 那你需要做一些規劃專案,
[19:24] 寫很難的程式,排除問題,
[19:27] 做一些很難計劃。
[19:28] 或是你覺得這件事情需要動腦,
[19:30] 需要整合一些東西去做判斷的。
[19:33] 你就是要開聰明的模型出來。
[19:37] 你需要有圖片跟他去做對話的,
[19:39] 你就要開多模態的語言模型出來。
[19:44] 好,如果你理解的話,在聊天室打個1。
[19:47] 好,所以Kimi2.6只有在這些時間需要拿出來使用。
[19:51] 那你看像Agin的話,他們在做的時候,
[19:53] 他就是會去做這個規劃。
[19:56] 那這個是什麼你知道嗎?
[19:58] 我正在做一個遊戲,類似吸血鬼倖存者遊戲。
[20:01] 那這個是,
[20:03] 開始大家看。
[20:04] 這個是一個遊戲開發。
[20:06] 遊戲開發的工具,遊戲開發完是可以上架到
[20:09] Steam平台的。
[20:12] 它做出來是一個遊戲。
[20:13] 我們在做遊戲的時候,我可以利用大型語言模型來去跟
[20:19] 這個遊戲做連接。
[20:20] 所以我就做了一個專案。
[20:22] 這個專案我再做一個遊戲,
[20:23] 這個還沒開發完。
[20:24] 但是我跟大家講,像我在開發這個遊戲,
[20:28] 我就得要開這個大型專案的大型語
[20:32] 言模型。所以我會把這個作品出來是因為它連到這個
[20:34] 遊戲裡面來。
[20:35] 我不需要自己寫程式。
[20:37] 那我的OpenCode的Kimi2.6會幫我寫程式。
[20:42] 所以在寫程式的過程裡面我可能需要截圖跟他講說哪裡
[20:47] 沒做好,哪裡需要修改。
[20:50] 所以我需要一個可以讀懂圖片的AI。
[20:53] 我需要一個夠聰明的AI。
[20:56] 所以在做這種事情的時候我就會開Kimi2.6
[21:00] 出來,來去做這件事情。
[21:03] 當然消耗額度就會比較多啦。
[21:05] 所以這個地方大家要知道我們在選擇模型的時候就是
[21:09] 這麼做的。
[21:10] 所以像這個話,它現在就在改,
[21:13] 去改我的遊戲。
[21:14] 那它的機制是這樣,我的大型原模型,
[21:18] 我的A群已經連到這個工具裡面來。
[21:20] 它會自動連到這邊去寫
[21:22] 程式。那寫程式完了之後,
[21:25] 我就會把它砍,砍拍完之後,
[21:27] 就會變成一個真的遊戲可以玩。
[21:29] 這遊戲是可以打包成一個單獨可執行檔的遊戲,
[21:32] 這遊戲也可以上架到Steam的那種。
[21:35] 所以像這種工具來寫遊戲的時候,
[21:38] 它做到的自由度是非常大,
[21:40] 因為你現在市面上看到的2D、
[21:42] 3D的遊戲都是能做
[21:44] 的。好,所以現在我就已經做好了,
[21:47] 對不對?那這遊戲的話我剛開始做,
[21:50] 所以在這裡的話我就會按重新整理,
[21:53] 那它就會討遊戲出來。
[21:55] 那這遊戲的話因為我還沒有做背景,
[21:58] 它就是去躲那個怪物,會射武器,
[22:01] 那這時候我就要回答問題來去升級我的武器。
[22:05] 這樣這樣。我升級也是這樣。
[22:06] 好,我就可以升級武器。
[22:08] 比如說我就升級了火球術跟那個。
[22:10] 我要去吃經驗值。
[22:12] 接下來我要開始換底圖換武器這樣子。
[22:16] 每次要升級武器的時候,
[22:17] 他就會說,我會出現絕對選人生集,
[22:19] 我得要去作答。
[22:21] 題庫可以自己賄賂。
[22:23] 比如說我在做過程面,我就可以截圖跟他講。
[22:29] 然後我就跟他講,怎麼樣?
[22:30] 你要截圖跟他講的時候,
[22:32] 你要截圖,你貼到這邊來。
[22:35] 選擇題的部分,題目的重複性太高,
[22:40] 你要多設計一些題庫。
[22:42] 再來我仍然沒有看到閃電鏈的武器圖標。
[22:47] 好像這樣。
[22:47] 那因為它是一個多模態的語言模型。
[22:50] 所以當我貼圖給它的時候,
[22:52] 它是認得圖片的內容。
[22:53] 所以我就可以在這個地方用圖片去跟它溝通說哪裡需要
[22:57] 修改。
[22:58] 這樣子。
[22:59] OK嗎?
[23:00] 好,再來,來生成影片講講。
[23:03] 那什麼時候使用Deepseek V4 Pro呢?
[23:06] 好,所以你看喔,在這邊大家看一下,
[23:09] V4 Pro,來,Deepseek V4 Pro仍然是一個非常聰明的模型。
[23:15] 他的聰明程度也是在排名前10。
[23:18] 但是他並不是一個多模態的模型,
[23:22] 所以他是只有文字而已。
[23:24] 所以當你要做一些很難的事情,
[23:26] 但是跟圖片無關的,就開他出來做。
[23:30] 重點是他很便宜。
[23:31] 再來,上下文100萬。
[23:34] 所以要做一些比如說做科展、
[23:38] 解數學題目、寫很難的程式、
[23:42] 大型的專案跟圖片沒關的,
[23:44] 你可以開這個Deepstick V4 Pro出來。
[23:47] 因為它仍然是非常聰明跟頂尖的模型,
[23:50] 這樣大家OK嗎?
[23:52] 所以當你需要做很難的事情,
[23:54] 跟圖片沒有關係的,比如說要上網做東西、
[23:58] 要出考題、要上網抓資料、
[24:01] 要做一些專案的規劃,它都是沒有問題的。
[24:06] 所以這個時候你就應該要開Deep Seek V4出來。
[24:09] 再來重點來了Flash。
[24:12] Flash的話就是當你要做初攻的時候,
[24:15] 來大家看一下,有沒有看到他也是100
[24:19] 萬的上下文。
[24:20] 他是一個非常便宜,
[24:22] 然後用量近乎無限的模型。
[24:26] 他有100萬的上下文。
[24:28] 所以要做初攻是非常合適的。
[24:31] 那比如說,我做初攻的意思是說,
[24:34] 我這邊的東西是有一個很好的東西。
[24:34] 這邊我已經做好了,就是我們可以去做這個影片嘛。
[24:39] 所以做影片的狀況下就屬於做初工。
[24:42] 那我用頂尖模型去規劃好我們做影片的流程。
[24:46] 接下來做初工的話我們就請他來做。
[24:49] 好,比如說我就請他做。
[24:51] 幫我做第三類型的影片。
[24:53] 幫我科普在OpenCode裡面的Go方案。
[24:57] 你幫我比較一下Deep Seek V4 Flash
[25:01] 的模型。
[25:02] Deep Seek V4 Pro的模型。
[25:04] 以及Kimi2.6這三個模型在各種aging
[25:08] 的工作樣態下所適用的場景。
[25:12] 你先上網搜尋完資料之後,
[25:15] 再去生成腳本以及視覺規範。
[25:19] 好,像這樣就是做初工。
[25:21] 做初工意思是說,反正我的工作流我都已經設定好了。
[25:25] 我在做這些事情的時候,
[25:27] 它就是照著我的工作流去做事。
[25:30] 所以你不需要去思考太多複雜的問題。
[25:35] 所以像這種場景就會非常適合用這種模型
[25:40] 來做。
[25:41] 所以就是做初工。
[25:42] 比如說你要做檔案整理,
[25:45] 你要做什麼這個初考題。
[25:48] 初考題當然是已經建構在你已經設定好的流程之下。
[25:51] 所謂的做初工就是這樣。
[25:53] 所有那些不需要很聰明思考的事情,
[25:57] 已經做好工作流的。
[25:59] 就是由它來大量生產。
[26:03] 所以你可以用它來大量生產影片,
[26:06] 你可以用它來大量生成考驗,
[26:07] 你可以用它來大量生成網頁。
[26:11] 所以Deepseek V4 Flash就是拿來做大量生產那些內容的時候
[26:17] 使用。
[26:18] 所以好,那我就請他去做。
[26:22] 所以按提交。
[26:23] 所以你看喔,就算它是一個不是頂尖的模型,
[26:29] 他仍然在我們這個OpenCode的環境裡面工作。
[26:33] 那這OpenCode裡面的環境就是一個Harness。
[26:35] 他準備好一個環境讓我們的AI在裡面工作。
[26:39] 所以他本質上現在就是一個agent。
[26:41] 是一個便宜、用量近乎無限。
[26:44] 然後可以一直幫你工作的agent。
[26:47] 大家理解到這件事情是很可怕的嗎?
[26:50] 他雖然不是頂尖模型,但他可以不斷地一直工作,
[26:54] 一直工作,一直工作。
[26:57] 好,所以你有理解到我說這件事,
[27:00] 你覺得好像蠻厲害的。
[27:03] 答一個6好不好。
[27:04] 好,所以你看,他就開始上網查了。
[27:06] 雖然他是一個便宜的模型,
[27:09] 但是他仍然可以工作啊,
[27:11] 為什麼不能工作呢?
[27:12] 全部自動化好嗎?
[27:15] 好,所以自動化的話,對,
[27:18] 沒有錯,就是壓榨他,沒有錯,
[27:20] 就是壓榨他。
[27:21] 所以當我們設定好所有的工作流程,
[27:24] 我們只要請,
[27:25] 最便宜的模型出來。
[27:27] 按照我們設定好的技能。
[27:29] 按照我們設定好的工作流程。
[27:31] 不斷地生產、生產、生產。
[27:34] 不斷地上網找資料。
[27:38] 不斷地幫我去整理我的檔案。
[27:40] 不斷地幫我去做那些苦工。
[27:42] 因為它有近乎無限。
[27:45] 幾乎是免費的用量。
[27:48] 好。
[27:49] 那為什麼它可以做到這一點?
[27:50] 是因為這個Deepseek它的整個內
[27:55] 部的,一部的結構的方式是跟傳統大型語模型不太一樣。
[27:59] 所以它才可以做到這麼的節省用量。
[28:03] 那當然我也有裝那個節省用量的工具啦。
[28:06] 這個今天可能沒有時間跟大家講。
[28:09] 所以可能有下一集吧下一集吧。
[28:13] 下一集。
[28:14] OpenCode下一集回再跟大家說好不好。
[28:15] 今天這一集我最主要就是講一下你在使用
[28:19] OpenCode裡面的購方案。
[28:21] 你要怎麼樣去使用裡面的模型。
[28:24] 那我幫大家做
[28:25] 好了。你只要做你只要使用這三種模型就好。
[28:30] 分別是Kimi2.6很聰明,
[28:32] 比較貴。
[28:35] 然後接下來Go!
[28:37] 他就幫我做了。
