[00:00] claude的基本功第八集
[05:22] 那沒有其他的資料
[05:24] 我們等一下整理完之後
[05:25] 才會有其他資料
[05:26] 比如說我在YouTube看到一個很好的影片
[05:29] 那我想要把這個影片
[05:31] 加到筆記裡面去
[05:32] 要怎麼做呢
[05:33] 如果這個影片有CC字幕的話
[05:36] 我們可以直接抓這個字幕
[05:37] 要怎麼抓呢
[05:39] 在影片下方影片資訊的地方
[05:42] 往下往下你會看到有一個字幕記錄
[05:45] 點選這個顯示轉錄稿
[05:48] 所以在右邊就會出現轉錄稿的字幕記錄
[05:51] 只要在這個地方按右鍵
[05:53] 選擇ObsidianSave List Page
[05:56] 他就會把這個影片所有的網址
[06:00] 標題還有下方會有所有的字幕記錄稿
[06:04] 會全部存起來
[06:06] 用這樣子來抓影片當做筆記超級方便
[06:10] 新增到筆記
[06:11] 所以一樣我的Clipping裡面
[06:13] 就會有這個YouTube的筆記
[06:15] 那如果沒有CC字幕的話
[06:18] 比如說像李俊儀老師的最新的這個講座
[06:22] 可視化VS可識化
[06:24] 我覺得這個內容實在是太讚了
[06:27] 我想要把這個內容當做是我的筆記本裡面資料
[06:32] 俊儀老師沒有提供字幕
[06:33] 我現在給大家一個我自己的做法
[07:02] 打開你的claude
[07:03] 將這個mp3檔案丟到claude對話裡面
[07:07] 請將這個音檔上傳至notebook LM
[07:10] 抓取逐字稿
[07:12] 將逐字稿新增到obsidian clipping筆記裡面去
[07:17] 按提交
[07:18] 之前影片我們已經裝過了claude
[07:20] 能夠使用mcp去操控notebook LM
[07:24] 所以我們可以直接請claude去做這件事情
[07:27] 然後把抓到了逐字稿
[07:29] 直接丟到obsidian的筆記裡面去
[07:32] 接下來他會自動去執行逐字稿
[07:34] 總共有8萬字元筆記已建立
[07:38] 他還知道名字打錯了會幫忙修正
[07:41] 這件事蠻難的但他使命必達
[07:43] 還是把這個筆記把它抓出來了
[07:47] 筆記有包含front matter
[07:48] 包含了以下這些tag
[07:50] 逐字稿全文他有清理格式分段排版
[07:54] 我們來看一下整理好的筆記在這邊
[07:56] 所以會有摘要關鍵字
[07:59] 下方就是逐字稿
[08:00] 逐字稿相當的準
[08:02] 有這麼多真的超級多
[08:05] 好這些都是寶貴的原始資料
[08:08] 接下來我們來看一下我們的設定
[08:11] 在schedule裡面我們有排定每個禮拜
[08:14] 去做一次知識整理
[08:16] 接下來教大家每週知識重整七步驟
[08:19] 資料來源是卡帕西的LLM AI筆記
[08:24] 首先盤點我們這個禮拜新增哪些筆記
[08:27] 我剛剛示範新增了三個筆記
[08:29] 他會消化clipping裡面知識庫
[08:31] 然後再來自己的創作也會被提煉
[08:34] 所以像我拍好的影片
[08:35] 我會將我的影片把影片網址跟字幕
[08:38] 也全部丟到筆記裡面來
[08:40] 所以為什麼我的影片要上字幕
[08:42] 是我正在建立我自己專屬的資料庫
[08:45] 在這個lint lint是檢查我們AI的連結
[08:49] 有沒有缺失如果有
[08:51] 我youtube後台數據的話會更好
[08:53] 每一次更新index跟log都會講更動哪些部分
[08:57] 週報的話會有一頁總結
[08:59] 所以在每週的例行工作裡面
[09:03] 就會執行一次知識重整
[09:06] 完成下列所有的步驟
[09:08] 可以找出外部輸入的
[09:10] 跟我創作的原始資料
[09:12] 會去做這一連串的事情
[09:15] 我創作的內容也會重整一次
[09:18] 接下來也會做知識庫的健康檢查
[09:21] 尤其是這個缺口矛盾
[09:23] 還有連結以及跨主題
[09:26] 還是有沒有完全不相關的筆記
[09:28] 最後會產出一個週報
[09:31] 我這邊讓他跑一次
[09:32] 他在跑的同時
[09:33] 我讓大家看一下我的筆記
[09:35] 所以在左邊的地方
[09:37] 你會看到創作庫
[09:38] 創作庫有我所有班級經營的影片
[09:42] 數位教學10講claude的基本功
[09:46] Google AI基本功跟Notebook LM
[09:49] 所有我創作的內容
[09:50] 都會新增到這個地方來
[09:52] 當做是AI的原始資料庫
[09:54] 接下來看一下知識庫的部分
[09:56] 就是由AI管理的
[09:58] 裡面他自動幫我分類
[10:00] 所以按照我之前給他的資料
[10:02] 他把我分成個人品牌
[10:04] 教育趨勢AI工作流
[10:06] 還有所有的索引跟所有的Log
[10:10] 那我很喜歡的是這邊
[10:11] 有一個創作內容缺口分析
[10:14] 有一部分是AI工作流
[10:16] 我們回到claude這邊來
[10:18] 他會根據我剛剛新增的內容
[10:20] 去重新做整理
[10:21] 這個筆記本的整理法的優勢
[10:25] 就是他會保留原始資料
[10:27] 所以像我創作資料
[10:29] 跟我從網絡上抓到資料
[10:30] 都會保留原始檔在每個筆記裡面
[10:33] 他會有所謂的tags
[10:35] 那這個tags的話
[10:37] 他會筆記跟筆記之間
[10:38] 會互相連結
[10:40] 然後還有這個相關
[10:41] 他會知道說這篇是跟哪幾篇相關
[10:44] 所以他可以在每一本筆記之間
[10:47] 去做關聯
[10:48] 你可以點選左側這邊查看關聯圖
[10:51] 點選這是我資料庫所有關聯的地方
[10:55] 你會發現說每一個點
[10:57] 都會關聯到另外別的地方去
[11:00] 所以你在搜尋的時候
[11:01] 就可以很好的找到所有相關的內容
[11:04] 這個是這個筆記本強大的地方
[11:06] 他的自由度非常的高
[11:08] 回到claude這邊來
[11:10] 消化了這些內容
[11:11] 會更新index跟log
[11:13] 就會給我一個週報筆記
[11:15] 所以他讀完筆記之後
[11:17] 在知識庫個人品牌地方
[11:19] 寫了一個判斷真偽需求框架
[11:22] 好完成了
[11:24] 他告訴我知識重整已完成
[11:26] 去看每日筆記
[11:28] 所以會得到一個新的知識頁
[11:30] 告訴我缺少的知識頁是這兩個
[11:33] 好接下來我們到筆記本去看
[11:36] 每次重整完之後
[11:37] 在知識庫裡面的log就可以看到
[11:40] 所以他幫我盤點原始資料有這些
[11:43] 這邊是消化的資料
[11:45] 回流的話包含我創作的ep07
[11:48] 這個lint是需要改進的地方
[11:51] 所以看到這邊有一個俊儀老師的教學心法
[11:55] 所有的tag都全部打上去
[11:58] 相關的也全部都標註上去
[12:01] 所以以後只要有任何的其他文章
[12:04] 跟認知負荷的理論有關
[12:06] 就會連結到這一篇筆記裡面來
[12:09] 以Obsidian的知識庫來回答我以下這個問題
[12:13] 你要使用筆記的話
[12:15] 就是在claude裡面用對話方式去詢問就可以了
[12:19] 所以我問他說三師爸的後設認知
[12:21] 跟哪一些有關聯
[12:23] 他就會找尋知識庫裡面所有的內容
[12:25] 好他回答我三師爸的後設認知
[12:28] 主要跟下面幾個面向有關聯
[12:31] 所以跟這個都有教學法裡面的引導提問
[12:36] 還有五大後設理念
[12:38] 每一個都有對應的
[12:40] 像後面這些是我講過的話
[12:43] 所以他會將我講過的話
[12:45] 跟筆記裡面資料去做連結
[12:48] 最上層信念的話
[12:50] 這個是我講的AI取代認知技能
[12:53] 取代不了非認知技能
[12:55] 他提到後設認知是連結這兩者的關鍵能力
[12:59] 我問了這個問題之後
[13:00] 將以上內容再存回知識庫
[13:04] 每個禮拜這樣反覆操作
[13:06] 這個知識庫就會變成是你最強的第二大腦
[13:10] 這樣的用法會比notebook LM還要強大
[13:13] 是因為這個筆記是雙向的
[13:15] 你可以隨時去更改筆記裡面內容
[13:18] 當然你可以隨時去提取筆記裡面內容
[13:22] 去做產出
[13:23] 目前這個方法是最流行的AI筆記流
[13:27] 使用obsidian這個工具非常適合
[13:30] 那平常在使用的時候
[13:32] 你也可以把它當成是一般筆記本來使用
[13:35] 是沒有問題的
[13:36] 所有的更動AI都會幫我完成
[13:38] 真的是非常方便
[13:40] 那我使用這個筆記已經有一段時間了
[13:42] 我已經有龐大的資料庫在裡面的
[13:45] 所以我每次使用這個筆記的時候
[13:47] 真的是非常的舒服
[13:48] 所以剛剛的筆記已經新增到這個地方來
[13:51] 好以上是今天我們使用obsidian
[13:55] 來去打造AI筆記流的全部內容
[13:59] 如果你對於claude在教學上應用有興趣的話
[14:03] 一定要訂閱按讚還有分享哦
[14:06] 那我們下期再見
[14:07] 拜拜
