[00:00] 今天來講一下AntiGravity裡面我們把Gem升級。
[07:04] 所以你必須要先裝雲端硬碟的APP。
[07:07] 然後你雲端硬碟APP的話是要登入你的Google
[07:11] 帳號。就是你有Jem的那個帳號。
[07:13] 所以你要先做這件事情。
[07:15] 那你的這個Antiquity 2裡面就有內建這個流程,
[07:20] 所以它會引導你去裝。
[07:21] 那這個懶人包怎麼製作的,
[07:24] 我之後會另外開一個影片教大家怎麼製作懶人包。
[07:28] 原來上大家以後你做完你的工作流程之後,
[07:30] 你也可以把它做成懶人包。
[07:31] 然後將這個懶人包放到網路上面去分享給別人,
[07:35] 分享給我。
[07:37] 我只要拿到你的懶人包的repo,
[07:39] 我就可以去安裝這個你設定好的工作流
[07:43] 程。謝謝小優、Done、
[07:46] 謝謝小優、好朋友。
[07:48] 謝謝小優、謝謝你。
[07:49] 好,所以他就會去讀這個裡面的Squip。
[07:52] 那Squip裡面我已經寫好了啦。
[07:54] 他就是會先讓你去裝雲端硬碟。
[07:57] 為什麼呢?
[07:58] 因為你的Gems裡面所有的資料,
[08:01] 其實在你的雲端硬碟裡面都是有一份的。
[08:04] 所以他就會根據懶人包裡面,
[08:06] 先去裝雲端硬碟,所以他會先分析你有沒有雲端硬碟。
[08:12] 如果你沒有雲端硬碟的話,
[08:13] 他就會叫你去裝雲端硬碟。
[08:14] 你裝雲端硬碟之後,在你的雲端硬碟賬號裡面會有一個
[08:18] Gemini Jens的資料夾。
[08:20] 也就是說在你的Google,
[08:22] 在你Google,你看他找到我所有的Jens。
[08:25] 在你Google的Jens,在你雲端硬碟裡面是有個資料夾,
[08:29] 專門去存放你的Jens。
[08:30] 所以AntiGravity2,他就會去讀你的Jens。
[08:33] 自動幫你分析你的Gem到底有哪些功能可以升級。
[08:39] 沒有錯,就是這麼的貼心。
[08:42] 所以他會按照我寫的流程幫你升級你所有的Gem。
[08:46] 他會跟你講說你的Gem裡面他幫你分析完之後有這些東西。
[08:50] 然後你的Gem可能適合怎麼樣。
[08:52] 那你的Gem怎麼樣。
[08:53] 所以你看一下這邊。
[08:55] 所以為了避免工作區產生25個零散的資料夾。
[08:58] 因為我是跟他講說你的那個Gem,
[09:01] 新增一個Gem的功能就新建一個資料
[09:03] 夾。所以他就是會幫你整合,
[09:06] 建議將功能重疊的Gem整合為六個主要的agents章案。
[09:10] 比如說他跟我講說,例如將九個解謎密碼機器人合併為
[09:14] 一個,然後並用Python進行精確匯圖計算。
[09:17] 他就會幫你去做分類。
[09:19] 好,所以呢,這裡的話,因為我已經開了Turbo
[09:22] 模式啦,所以他就沒有問我,
[09:24] 直接幫我做了。
[09:25] 所以大家還是,你在做這邊的時候,
[09:28] 你可以稍微跟他講一下說,
[09:30] 你先計畫好之後詢問我。
[09:33] 你先進化好詢問,不要像我沒有問,
[09:35] 他直接幫我做了。
[09:36] 你要跟他講說,先幫我規劃好之後,
[09:40] 讓我看一下你的規劃,然後我同意的再進行。
[09:43] 你要先說一下,要不然,
[09:45] 因為我開了Turbo模式,
[09:46] 他就會直接幫我做到地,
[09:49] 這邊是我失誤,不好意思。
[09:52] 好,所以沒有辦法讓他看到他怎麼分析我的Gem。
[09:55] 因為你們的GoogleGem裡面都有很多的Gem,
[09:58] 所以他就會去讀你的Gem,
[10:00] 然後會去按照他能夠做到的事情,
[10:04] 給你一些建議。
[10:04] 比如說,他會說你這幾個Gem可以升級成什麼技能,
[10:08] 然後可以加成的做。
[10:10] 他可以去幫你做這些事情。
[10:12] 所以,因為我開了Turbo Mode,
[10:14] 所以他就自動幫我做了。
[10:15] 我建議大家,你先跟他講說,
[10:18] 你先規劃完之後,然後讓我確認,
[10:21] 我說進行的再進行。
[10:23] 所以你等一下,你在做的時候請你先,
[10:26] 對,我衝他一塊。
[10:27] 你先跟他講這件事情,要不然他直接幫我做好了。
[10:31] 現在直接幫我做了,我一整個動彈。
[10:33] 好,大原則是這樣,那等一下我會稍微示範一下說,
[10:37] 我們Gem可以做到什麼程度。
[10:38] 我簡單示範一兩個給
[10:40] 大家看。原來Gemini可以升級成這樣了。
[10:43] 大原則是以前我們在做Gemini的時候,
[10:46] 什麼狀況下我們需要做Gemini的Gemini呢?
[10:50] 是不是我們一些重複性的流程、
[10:53] 重複性的工作。
[10:54] 我有一個輸入,經由重複的流程之後去做一個輸出。
[10:58] 實際上這個跟Skill是非常像的。
[11:00] Skill其實就是升級版的Gemini。
[11:03] 但我知道你們很多人還沒有辦法那麼快改變習慣。
[11:07] 所以我今天就為大家準備這個懶人包,
[11:10] 就是幫你把你原先有的Gems,
[11:13] 幫你升級成Skill。
[11:14] 所以你的AI會幫你看。
[11:16] 那如果今天你不是用Antigrivity,
[11:19] 你是用Claude Code或是Codex,
[11:21] 你拿這個懶人包給他,他也會幫你做這些事。
[11:24] 所以實際上我這個懶人包不是只有Antigrivity2
[11:27] 能做,只是我針對Antigrivity2有去做優化。
[11:31] 那另外兩個agent,或是Open Code的也可以,
[11:34] Open Code的也可以。
[11:35] 其他三個agent,其他agent拿了這個懶人包,
[11:37] 他們很聰明。
[11:38] 他知道說要怎麼做。
[11:40] 他就會去幫你做。
[11:41] 那因為剛剛我忘了叫他跟我確認,
[11:44] 所以他就直接一次幫我做好。
[11:46] 我都來不及說什麼話。
[11:50] 他幫我做好。
[11:51] 你自己看狂跑、狂衝。
[11:53] 所以待會你們在做的時候,
[11:55] 你要記得跟他講說,你先計畫好,
[11:57] 告訴我你的計畫。
[11:58] 然後等我說OK再知道。
[12:00] 要不然你開了Turbo Mode,
[12:01] 他就會直接幫你做好。
[12:03] Turbo Mode在這裡開啟。
[12:05] 你在這專案資料檻裡面。
[12:07] 在你的專案資料夾裡面。
[12:08] 這個專案資料夾選設定。
[12:10] 點它。
[12:11] 所以你要看是你專案資料夾裡面的Agin Setting
[12:14] 在這裡。
[12:15] 專案資料夾裡面Agin Setting。
[12:16] 這邊選Turbo Mode。
[12:18] 它就會自動允許自動做。
[12:20] 可是降氣是不好的。
[12:21] 是因為很多時候你可能想要看一下它是怎麼做的。
[12:24] 但是Turbo Mode就直接允許它做了。
[12:27] 那這邊選Always Proceed。
[12:28] 它就會直達到底。
[12:30] 那建議大家呢如果你不是很熟的話,
[12:33] 不要那麼衝。
[12:34] 你看我現在直接幫我做到底了。
[12:36] 我整個傻眼。
[12:38] 好沒有關係大家就邊操作我腦我邊講解。
[12:41] 那他的做法其實很簡單就是會幫你分析跟合併。
[12:46] 所以你就看一下他怎麼分析跟合併。
[12:48] 其他agent也可以做。
[12:49] 如果你們用的是其他agent的話,
[12:51] 你們也可以拿這個懶人包去使用。
[12:54] 他就會跟你談說我看了你的Gem,
[12:57] 發現你有哪一類、哪一類,
[12:59] 有哪些類別。
[12:59] 然後你可以這樣這樣這樣這樣這樣。
[13:02] 我開我的Codex給大家看好了,
[13:04] 開個新聊天。
[13:05] 開個Codex好不好。
[13:07] 給大家看一下 如果是其他的話會怎麼樣幫
[13:13] 我讀這個repo看一下裡面的內容如果你是用
[13:16] Codex的話也是可以就其他HG也是一樣
[13:19] 那NotebookLit的話因為我開了TurboMode
[13:21] 的我們就讓它直達到底吧好不好 欸做完了好快喔好
[13:27] 你看直接幫我做完了太可怕了
[13:30] 來他直接幫我裡面有九個Gen直接做成一個
[13:34] 然後再來就是觀客易客的,
[13:38] 他幫我直接做這個分析圖,
[13:41] 然後會畫數據,
[13:45] 他會繪製那個分析圖,他有搭這個數據分析,
[13:48] 然後會直接畫成圖片。
[13:50] 再來這個審題助手、數學家案王,
[13:54] 直接幫我生成Word檔。
[13:55] 他原本的Gem是只有生成文字而已,
[13:57] 他現在幫我升級直接會生成包含雙向心目標排版的
[14:01] Word審題報告檔。
[14:03] 你看他自動幫我升
[14:04] 級。然後在VideoProcessor。
[14:09] 整合字幕、摘要小幫手。
[14:11] 所以這個應該是我之前有做一個字幕的。
[14:13] 那現在的話,它的能力更強,
[14:15] 所以直接就把你做
[14:16] 好了。原委會企劃書、
[14:18] 小幫手、檢討報告、申訴等。
[14:20] 進行用電安全。
[14:21] 這個是,嗯,好,可以,可以。
[14:24] PEIHAOCHN,可以。
[14:27] 你可以叫他去看你的目錄。
[14:29] 然後你叫他幫你做整理是可以的。
[14:32] 那你聽聽他的建議。
[14:34] 他會給你一些建議,你就跟他討論,
[14:36] 去做整理是可以的。
[14:38] 好,還有一個三四八分身,
[14:39] 但我個人覺得像這種三四八分身就不太需要啦,
[14:43] 就不太需要。
[14:43] 因為對Agent來說,就是太容易的事這樣,
[14:48] 可以嗎?好,那你可以去升級你的Gem。
[14:52] 那舉例來說好了,我先來幫大家做一個示範。
[14:55] 舉例來說好了,我看一下他幫我Gem的目錄。
[14:58] 你看他幫我Gem了這麼多目錄,
[15:00] 大家看到嗎?
[15:00] 這目錄都是他Gem的。
[15:02] 每一個資料夾就是一個
[15:04] 目錄。所以當你要執行那個功能的時候,
[15:08] 你就是開到那個資料夾裡面去。
[15:11] 那資料夾裡面它就會幫你寫。
[15:12] 比如說我這邊有一個解謎機器人,
[15:16] 你點進來,解謎機器人這邊就有寫。
[15:17] 就是這機器人是怎麼運作的?
[15:19] 他幫你寫了一個技能在那邊。
[15:20] 實際上就變成是一個解謎機器人的一個資料夾。
[15:24] 所以你只要每次到這個資料夾來,
[15:26] 你跟他講說偶爾生一道謎題。
[15:28] 算了,我試飯一次好了。
[15:29] 解謎機器人比如說這邊好了。
[15:31] 我就是新開一個專案,然後到
[15:33] 這個專案。我們現在就模擬Gems。
[15:36] Gems就是這樣,你是會開Gems。
[15:38] 所以比如說我的Gems已經升級了,
[15:40] 那我就新增一個資料夾。
[15:41] 然後到這個升級的機器的資料夾這邊來。
[15:45] 選它,選它,選擇。
[15:48] 然後Create,你就問它。
[15:50] 這個資料夾內容是做什麼?
[15:52] 你就問它。
[15:53] 好,那實際上用起來就跟Gems很像,
[15:55] 只不過說Gems是一個對話嘛。
[15:57] 那在這邊升級的Gems它就是一個技能。
[16:00] 這個技能只有在這個專案資料夾去啟動。
[16:03] 那我們技能有分專案技能跟痊癒技能。
[16:08] 專案技能、痊癒技能這個東西是幹嘛的?
[16:11] 我之後會再另外拍個影片跟大家講比較系統的東西。
[16:16] 反正就是在這個資料夾裡面他就可以做這些事情。
[16:18] 你去問他說這個資料夾是幹嘛?
[16:20] 他就告訴你說這個視覺、
[16:23] 解謎、生徒、專案是這個的。
[16:25] 所以主要功能是這樣,有沒有?
[16:27] 固定流程加規格,搭配浮動材料。
[16:31] 好,所以他裡面就有寫了這個東西是幹嘛的。
[16:33] 你有沒有看到嗎?
[16:34] 所以全部都有在這裡。
[16:36] 好,怎麼使用?
[16:37] 這邊,有沒有看到?
[16:38] 摩斯密碼。
[16:39] 那比如說我假設好了,我假設好了,
[16:43] 比如說我就告訴他,我就這樣子,
[16:45] 輸入資料,像這樣,我就跟他講。
[16:47] 好,假設啦,隨便啦,輸入資料。
[16:50] 因為我已經忘記我那時候寫的卷是怎麼做的。
[16:52] 那他就會想辦法去幫我跑這個流程。
[16:55] 當然每一次流程第一次不見得是對的,
[16:59] 流程不一定是對的。
[17:00] 所以你跑完流程之後,你當下就可以再跟他改。
[17:03] 說那跑出來的東西可能哪裡流程是哪裏需要修就
[17:07] 跟你在改你的Gem一樣
[17:09] 你就在這個資料夾跟他改說要怎麼修你就會將你原本
[17:13] 的Gem在這個資料夾裡面慢慢的對話然後去完成一個你
[17:19] 適合你升級之後Gem的一個標準工作流好
[17:24] 所以他現在得到了這個清單像這樣有
[17:27] 嗎?環法指南好
[17:29] 所以已經生成好了嗎?
[17:30] 我看一下有
[17:31] 嗎?
[17:32] 實在假的啊?
[17:33] 這麼快嗎?
[17:34] 看一下。
[17:35] 所以在這資料夾裡面的output這麼快嗎?
[17:38] Antiquity、GentuSkill裡面這個。
[17:41] 好,所以裡面output嘛,
[17:43] 對不對?哇!
[17:44] 哇!
[17:46] 哇!哇!
[17:47] 哇!超強!
[17:52] 我嚇到欸!
[17:55] 欸!謎題全部升好了!
[17:58] 欸!摔牌666好不好!
[18:01] 超快!超快的
[18:01] 耶!超快!
[18:02] 真的超快!
[18:03] 瞬間合成!
[18:05] 哇!好快喔!
[18:07] 真的超強!他生徒跑技能之快!
[18:10] 哇!一次!好玩耶!
[18:11] 天啊!好可怕喔!
[18:13] 哇!你看這個就是你Gem的強化版!
[18:16] 你有看到嗎?
[18:17] 這麼快!
[18:18] 超快的!
[18:19] 快到炸!
[18:20] 你自己看!
[18:21] 一次生了這麼多張徒耶!
[18:22] 哇!嚇到!
[18:23] 哇!真的嚇到!
[18:25] 超強!超強!
[18:26] 這一次賺!
[18:26] 不要懷疑!
[18:27] 真的不要懷疑!
[18:28] 他把我九個Gem合成一個!
[18:30] 合成一個!
[18:31] 真的超誇張。
[18:33] 好,所以你的Gem就可以升級成一個專案目錄。
[18:37] 所以你每次要做重複事情的時候,
[18:40] 你就是到這個專案目錄來。
[18:41] 然後在這個地方,跟它講要做什麼。
[18:44] 所有產生的東西就會變成是一個檔案。
[18:46] 不見得是一個檔案,有可能是一個網頁。
[18:49] 所以我現在要再示範一次。
[18:51] 我現在要再示範一次。
[18:54] 對,速度非常的快。
[18:55] 我現在要做一個技能是生成一頁式漫畫。
[18:58] 這個一頁式漫畫的技能是這樣子。
[19:01] 就是我會給一個情境,然後你自動將這個情境拓展成
[19:06] 三頁的四格漫畫。
[19:08] 這三頁的四格漫畫都是繁體中文的對話。
[19:12] 然後角色要一致,三張四格漫畫的角色要一致。
[19:17] 所有的對話必須要生成HTTS
[19:21] 語音。將語音以及四格漫畫、
[19:25] 三張四格漫畫把它拼成網頁電子書。
[19:29] 所以你要生成一個網頁去放語音還有漫畫。
[19:33] 在這個網頁裡面我們可以點選語音去播放漫畫裡面的
[19:39] 繁體中文的這個對白。
[19:42] 然後我們也可以有翻頁的按鈕去翻下一頁跟上一頁。
[19:46] 當我給定情境的時候,你要自動去生成這些內容。
[19:50] 就我沒有按到我的語音輸入吧。
[19:53] 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好
[19:55] 有啦有啦笑一跳好 我們看一下好像這樣所以
[19:59] 你看嘛我們以前做卷是這樣子做的對吧?
[20:02] 我們現在做卷是這樣子做的所以卷的話我們以前做四
[20:06] 個漫畫是我們給一個對話它生成漫畫嘛
[20:08] 我們現在可以怎麼樣?
[20:09] 我一次做完了齁我們做成三頁四格漫畫然後讓它去拓
[20:14] 展然後要繁體中文那角色必須要保持一致對話生成語
[20:19] 音語音跟三張四個帽拼成網頁電子書。
[20:23] 然後你必須要語音播放。
[20:25] 然後再翻頁控制。
[20:27] 我把它再補一下。
[20:29] 語音播放的部分是每一個對白有一個播放按鈕。
[20:33] 所以可以讓使用者自動選擇要播放哪一個對白。
[20:37] 像這樣。
[20:38] 我們讓他多一點。
[20:41] 角色包手一致。
[20:44] 如果需要先生成角色的資訊的話,
[20:48] 就先生成。
[20:49] 生成角色資訊之後,再固定角色去生成漫畫。
[20:53] 好,像這樣。
[20:54] 好,我一次做完。
[20:57] 好,一頁式漫畫。
[21:00] 日本漫畫風格。
[21:02] 主角的話,由我給定的情境,
[21:04] 你自動選擇。
[21:05] OK,好,這樣。
[21:06] 處理。
[21:06] 那你看,這個是不是Gems做不到的?
[21:08] 對吧?但是我們Gems是在做這樣的事情,
[21:11] 就是我給定一個輸入,然後它會跑固定的流程,
[21:15] 然後會產出東西嘛。
[21:17] 所以實際上這個東西我們升級之後就變成了十字。
[21:20] 那以前我們可能會有一頁式漫畫的Gems嘛。
[21:23] 但是我現在我把一頁式漫畫的Gems,
[21:25] 我把它升級。
[21:26] 升級成,它一次升成三頁。
[21:29] 然後把這三頁的對白再升成語音。
[21:31] 然後將語音還有漫畫全部放到網頁上面去做一個網頁
[21:37] 的電子書。
[21:38] 那我們可以用點選的方式來去播放這個語音。
[21:42] 好,那如果今天我生成的是英文漫畫的話,
[21:44] 那是不是在英文教育上面就會非常方便,
[21:47] 就是我馬上就得到一個網頁的英文版的漫畫。
[21:51] 好,所以他已經幫我做好了。
[21:54] 請你確認此計畫。
[21:57] 如果你同意,我就開始執行。
[21:59] 好,那因為我開了Turbo Mode,
[22:01] 所以預設就會,他自動就幫我同意,
[22:03] 然後就直接執行了。
[22:04] 所以這個Turbo Mode請大家不要,
[22:06] 不要三不
[22:07] 五十,因為你根本沒辦法按確認,
[22:10] 你知道嗎?它直接把你確認到底。
[22:11] 所以大家你要開Turbo Mode的請三師,
[22:13] 請三師,好不好?
[22:15] 開第二階會比較好,要不然直接Turbo Mode
[22:17] 直達,直達。
[22:19] 那因為今天我是示範啦,
[22:20] 所以我就也開給你看。
[22:23] 好,我們看一下Codex,Codex這樣。
[22:25] 所以你看這個懶的包裡面的內容是這樣,
[22:28] 好不好?所以如果說你的Gem需要工具的時候,
[22:30] 它會自動幫你裝。
[22:31] 那這個工具是哪些呢?
[22:33] 我另外會拍一個影片來介紹說,
[22:35] 你的agents應該要裝哪些
[22:37] 工具。所以你會在這裏面的工具是做什麼的。
[22:39] 到時候會另外講,你的Agen應該要裝哪一些
[22:42] Python的工具在裡面。
[22:43] 我會特別介紹一下。
[22:44] 好,那所以在這邊的話,
[22:46] 你們在跑的時候,院上就會照這個方式。
[22:50] 所有的Agen都能跑。
[22:51] 所以你們可以把這個repo給你的Agen,
[22:53] 然後來去試試。
[22:54] OK,好,所以Antigrity 2真的非常之快。
[22:58] 然後我自己實際在做的時候,
[23:01] 我覺得它的優點就是生圖,
[23:03] 然後生影片、剪影片、
[23:06] 寫程式。
[23:07] 用AntiGravity 2真的超級快超級有效率。
[23:10] 可是如果你要做一些規劃、
[23:13] 計劃或是你要做一些大的架構的設計,
[23:19] 我個人建議就是AntiGravity 2還是沒那麼好用。
[23:23] 所以如果你要做一些需要分析比較多的,
[23:27] 我個人建議還是使用Cortex或是Claude Code
[23:29] 會比較好。
[23:30] 那至於你要跑什麼東西,
[23:32] 比如說你要跑程式,你要跑Skill,
[23:34] 你要剪影片、生影片,
[23:36] 你要去生成圖片。
[23:38] 你要去做什麼事情。
[23:39] 就是做事情的。
[23:41] Antiguity 2真的做得很好。
[23:43] 那要想事情呢。
[23:44] 我覺得等Gemini 3.5 Pro可能會比較好。
[23:48] 那Gemini 3.5 Flash我覺得規劃上面、
[23:51] 計畫上面品質還是略訊、
[23:54] Claude Code還有Codex一籌。
[23:57] 我的感覺是這樣啦。
[23:58] 這是我的使用心得。
[23:59] 所以像我在做一些比較大規劃的時候我就會請
[24:02] Claude Code或Codex來做。
[24:04] 我每一家業縣都有用。
[24:05] 所以你問我
[24:06] 所以像今天這個懶人包是Claude Code
[24:10] 做的,
[24:11] 跑是AntiGravity 2跑,
[24:15] 這樣大家理解嗎?
[24:16] 所以大家不要懷疑,你也不要覺得這懶人包是
[24:19] AntiGravity 2做的,沒有,懶人包是Claude Code
[24:22] 做的,做來給AntiGravity 2跑所以
[24:25] 你就知道說每一家Agin會有不同的用途,
[24:30] 所以我自己用的方式是,
[24:32] 實際上你應該要分工,如果你錢很多的話,
[24:35] 你也可以一個
[24:36] 月100美、200美、從頭到尾都用Claude Code
[24:39] 跑、從頭到尾都用Codex跑。
[24:41] 我覺得也沒有問題。
[24:42] 可是如果說像我們這種比較清寒的教育工作者,
[24:48] 那譬如說你每個月可能只有20美、
[24:50] 40美。
[24:51] 那我們就要做最大效率的運用。
[24:54] 在於Token上面我們是不是要去省著用。
[24:58] 所以你要省著用的狀況下,
[25:00] 你就應該讓各個agents去做他應該做的事。
[25:03] 那我有一個YouTube的留言,
[25:05] 我覺得形容
[25:05] 非常好。他說原來AI agent也有藍領跟白領的差別。
[25:11] 藍領的AI跟白領的AI。
[25:14] 藍領的A軍跟白領的A軍。
[25:15] 所以藍領的A軍就負責計畫啦。
[25:19] 然後去分析啦。
[25:22] 或是建一些架構啦。
[25:24] 就是藍領的A軍。
[25:26] 藍領A軍就是最聰明。
[25:27] 最聰明有哪些呢?
[25:29] 就是Obs 4.7、4.8、GPT 5.5。
[25:33] 這個都是最聰明
[25:34] 的。所以藍領的A軍就是最聰明的。
[25:35] 最聰明有哪些呢?就是Obs 4.7、4.8、
