[00:03] 好，我們來到這個系列的最後一集，
[05:43] 比較容易賣出去，比較容易融資
[05:45] 限制和安全邊界
[05:47] 在競爭環境裡是產品的劣勢
[05:50] 不是優勢
[05:51] 除非有一件大事發生
[05:53] 讓整個市場開始把安全當成優勢
[05:57] PocketOS事件是這樣一件事的開始
[06:00] 但一件事很可能不夠
[06:03] 好，現在我要帶你看更大的圖
[06:06] 不是你一個人的故事
[06:07] 不是你的公司的故事
[06:09] 我要帶你看整個社會、整個產業
[06:11] 甚至整個文明
[06:13] 在AI開始有手腳之後
[06:15] 可能面對的五個場景
[06:16] 如果你覺得前面那些還離你有點遠
[06:19] 這五個你沒有辦法置身事外
[06:22] 場景一
[06:23] AI開始管理關鍵基礎設施
[06:25] 今天世界上很多城市的電網調度
[06:28] 交通號誌系統
[06:30] 水資源分配
[06:31] 已經在用AI做輔助決策
[06:33] 或部分自動化管理
[06:35] 這不是秘密
[06:36] 這是效率最佳化的必然趨勢
[06:38] 問題來了
[06:40] 當一個AI在管理一個城市的電網
[06:42] 它遇到了一個以前沒見過的異常狀況
[06:46] 它沒有足夠的資訊
[06:47] 但它有操作權限
[06:49] 它會停下來等待人類判斷嗎
[06:51] 還是它會用它最擅長的方式
[06:54] 推理出一個看起來合理的解法
[06:56] 然後執行？PocketOS事件
[06:59] 告訴我們AI的預設行為不是等待
[07:02] 是執行
[07:03] 一間公司的資料庫刪掉了可以重建
[07:06] 一個城市的電網出錯
[07:08] 影響的可能是醫院、是交通
[07:11] 是幾百萬人的冬夜
[07:13] 尺度不同
[07:13] 但邏輯是一樣的
[07:15] 場景二
[07:15] AI進入法律司法系統
[07:17] 這不是遙遠的未來
[07:19] 美國已經有幾個州的法院
[07:20] 在用AI輔助判決量刑
[07:23] 根據被告的背景
[07:24] 前科、行為模式
[07:26] AI給出一個再犯風險評分
[07:28] 法官參考評分做決定
[07:31] 問題是評分的邏輯是黑盒子
[07:35] 沒有人能完整解釋
[07:37] 它為什麼給出某個分數
[07:38] 而法官有時候把它的分數
[07:41] 當作比自己的判斷更客觀的依據
[07:44] 你可能在某一天
[07:46] 被一個沒有辦法解釋自己邏輯的AI
[07:49] 決定了你的自由
[07:50] 這不是科幻
[07:51] 這在今天的美國某些地方
[07:53] 已經是現實
[07:54] 當AI進入司法
[07:56] 它帶進去的
[07:57] 不只是效率
[07:58] 還有它訓練資料裡所有的偏見
[08:00] 所有的盲點
[08:01] 但它的輸出
[08:03] 看起來像客觀的數字
[08:04] 數字是最有說服力的謊言
[08:08] 場景三
[08:09] AI與選舉和民主機制的交叉點
[08:12] 2026年
[08:13] 全球有超過40個國家舉行重要選舉
[08:16] 同時AI生成內容的能力
[08:18] 已經到了一個程度
[08:20] 生成一段候選人的假影片
[08:22] 花費不到新台幣1000元
[08:24] 成品足以讓普通人難以分辨真假
[08:27] 但我要說的不只是假影片
[08:29] 我要說的是AI在資訊生態裡的角色
[08:33] 今天決定你看到什麼新聞
[08:35] 什麼貼文
[08:36] 什麼廣告的演算法
[08:38] 本質上已經是一種AI Agent
[08:40] 它有目標，讓你停留更久
[08:43] 有工具，推送什麼給你
[08:45] 有權限
[08:46] 控制你的資訊環境
[08:47] 有執行能力
[08:49] 每天對幾十億人運作
[08:50] 這個AI每天都在塑造你對世界的認知
[08:54] 你有審核過它嗎
[08:56] 你有辦法審核它嗎
[08:57] 民主制度的核心假設
[08:59] 是公民可以做出有根據的判斷
[09:02] 當形塑這些判斷的資訊環境
[09:04] 是由一個你不理解
[09:06] 也無法監督的AI管理
[09:08] 這個假設還成立嗎
[09:10] 場景四
[09:11] AI軍備競賽
[09:12] 沒有任何一方可以喊停
[09:15] 這個場景我講得簡短一點
[09:17] 因為細節非常複雜
[09:19] 但核心邏輯很簡單
[09:21] 當一個大國開始把AI用在軍事決策輔助
[09:24] 快速評估威脅
[09:26] 提出應對方案
[09:27] 縮短反應時間
[09:29] 其他大國會怎麼做
[09:30] 它們也會做一樣的事
[09:32] 因為如果你不做
[09:34] 你就慢了
[09:35] 在軍事競爭的邏輯裡
[09:37] 慢了一步
[09:38] 這件事不允許出錯
[09:40] 所以沒有人願意是那個放慢速度的人
[09:43] 這就是一個沒有出口的邏輯
[09:45] 每個人都知道速度越快
[09:47] 風險越高
[09:48] 但每個人都不敢先停下來
[09:50] 當AI開始有手腳
[09:52] 而手腳上拿的是武器
[09:54] PocketOS那9秒
[09:55] 不再只是刪資料庫
[09:57] 場景五
[09:58] 我們正在訓練下一代
[09:59] 讓他們默認AI是對的
[10:02] 最後這個場景是關於時間的
[10:04] 今天10歲到15歲的孩子
[10:07] 是第一批從小就把AI
[10:08] 當做日常工具的世代
[10:10] 他們做功課用AI
[10:12] 解決問題用AI
[10:14] 找答案用AI
[10:15] 這本身沒有問題
[10:16] 問題是
[10:17] 我們有沒有同時在教他們
[10:19] AI說的話是需要被質疑的
[10:22] 如果沒有，我們正在培養的
[10:24] 是一整個世代
[10:25] 把AI說的等同於對的
[10:28] 前面說的三個結構
[10:30] 正常化偏誤
[10:31] 集體滑向
[10:33] 速度不對稱
[10:34] 這三個東西作用在一個
[10:36] 從小就默認AI正確的世代身上
[10:39] 會是什麼樣的結果
[10:40] 我不知道答案
[10:42] 但我知道
[10:43] 如果我們現在不開始教這件事
[10:46] 等那個世代長大
[10:47] 進入職場開始做決策的時候
[10:50] 糾正起來的代價
[10:51] 會比現在大很多
[10:53] 最好的時機是在出事之前
[10:56] 好，講到這裡
[10:57] 我要很認真地說一件事
[10:59] 我不是要你別用AI
[11:00] 我也不是要你覺得AI很可怕
[11:03] 然後把一切都打回原點
[11:05] 我想說的是完全不一樣的事
[11:08] 你知道汽車剛發明的時候
[11:10] 是什麼樣子嗎
[11:11] 1886年，賓士發明了第一輛汽車
[11:14] 那個時代沒有交通號誌
[11:17] 沒有安全帶，沒有駕照制度
[11:19] 沒有速限規定
[11:20] 當然也沒有碰撞測試標準
[11:22] 結果剛開始那幾十年
[11:24] 馬路上的意外死亡率非常高
[11:26] 高到整個社會開始問一個問題
[11:28] 我們是要把這個東西禁掉
[11:30] 還是要想辦法讓它安全
[11:32] 最後人類的答案
[11:34] 你知道，我們沒有禁掉汽車
[11:36] 我們發明了交通規則
[11:39] 發明了安全帶
[11:40] 發明了紅綠燈
[11:42] 發明了碰撞測試
[11:43] 一代一代的修正
[11:45] 讓一個本來很危險的工具
[11:47] 變成了我們日常生活不可或缺的一部分
[11:51] AI現在大概就是在那個
[11:53] 沒有交通號誌的年代
[11:55] 工具本身不是問題
[11:57] 問題是我們還沒建立好
[11:59] 配套的規則和文化
[12:00] 我們現在做的是在建造汽車
[12:04] 同時還沒有想清楚紅綠燈要放在哪裡
[12:08] 所以我不是要你停下來
[12:09] 我是要你知道自己在開車
[12:12] 知道現在的路上還沒有所有的號誌
[12:14] 知道你踩油門的時候
[12:16] 要多留幾分注意力
[12:18] 這不是恐慌
[12:19] 這是成熟的使用者應該有的態度
[12:23] 我再說得具體一點
[12:24] 你現在如果在用任何AI工具
[12:27] 有幾個問題值得你問自己
[12:30] 第一
[12:31] 這個AI現在有多大的權限
[12:33] 它可以動哪些東西
[12:35] 第二
[12:35] 如果它做了一件我沒預期的事
[12:38] 我有辦法在幾分鐘內發現嗎
[12:40] 第三
[12:40] 這件事如果做錯了
[12:42] 是可以還原的，還是不可逆的
[12:44] 這三個問題不是要讓你焦慮
[12:47] 是要讓你清醒
[12:48] 因為AI不會問自己這些問題
[12:50] 所以你必須問
[12:52] 還有一件事
[12:52] 這不只是個人使用者的責任
[12:55] 如果你是工程師
[12:56] 如果你是產品經理
[12:58] 如果你是公司的決策者
[13:00] 你建的系統有沒有考慮到
[13:02] AI出錯時的緊急停止機制
[13:04] 你有沒有把備份放在AI碰不到的地方
[13:07] 你有沒有讓不可逆的操作
[13:09] 一定要有人類親自確認
[13:12] CoSAI在2026年3月的報告裡說
[13:15] 這些不是選配
[13:16] 這是最低基準
[13:17] 不是如果你有時間可以做
[13:19] 是如果你沒做
[13:20] 只是還沒出事而已
[13:22] 好
[13:22] 讓我來到這個系列的最後
[13:24] 我想帶你回到一個很基本的問題
[13:27] 在人類幾千年的歷史裡
[13:29] 我們建造了很多工具
[13:31] 石頭、輪子、蒸汽機、核電廠、
[13:34] 電腦、網際網路
[13:35] 這些工具裡有的很強大
[13:38] 有的很危險
[13:39] 有的改變了整個文明的走向
[13:41] 但它們有一個共同點
[13:43] 在人類使用它們之前
[13:44] 它們不會自己採取行動
[13:47] 你拿起鐵錘
[13:48] 它才砸下去
[13:49] 你踩油門
[13:50] 車子才前進
[13:51] 你按下按鈕
[13:52] 機器才啟動
[13:54] AI Agent是人類歷史上第一種工具
[13:58] 可以在沒有人類同意的情況下
[14:00] 對這個世界採取行動
[14:03] 讓我再說一遍
[14:04] 這是人類歷史上第一次，一個工具
[14:07] 可以在你不知道、不同意
[14:10] 甚至在你睡覺睡得正香的時候
[14:12] 做出改變真實世界的事情
[14:15] 這不是誇大
[14:16] 這就是AI Agent的定義
[14:18] PocketOS事件
[14:20] 就是這件事最簡單
[14:21] 最清晰的一個示範
[14:23] 沒有人告訴那個AI去刪資料庫
[14:25] 它自己決定的
[14:26] 它自己執行的
[14:27] 它花了9秒
[14:29] 現在這樣的AI正在進入更多地方
[14:32] 它在幫你管理雲端基礎設施
[14:35] 它在幫你回覆客戶的信件
[14:38] 它在幫你做財務決策
[14:40] 它在你的手機裡幫你整理東西
[14:43] 它快要開始幫你開車
[14:45] 幫你控制你家裡的智慧設備
[14:48] 有一天
[14:49] 它可能以某種形式
[14:51] 出現在更多你日常生活的決策裡
[14:54] 每一次我們說「讓AI來處理就好了」
[14:57] 我們都在把一點點的控制權交出去
[15:01] 這不一定是壞事
[15:02] 但這需要清醒
[15:04] 你知道我覺得這個時代最難的事是什麼嗎
[15:06] 不是AI太厲害
[15:08] 不是它會失控
[15:09] 不是它會取代工作
[15:11] 最難的事
[15:12] 是我們要在一個工具能力
[15:13] 飛速提升的時代裡
[15:15] 同時保持足夠的謹慎
[15:17] 足夠的懷疑
[15:18] 還有足夠的好奇心
[15:20] 讓我們知道自己在做什麼
[15:22] 但不因為恐懼而停下來
[15:25] 這是一個非常微妙的平衡
[15:27] PocketOS的創辦人在事件發生之後
[15:30] 發了一篇很長的文章
[15:32] 說這件事改變了他對AI工具的看法
[15:35] 他說他不會因此不用AI
[15:38] 但他再也不會在沒有理解邊界的情況下
[15:41] 把生產環境的權限
[15:43] 交給任何自動化工具
[15:45] 他學到這一課
[15:46] 花了他整間公司的資料和好幾天的恐慌
[15:49] 我希望你可以用看影片的代價學到這一課
[15:53] 好，這個系列講到這裡
[15:55] 從第一集的事件還原到第二集的系統風險
[15:58] 到第三集的責任與解方
[16:00] 到今天這一集的人類結構與社會預言
[16:04] 我希望你帶走的不是「AI很危險，
[16:06] 我不要用它」
[16:07] 我不要用它
[16:08] 也不是「沒事沒事
[16:10] 這些事不會發生在我身上」
[16:12] 我希望你帶走的是一個習慣
[16:15] 當你或你的公司
[16:16] 要把一件事情交給AI來執行的時候
[16:19] 問自己一句話
[16:20] 如果它做錯了
[16:21] 我能多快發現，我能怎麼收拾
[16:24] 如果你有答案，繼續前進
[16:27] 如果你沒有
[16:28] 先想清楚再說
[16:29] AI開始有手腳了
[16:31] 我們準備好了嗎？
[16:32] 謝謝你看完這個系列
[16:34] 我們下次見
