[00:00] OpenCode基本功第四集。
[02:08] 第一個你要NVIDIA的3D加速卡。
[02:12] 在你的3D加速卡的記憶體不能太少。
[02:14] 所以像一些比較基礎顯卡的話可能記憶體到
[02:17] 6GB。那我的顯卡是4080,
[02:20] 但是我的VRAM是我的顯示卡的記憶體也只有
[02:23] 12GB。
[02:24] 所以跑起來是相當吃力啦。
[02:26] 所以並不是說本地AI就好像是免費。
[02:29] 就好像是說不用錢並沒有,
[02:32] 因為你光是這個硬配的就要花你非常多錢,
[02:35] 因為現在3D加速卡非常的貴,
[02:36] 所以你要有一張好的顯卡來去跑好的本地模型,
[02:40] 實際上你可能要花蠻多錢
[02:42] 的現在好的顯卡都好幾萬塊,
[02:44] 然後在本地模型你的VRAM不夠跑起來也沒有那麼好用,
[02:48] 所以今天我就測試一下我們做這個Gemma 4 12B
[02:52] 那大家對於Gemma 4 12B可能不是那麼了不起,
[02:54] 我先請別的AI先上網找一下這個資料給大家看
[02:58] 我先請我的DeepSeek V4 Pro上網找一下本地模型
[03:03] Gemma 4 12B這個模型簡單的說明一下。
[03:07] 那我現在是使用我的OpenCode來演示給大家看。
[03:10] 因為這一集講的是OpenCode基本。
[03:12] 所以我就開一下我OpenGo的額度來去使用。
[03:15] 那目前我OpenGo的額度是非常的多。
[03:18] 用不完真的是用不完。
[03:19] 成蒙大家關照了。
[03:21] 大家都有用我的註冊碼去註冊。
[03:23] 然後所以我這邊就獲得很多的折底的這個額度。
[03:27] 所以目前我的
[03:28] OpenGo的額度是非常的多。用不完。
[03:28] 真的是用不完。成蒙大家關照了。
[03:29] 所以目前我的OpenGo的額度是非常的多。
[03:30] 用不完。OpenCode的額度是用不完的。
[03:30] 感謝大家的支持。
[03:31] 那也是一樣,如果今天你在直播覺得OpenCode
[03:35] 很好用的話,在直播完,
[03:37] 你覺得OpenCode很好用的話,
[03:38] 你可以使用我的邀請碼去做註冊。
[03:41] 那你用我的邀請碼做註冊的話,
[03:43] 可以得到5美金的折抵額。
[03:45] 我沒有辦法拿,我這個不是錢啦,
[03:47] 這個是折抵額。
[03:48] 就是我可以拿5美金的折抵用量。
[03:50] 那你也可以得到5美金的折抵用量。
[03:52] 所以我把折扣碼貼在聊天室。
[03:54] 所以如果今天結束之後,
[03:56] 你覺得OpenCode好用,你也想要試試看的話,
[03:58] 可以拿5美金的折抵用量。然後再用我的折扣碼去做我覺得
[03:59] 相當好用我就相當好用來所以這邊的話他上網找齁。
[04:04] 這就是6月3號才發表的最新的開源模型然後再來硬體
[04:08] 需求需要16G的Vram那我的3D
[04:12] 加速卡雖然是4080但是我的Vram只有12G所以跑起來也是
[04:17] 上下我沒辦法開滿齁所以變成是我不知道怎麼講欸就是
[04:21] 你知道嗎你想要本地模型跑得好你要花錢去買
[04:24] 3D加速卡真的要好幾萬塊好所以但是
[04:28] 他它的好處是它是自覺跟聽覺它都是支援的。
[04:33] 所以它是一個多模態的一個本地的模型。
[04:35] 多模態本地模型是非常棒的。
[04:36] 所以我覺得如果說你有16G的V-RAM上的3D
[04:40] 加速卡。一定要NVIDIA的。
[04:42] 然後你可以考慮。
[04:43] 我覺得合用啦。
[04:45] 勘用。好,所以我也裝了。
[04:46] 我也裝了。
[04:47] 好,那我裝好之後啊。
[04:49] 它的使用上是這樣。
[04:51] 就是你可以用OpenCode裝。
[04:55] 那裝的話就是你要怎麼裝其實也很簡單。
[04:57] 你就請你的
[04:58] AZE。我把A群幫你裝就好了。
[04:59] 真的我沒有跟你看下,就請你的A群幫你裝就好了。
[05:03] 我的Olama。
[05:04] 裝好的話,它會長這樣。
[05:06] 我把它下載下來安裝。
[05:09] 你可以跟你的A群,不管什麼A群都可以。
[05:11] 不管是Codex、Claude Code或是AntiGravity
[05:14] 或是OpenCode都可以。
[05:15] 甚至用OpenCode都可以。
[05:16] 你就在OpenCode上面跟他講說去幫我安裝
[05:18] Gemma 4 12B。
[05:19] 那Gemma 4 12B的話我現在裝完了,
[05:22] 各位長這樣。
[05:22] 大家看一下,裝在我本地上面。
[05:24] 那我目前實測是我只能夠開128K的
[05:28] 上下文是12萬簡單的介紹一下你是什麼模型
[05:33] 你的能力是所以你看喔它就開始啟動
[05:36] 了嘛那因為我設定我是用我的顯卡
[05:39] 去那大家看一下接下來它就開始去想看到嗎大家
[05:43] 看到嗎這個是本地模型
[05:44] 然後開始想想完之後它就會告訴我說它是
[05:47] 好那來所以大家看一下
[05:49] 好那你看就是因為我的顯卡是4080
[05:51] 所以生成的速度還ok啦
[05:53] 所以它是一個多魔態的一個本地端的AI
[05:57] 知識範圍到2025年。
[05:58] 能夠生成文字,但是他讀得懂聲音,
[06:00] 然後他也看得懂片。
[06:02] 所以原理上是ok的。
[06:03] 好,等你安裝完之後啊,
[06:05] 我們就可以把它接到我們的OpenCode裡面來。
[06:07] 那所以我這邊我也在這個對話裡面,
[06:09] 新增一個工作階段。
[06:10] 然後這個Gemma 4 12B。
[06:12] 請回答我,你好就好了。
[06:15] 那我們來看一下。
[06:16] 這OpenCode裝不好的話,
[06:18] 你就是跟你的Agent講一下要怎麼裝。
[06:21] 誒我昨天已經裝好了,那照理說應該今天是能跑。
[06:24] 裝不好的話就把你的Agent叫出來。
[06:26] 請他裝好了。
[06:27] 好 來給大家看一下就是本地端那本地端A群是哪來做什麼
[06:32] 呢?本地端目前為止永遠都比不上那些頂級的雲端
[06:36] AI就算你要接近雲端AI的水準你的硬體配備也要超級
[06:40] 厲害比如說你可能需要有128G的RAM來你看他回答我你好
[06:46] 想了這麼久你看到嗎?
[06:48] 想了這麼久好你去網路上搜尋關於
[06:54] Gemma 4 12B這個模型的詳細資料。
[06:57] 然後解釋一下這個模型最主要是拿來做什麼。
[07:00] 好,來,各位,現在這個是本地哦,
[07:03] 本地哦,
[07:06] 本地的哦,Gemma 4 12B。
[07:08] 所以當你想要接本地模型的時候,
[07:11] 你可以使用OpenCode,把它接進你的OpenCode
[07:14] 裡面來。所以就變成是,
[07:15] 它就變成是你的這個AI Aging的模型哦。
[07:19] 所以OpenCode我覺得它非常
[07:21] 好。最好用的是因為它可以接任意的模型。
[07:23] 本地模型你也可以接近當作是AIH的思考AI。
[07:27] 那再來它的好處是它可以接各家AI。
[07:30] 包含待會我會示範說那OpenCode還可以接什麼免費的
[07:34] AI。好所以你看,來,它想了30秒之後有沒有回答我這個
[07:38] 問題。那目前的話我的顯卡只能夠開到128K
[07:41] 上下文。所以變成是我也沒辦法請它做太重量級工作。
[07:46] 所以我來測試一下它認的圖片嘛。
[07:48] 測試一下。看一下我的今天的風
[07:51] 格。我看他記得嗎?
[07:52] 測試一下啦,因為我裝好我也沒有時間玩他,
[07:55] 確定可以跑就好。
[07:56] 來大家想要我測試本地端的AI
[08:00] 模型可以做什麼?
[08:01] 請你在聊天室打一下。
[08:03] 我不見得可以測啦,就是看你想要知道什麼可以讓他跑
[08:07] 跑看。好,給他一張圖片看他認得嘛,
[08:09] 附加檔案,天啊。
[08:10] 幫我讀一下這張圖片裡面有什麼資訊。
[08:13] 好,我們來看一下他是不是一個多模態的模型,
[08:16] 他可以讀到圖片嗎?
[08:17] 各位,我用的3D顯示卡是4080
[08:21] 喔!打遊戲超級好用的喔!
[08:23] 但是大家看一下就是因為我的顯示卡雖然不錯但是
[08:26] V-RAM太低了齁。
[08:28] 所以變成是跑的時候我上下了我沒辦法開滿。
[08:31] 開滿的話上下了我應該可以開到256但我只能夠開到
[08:34] 128而已。
[08:34] 好!無法直接閱讀處理。
[08:36] 這個我可能要想一下怎麼解決。
[08:38] 理論上來說應該是可以的。
[08:40] 生成影片的話我跟妳講生成影片這個用AI
[08:43] 模型生成影片這件事情就是大家可能誤會了齁。
[08:47] 就是生成影片有生成影片的模型。
[08:49] 生成影片有生成影片的模型。
[08:51] 那目前主
[08:51] 流的模型都是我們都是講叫大型語言模型。
[08:55] 語言模型就是文字為主。
[08:56] 那大家講的多模態是說我可以識別圖片、
[08:59] 可以識別聲音。
[09:00] 但是這些語言模型它是沒辦法直接生成影片的。
[09:04] 這樣大家理解嗎?
[09:05] 生成影片是生成影片的模型。
[09:06] 比如說C-Dance2點。
[09:07] 生成影片是生影片的。
[09:08] 那這個是屬於語言模型就是不一樣的。
[09:10] 它是多模態,但多模態意思是說我看得懂圖片、
[09:14] 聽得懂聲音。
[09:15] 這個多模態。
[09:16] 但是它生成還是只能夠生成文。
[09:17] 不管任何的語言模型都。
[09:19] 那所有你看到的生成影片一定是我
[09:21] 過的。那如果你們想要看本地端生成影片那就是要去
[09:26] 裝本地端生成影片
[09:27] 的我有裝我有裝我有裝我有玩但是我覺得這個門檻太
[09:31] 高了我有裝CompFu UI去生成影片是可以的我的
[09:35] 4080跑起來
[09:36] 是ok的但是問題是我不可能分享這個東西因為並不是
[09:40] 每個人都有高級的3D
[09:42] 加速卡不可能所以這些東西對我來講沒有太多分享的
[09:45] 意義我分享的感覺是做火力
[09:47] 展示而已那這個的話就變成是相對門檻式要是他能夠
[09:50] 做到的好,那最主要是做什麼事情你們知道嗎?
[09:54] 本地端的話,對,沒有錯,
[09:55] 本地端就是要處理敏感資訊。
[09:58] 比如說你要拿來處理學生的資料、
[10:00] 學生的成績。
[10:01] 你想要處理一些比較機密的公文。
[10:04] 好,你就可以使用本地端的AI。
[10:06] 現在我用的這個本地端AI它是沒有連網路的,
[10:09] 就是用我本地的3D顯示。
[10:11] 所以它可以拿來處理那些敏感資訊工作。
[10:14] 好,這樣大家了解嗎?
[10:15] 所以目前為止這個Gemma 4 12B的話,
[10:18] 我會拿來做就是敏感資訊的處理。
[10:21] 那,以它的能力來說,目前插雲端的AI太多。
[10:25] 好,有關於本地端AI的測試到這邊。
[10:28] 好,所以目前裝起來可以用啦,
[10:30] 可以用啦。但是你要來跑那些很複雜的事情,
[10:33] 我覺得,難人所難。
[10:34] 我們就是處理一些學生的資料,
[10:37] 敏感資料,在本地端不會外流到所有各家的雲端資料去。
[10:41] 好,所以你可以使用OpenCode裝本地的AI來去處理敏感
[10:45] 資料的一些生成。
[10:46] 這個是第一個。
[10:47] 再來第二個,我們今天的分享內容是叫做免
[10:51] 費。所以今天我要來教大家怎麼樣取OpenCode
[10:53] 免費的GP
[10:54] T好那請大家如果你有OpenCode的話
[10:57] 不管不管你是不是付費方案
[10:58] 因為免費方案你也可以跟著我
[11:00] 做你現在跟著我做你就擁有免費的DIH
[11:03] 用好不好所以請把你的電腦開來
[11:05] 所以接下來我們就來
[11:07] 好這句話很簡單就是我們要去申請NVIDIA
[11:10] 的開發者帳號
[11:12] 所以這句話我們要申請NVIDIA開發者帳號
[11:15] 我要申請NVIDIA開發者帳號
[11:18] 請給我NVIDIA開發者帳號
[11:20] 申請的網址要了我問我的agent。
[11:22] 好我就把local的關掉了。
[11:24] 因為怎麼講呢?
[11:25] 你這個本地的AI模型跟雲端的AI模型比起來還是差太
[11:29] 多了啦。能力真的差太多了。
[11:31] 所以就是處理敏感資訊的時候拿來用。
[11:33] 那我覺得大家還是以雲端的AI為主啦。
[11:36] 雲端的AI真的差太多了。
[11:37] 好OK。
[11:39] 好申請帳號的話到這個網址然後點右上角的
[11:43] Join然後輸入你的Mail然後下方的話這邊不要打密碼
[11:47] 這邊就是直接選邊我是真實榜客你還是要通過工人智
[11:52] 慧工人智慧工人智慧指說他驗證下你是不是真人真人
[11:56] 所以點擊說可以放入容器中的物品那你們可能不見得
[12:00] 會跟我一樣的題目你們可能會跟我不一樣所以你們就
[12:04] 自己發揮你工人智慧去通過這個考驗吧手機
[12:08] 火柴。
[12:09] 這不能放這不能放。
[12:10] 好,完成。
[12:11] 然後接下來,完成之後,
[12:13] 要選更多註冊選項。
[12:14] 選這裡。然後下方的話,
[12:16] 才會出現這個,使用別的平台登錄的。
[12:18] 那我們就使用Google登錄。
[12:20] 那它會說,要允許存取的個人資訊。
[12:23] 再來這邊也是一樣,就是還是要再驗證一下。
[12:27] 所以移動大象,也不知道是。
[12:29] 呦呦呦呦。
[12:30] 其中一個物品,OK好,嚇我一跳。
[12:32] 只有一個。
[12:33] 好,然後接下來建立帳戶。
[12:35] 接下來它會發送一個電子郵件到你的信箱裡面去。
[12:38] 所以我們就來收信。
[12:39] 然後就會得到一個驗證嘛。
[12:41] 那就把這驗證嘛。
[12:42] 輸入。你們註冊可能會跟我不太一樣。
[12:44] 反正就是要驗證啦。
[12:45] 然後要Email驗證。
[12:47] 然後需要輸入一些資料。
[12:49] 大概就是這樣。
[12:49] 你申請帳號大概就是這樣。
[12:50] 接下來他重新定位回去。
[12:52] 好,接下來要不要去接收到廣告訊息呢?
[12:56] 不要。
[12:57] 接下來要去填你的個人資料。
[12:59] 就把你的資料填上去。
[13:02] 嗯。
[13:04] 就大概填一下就好了啦。
[13:05] 大概填一下就好了。
[13:07] 那選填了就不一樣。
[13:08] 台灣 選甜就可以可以不用填。
[13:11] 然後這個廣告,廣告不要填。
[13:12] 好,那這邊會一個按鈕。
[13:15] 擋到了。
[13:15] 好,本地模型上網明天的天氣。
[13:18] 上網搜尋。
[13:19] 我不確定耶。
[13:20] 好像有鎖吧。
[13:22] 那如果是本地端的話,本地端的話,
[13:24] 你們就散吧。
[13:25] 目前為止本地端的能力比不上雲端啦。
[13:28] 那就算有5090顯卡,我覺得是有點勉強。
[13:32] 好,註冊完成。
[13:33] 這裡要選一下。
[13:34] 興趣。興趣。
[13:35] 完成。
[13:37] 完成之後,回到首頁。
[13:40] 給我申請API-Key NVIDIA API-Key網址。
[13:44] 這裡一樣網址我也貼給大家。
[13:47] 所以接下來我們已經註冊成NVIDIA的開發者了。
[13:51] 所以我們就可以用開發者的身份去試用NVIDIA
[13:55] 提供的免費API
[13:57] -Key。好,那就是在這個網址。
[13:58] 那接下來一樣我們需要Login一下,
[14:00] 登錄一下。
[14:01] 登錄的話在這裡一樣輸入你剛剛的ID。
[14:04] 然後一樣,
[14:06] 這邊不要點這個,你如果沒有填過資料的話,
[14:11] 他一定會叫你填資料。
[14:12] 好,這裡的話一樣要輸入你的mail。
[14:15] 但我們沒有註冊,我們要用那個。
[14:17] 這邊就是會導向剛剛的地方,
[14:20] 你就選。
[14:21] 好,看一下。
[14:22] 好,這是什麼意思?
[14:24] 先不要管他。來,所以你註冊完成之後啊,
[14:26] 會到這個地方來。
[14:27] 那接下來在你的帳號啊,
[14:29] 的地方,對,帳號這裡,點他。
[14:31] 這邊會有一個API Key,API Key,
[14:33] 點他。
[14:34] 然後接下來,哎呀我這個,
[14:36] 我知道了,教育帳號不行。
[14:38] 好,請大家用你的個人帳號,
[14:40] 教育帳號不行。
[14:41] 登我的個人帳號,教育帳號不行,
[14:44] 所以要請用個人帳號。
[14:45] 然後這邊的話,登的話也是一樣,
[14:47] 就是要到這個地方來。
[14:49] 好,你用個人帳號註冊完之後啊,
[14:51] 之後有一個API Key,對嗎?
[14:52] 那就點它,好,點它。
[14:54] 這邊點,General API Key。
[14:55] 然後這個API Key的名字是什麼?
[14:59] 就是讓你知道說這個API Key是拿來給OpenCode
[15:02] 使用的。那下面的話就是這個API Key的過期的線。
[15:05] 那我們選永不過期,所以要選NeverFile。
[15:07] 它這個機制是說如果你今天是付費的API Key
[15:10] 的話,你要選定時間過期會比較安全。
[15:13] 才不會說你的API Key被人家倒走之後,
[15:15] 用量都在你身上。
[15:17] 那如果是免費的話,就是你沒有注冊,
[15:20] 你沒有去給他信用卡扣款,
[15:23] 沒有去開通的話,原則上你是可以不用一定時間過期。
[15:27] 就是說你設定永不過期的話會比較方便。
[15:31] 如果你有付費的話還是要設定固定時間,
[15:33] 自然要過期比較安全。
[15:34] 所以有付費的話要設過期時間比較安全。
[15:38] 沒付費的話不用設過期時間比較方便。
[15:41] 所以我們這邊就是選OpenCode選永不過期。
[15:44] 然後接下來選General Key。
[15:46] 那它就會得到一組Key嘛。
[15:47] 這組Key的話我們就把它複製下來。
[15:49] 所以選這個或選這個都可以。
[15:51] Copy API Key。
[15:52] 好,接下來回到你的OpenCode裡面來。
[15:53] 你OpenCode裡面,在你OpenCode裡面的左下,
[15:56] 這邊會有一個設定。
[15:57] 選它。然後
[15:57] 設定的話選這個提供者。
[15:59] 提供者會供應商。
[16:00] 那我已經有設定了啦。
[16:03] 那沒什麼事我就是在設定啥?
[16:05] 中段連線。
[16:06] 好,來再一次喔。
[16:08] 然後這裡選提供者。
[16:09] 然後往下。
[16:10] 往下的話選更多中者。
[16:12] 然後往下找NVIDIA。
[16:13] N開頭的話滿下面。
[16:15] 這裡N滿下面。
[16:16] 選它。然後這邊有個加號。
[16:17] 加。然後把剛剛的API Key貼上。
[16:19] 然後交。接下來大家恭喜大家。
[16:22] 這是你就有免費的API Key可以使用。
[16:24] 那目前免費的話有提供幾個模型。
[16:26] 我覺得相當好
[16:27] 用。提供模型在這邊,我們可以到這邊來看。
[16:30] 一樣選這個設定。
[16:31] 選模型。
[16:33] 選這個模型。
[16:33] 就可以看到廠商提供的模
[16:35] 型。我們往下NVIDIA提供的。
[16:37] NVIDIA提供這麼多模型。
[16:39] 這些都是可以免費使用的。
[16:41] 這樣這樣。
[16:42] 然後就是這個吧。
[16:44] 開這個。
[16:45] 那我個人建議啦。
[16:47] 就是免費的是這個啦。
[16:48] V4 Flash是免費的。
[16:49] 那至於哪些是免費的可以用的。
[16:51] 在它的網站上面自由下。
[16:54] 開去哪裡。
[16:55] 在這裡。正選。
[16:56] 比如說現在啦。
[16:57] 免費的齁。
[16:58] 你就點到它的網站裡面免費的就是這個Free
[17:01] Endpoint這就是免費的可以用的。
[17:03] 所以Nemotron 3 Ultra可以用的。
[17:05] 所以你就把這個免費的勾一勾。
[17:07] 那像這個還有這個好用的啦好用的。
[17:10] Timi2.6。
[17:11] Timi2.6。這也是好用的。
[17:12] 對勾。然後像這個的話這個雖然有顯示在裡面可是就是
[17:16] 沒有出現這個Free Endpoint就是代表不能用的。
[17:20] 那Deepstick V4 Flash這個百萬上下文是免費使用的。
[17:24] 那我個人建議你就開這兩個其他都不用開。
[17:26] 開這兩個就好了。
[17:27] Glm5.1也好用了。
[17:28] 你也可以開啦。
[17:29] 動作比較慢。
[17:30] 所以免費的話我個人建議就開那兩個。
[17:33] 好所以我們回到我們的OpenCode裡面來。
[17:35] 那我們就開那兩個。
[17:35] 免費的免費是這個V4 Flash。
[17:38] 那這個沒有免費我們就這樣。
[17:39] 你要有註冊信用卡才可以開啦。
[17:42] 你要有綁定。
[17:43] 所以我們就是拿免費的角。
[17:45] 那像這都不要開。
[17:46] 這個有免費看你有沒有要開啦。
[17:48] 然後Kimi2.6要開。
[17:49] Kimi2.6是一個多模台的模台。
[17:50] 因為上映只要開這兩個。
[17:51] 它都可以不用開。Mini Max2.7有開的用。
[17:54] Mini Max2.7有開的用。
[17:55] Mini Max2.7有。Mini Max2.7也有。
[17:56] 但是Mini Max2.
[17:57] 7也有。Mini Max 2.7 我覺得嗯好看哪看你要不要開啦免
[18:01] 費這個不用開這個不用開ok好所以我個人建議簡單的
[18:06] 開一下啦開這兩個就好了Kimi 2.6跟Deep Seek
[18:09] V4 Flash開這兩個開這兩個這個是有免費的好接下來我們
[18:13] 把它關掉然後我們就開一個新的Session接下來我們來
[18:17] 看一下是不是真的免費可以用所以你會看到這邊
[18:20] NVIDIA這邊就多一個NVIDIA供應商裡面有多一個
[18:24] Deep Seek V4 Flash跟Kimi 2.6好那這裡的話啊
[18:27] 這個東西很好用是因為它的上下文有100萬然後它也蠻
[18:30] 聰明的所以我今天講的A群大群的話就是有一個部分就是
[18:35] 使用A群就是免
[18:36] 費的那免費有免費的限制我等一下跟大家講免費的限
[18:39] 制那再來另外一個Kimi2.6上下文沒有那麼大但是它是
[18:42] 一個多模胎的模型也很聰
[18:44] 明所以如果今天你想要處理文字圖片、
[18:47] 影片的話它看得懂圖片它也看得懂影片所以你是可以
[18:50] 給它看圖片跟影片看得懂所以當你需要截圖或是當你
[18:54] 需要做一些給它一些文件式的圖片
[18:56] 要去辨識截取裡面的內容。
[18:58] 那我會建議開Kimi2.6出來。
[19:00] 那它上下文就沒有到100萬。
[19:02] 那上下文是26萬。
[19:03] 26萬也很夠用了。
[19:04] 就正常。算是正常的一個模式。
[19:06] 所以如果你需要圖片的話。
[19:08] 需要比較高階的推遞的時候,
[19:10] 就用Kimi2.6。
[19:10] 那正常做一般事情的時候,
[19:12] 就使用這個Dipsy V4 Flash。
[19:14] 就非常好用。
[19:15] 可以嗎?好,所以我們就來試試看。
[19:17] 是不是真的可以。
[19:18] 現在我用的是免費的API Key。
[19:20] 請你上網幫我搜尋一下。
[19:21] 在NVIDIA提供的免費API裡面。
[19:25] Dipsy V4,還有K
[19:26] imi2.2.6的能力如何?
[19:28] 幫我解釋一下這兩個模型的優勢及適用的場景。
[19:32] 另外免費額度的話,它的限制有哪些?
[19:35] 跟付費帳號比起來?
[19:37] 比較之下如何?
[19:38] 請給我表格來去比較免費跟付費的差別。
[19:42] 好,我現在就是請這個免費的Deepseek V4
[19:45] Flash來去做這件事情。
[19:47] 大家不要覺得說OpenCode免費,
[19:50] 但免費其實就很好用。
[19:51] 那像我的影片裡面有很多的Skill,
[19:54] 比如說製作簡報的Skill,
[19:56] 製作影片的
[19:56] Skill,其實OpenCode的表現都非常的好那為什麼表現
[19:59] 很好呢?是因為我們提供給它非常好的技能框架所以在
[20:04] 這個已經很好的技能框架的條件下它根據這個技能框
[20:08] 架來做文件會非常好所以你看真的可以用耶!
[20:12] 大家有沒有看到?
[20:13] 好但是大家有感覺嗎?
[20:14] 它有加賣?
[20:15] 沒有錯!
[20:16] 因為免費的話你就是要排隊當很多人在使用的時候你
[20:20] 都要對這樣大家OK嗎?
[20:21] 所以大家也不要覺得說哦!
[20:22] 免費了好像就是免費無敵了並沒有無敵了免費才
[20:26] 是...有很多限制。
[20:27] 當人多的時候,你就要對。
[20:29] 所以一定很多人在使用這些免費的模型。
[20:32] NVIDIA有一定的額度。
[20:34] 當大家都在用的時候,你這個額度大大一個上限,
[20:37] 你就得對。不是不能用,
[20:38] 就是用起來慢。
[20:39] 因為它是免費的模型。
[20:40] 不是說免費模型啦。
[20:41] 免費的。
[20:42] 由NVIDIA免費提供的API。
[20:45] 所以他現在很認真的在。
[20:47] 那100萬上限文還是很好用的。
[20:49] 100萬上限文。
[20:50] 非常方便。
[20:51] 好,我們就稍等他一下。
[20:52] 來,那相同的提示詞好不好。
[20:54] 我請付費的來找一下。
[20:56] 我現在新開一個,然後開付費給大家看。
[21:00] 新增工作階段,我現在開付費。
[21:02] 我用我的OpenGo方案裡面的100萬上校,
[21:06] 這是OpenGo的。
[21:06] 請你上網幫我找一下Deepstick V4 Flash跟
[21:09] Kimi2.6,兩個模型的優點。
[21:12] 它試用的場景。
[21:13] 並且上網幫我找一下在NVIDIA提供的免費
[21:17] API Key。
[21:18] 這兩個模型的使用限制為何,
[21:20] 跟付費的模型比較有如何,
[21:23] 幫我製作一個比較的列表。
[21:24] 好我現在這個是我有付費的go方案那一樣
[21:27] 所以你看喔現在這個是免費的免費還在跑免費還在
[21:30] 跑然後付費的馬上跑出來大家有看到嗎
[21:33] 呵呵呵這是付費
[21:34] 的你看付費馬上就跑
[21:36] 了扭付錢沒付錢還是有差
[21:37] 的所以像你用免費的
[21:40] 齁他不是不能跑就是慢因為
[21:42] 你得要跟大家對
[21:43] 所以嗯嗯
[21:44] 好吧所以大家可以去比較看看這個是NVIDIA
[21:48] 的Deepseek V4
[21:49] 然後這個是OpenGo方案的Deepseek V4
[21:51] 所以他就真正上網去找了
[21:53] 然後去幫我做比較
[21:54] 如果說今天你也真的想要體驗看看Agin
[21:58] 的話,OpenGo方案我覺得是一個蠻好入門的方案。
[22:02] 好,所以來,像這個Deepseek V4 Flash上下有
[22:06] 100萬嘛,所以你有看到嗎?
[22:08] 多摩泰就是用KIMI2.6,
[22:10] 然後如果一般正常使用就是用Deepseek V4。
[22:13] 它處理寫程式啊、讀資料啊、
[22:16] 製作影片啊,我覺得都蠻好的。
[22:17] 那你要做一些規劃推理啊,
[22:20] 分析的時候就開KIMI2.6。
[22:22] 所以Deepseek V4的話,
[22:24] 因為上下有很大,所以很適合做超強文件分子。
[22:27] 然後它的寫程式的能力是很輕的,
[22:29] 所以適合這些事。
[22:30] 那KIMI 2.6的話,多麼它也可以直接處理圖片跟影片輸
[22:33] 入。然後適合多麼它也理解複雜的agency。
[22:36] 長時間自動化人物。
[22:37] 所以原則上大概就用這兩個啦。
[22:39] 來再來NVIDIA免費API Key的限制。
[22:42] 來我們今天用到的是免費端。
[22:44] 所以Rate limit就是使用的限制。
[22:48] 應該是1分鐘40,就是嗯。
[22:51] 然後允許商用。
[22:52] 拖管在這個地方。
[22:53] 是用開發測
[22:54] 試。因為我們去申請NVIDIA的開發者帳號,
[22:57] 目的就是為了要使用他們提供的這些API Key
[23:00] 來去做開發測試。
[23:01] 好,來,所以你看嘛,適合開發測試、
[23:03] 概念驗證、不保證服務穩定性。
[23:05] 如果你要生產的話就要付費脫軌了嘛,
[23:08] 那自己部署,你必須要有強大的3D加速卡,
[23:11] 你才把自己部署。
[23:12] 我的本地硬體設備嘛,可以啊,
[23:14] 大家看啊,幫我列出我這台電腦的硬體設備。
[23:17] 好,我們看一下齁,再來免費的話,
[23:20] 註冊NVIDIA Covers帳號就可以獲得API Key。
[23:23] 那,但是,
[23:24] 你就會有一個型號,要等,
[23:25] 好,這個是我的,我這台電腦也三年前的電腦,
[23:29] 32G的RAM,AMD的Zizung,
[23:33] 顯卡是,我有雙顯卡了,
[23:35] 我有3D加速卡是,4080,
[23:37] 已電版本的VU,32G的RAM,
[23:40] 所以我們看一下免費的跑出來沒有,
[23:42] 免費還在跑,是跑得出來的,
