[00:02] 哈囉今天要來講第十集
[05:42] 我們要解決一個問題
[05:43] 或是我要做一個活動
[05:45] 反正我就是要開發出一個工具
[05:48] 來去解決問題
[05:49] 或是來去應用在我的生活上
[05:52] 或者是我的教學上
[05:53] 所以這個東西叫專案
[05:56] 我們就以這個叫專案
[05:58] 所以我每一個專案
[05:59] 在我的筆記本裡面
[06:00] 都一定會有一個筆記
[06:02] 專門是存我的專案
[06:05] 比如說我今天有一個
[06:07] data base的專案
[06:08] 就是今天晚上要講的
[06:09] 我今天晚上要講的內容
[06:11] 就叫data base專案
[06:13] 那這個專案的話
[06:14] 他會有一個專案工作流程
[06:16] 裡面會記錄這個專案的
[06:19] 所有詳細的內容在這裡面
[06:22] 所以比如說我今天要講的內容
[06:24] 就會有一個專案工作流程
[06:25] 點進來之後上面會寫
[06:27] 我所有的內容
[06:28] 我在這個專案裡面
[06:30] 所有內容會全部寫在這個地方
[06:31] 來大家看到會非常的詳細
[06:33] 那你看我這個專案
[06:35] 其實我已經對話非常久
[06:36] 你看我這個專案
[06:37] 從我專案從這個專案
[06:39] 從4月12號開始
[06:41] 然後到今天晚上才完成
[06:43] 你自己看一下我這個所有專案
[06:45] 記錄在這邊4月19號
[06:46] 總改了幾版你們知道嗎
[06:49] 一二三四五至少改了十版以上
[06:50] 你們今天看到的就是
[06:52] 精華中的精華
[06:52] 絕對是精華中的精華
[06:55] 好然後每一個專案的話
[06:56] 比如說我一個代理人小克
[06:58] 這小克的話小克也是我一個專案
[07:01] 那小克的話一樣會有一個專案工作流程
[07:03] 他會告訴我這個專案到底是幹嘛
[07:06] 比如說小克的話
[07:07] 不是一般的專案
[07:08] 他是一個代理人
[07:09] 他是會被召喚到任何資料夾
[07:12] 代理人所以他這個專案的的用意是什麼
[07:15] 我全部會存在我的Obsidian筆記本裡面的
[07:20] 其中一個資料夾
[07:21] 那這個資料夾就是我的專案的駕駛艙
[07:24] 那比如說mathGames這邊也會一樣
[07:26] mathGames這邊一樣會有一個專案工作流程
[07:29] 那因為mathGames我已經做過了
[07:30] 所以左邊下面會有一個採坑記錄
[07:32] 就是我在做這個專案的時候
[07:34] 我遇到什麼坑
[07:35] 他會幫我記錄下來
[07:36] 所以我所有的專案東西
[07:38] 會全部放在我的第二大腦Obsidian裡面
[07:41] 所以Obsidian他的方式就是
[07:44] 記錄我的想法是什麼
[07:46] 我做過什麼事情
[07:48] 好這個東西是非常重要的
[07:51] 來再來因為我的Obsidian是
[07:54] 他是放在我的雲端資料夾
[07:56] 所以他會同步我所有的電腦
[07:59] 我的手機上面
[08:00] 我有兩台電腦
[08:01] 現在我直播是我的家裡面的桌機
[08:04] 然後我工作的話會有一台筆記型電腦
[08:06] 那這兩台電腦的話
[08:07] 我用的都是同一個Obsidian
[08:09] 所以我不管在哪個地方去更新了
[08:11] 我的Obsidian之後
[08:12] 我每一個手機電腦
[08:14] 全部都會同步更新
[08:15] 所以這個東西就是
[08:16] 我不管用什麼機器
[08:18] 我只要輸入我的帳號
[08:19] 全部都會同步更新我的筆記本
[08:22] 我的第二大腦
[08:22] 好所以我在左邊一定會有一個專案
[08:25] 那這專案怎麼使用呢
[08:26] 好就是我今天要教大家的
[08:28] 如果你是新手的話
[08:30] 你要怎麼樣從頭到尾
[08:31] 去設計一個專案
[08:32] 好我們專案在做的時候
[08:34] 我們總共有四個地方
[08:35] 四個地方呢
[08:37] 四個地方呢我們先來看一下
[08:39] 我已經全部幫大家準備好了
[08:41] 我們的專案工作流程是這樣子
[08:43] 再來專案工作流程的話
[08:46] 今天我講完之後
[08:48] 我會給大家一個我設定好的懶人包
[08:52] 你們等一下只要下載懶人包
[08:55] 你在這個影片的底下
[08:57] 在影片下方資訊欄
[08:58] 我會放懶人包
[08:59] 你去下載這個懶人包
[09:01] 你照著懶人包上面的設定
[09:03] 然後你把懶人包丟到claude裡面去
[09:06] 懶人包會幫你設定好
[09:08] 做的跟我的專案的模式一模一樣
[09:12] 那如果你有你自己習慣的方式
[09:14] 你就改成你習慣的方式就好了
[09:16] 所以等同是我給你一個模板
[09:18] 給你一個鷹架
[09:19] 你只要照著我這個模板
[09:20] 鷹架然後你去改它
[09:22] 你就可以做到跟我差不多的
[09:24] 一個專案的架構好
[09:26] 我這個專案架構是這樣的
[09:28] 我把這個叫做專案駕駛艙
[09:30] 那這個名字是我命名的
[09:32] 因為我給他一個名字
[09:34] 別人抄襲的時候
[09:35] 我比較知道說別人是抄我的
[09:36] 好那這個東西呢
[09:39] 我原則上為什麼要做這件事情
[09:42] 是因為我們在claude裡面
[09:44] 有很多限制
[09:45] 我現在講一下為什麼要做這件事情
[09:47] 是claude限制來
[09:48] 最近claude更新了
[09:50] 你如果要到我們以前舊版claude code的話
[09:53] 你要到這個地方來
[09:54] 他在左邊的地方會有這個expand sidebar
[09:58] 這邊會有分claude chat、claude cowork
[10:03] 跟 claude code
[10:04] 所以他現在那個三個版本
[10:06] 排到這個地方來
[10:07] 所以如果你的claude code 桌面版有更新的話
[10:11] 他現在界面改到這個地方來
[10:13] 再一次在我們 claude code 桌面版的這個程式裡面
[10:17] 的左上角這邊有一個 expand sidebar
[10:20] 裡面的 claude chat 是這個
[10:21] 這是 claude cowork
[10:23] 這是 claude code
[10:25] 好今天我講的是 claude code在這邊
[10:28] 好 claude code 的話
[10:31] claude code 他是這樣
[10:32] 他是本地端的
[10:34] 本地端的 ai 是指說
[10:37] 我現在在這邊工作的所有的資料夾
[10:39] 都是本地端
[10:40] 如果我換一臺電腦
[10:42] 換 claude code 桌面版應用程式
[10:45] 這個對話是不會同步過去的
[10:48] 大家要理解這件事情
[10:50] 也就是說我現在在這臺電腦的對話
[10:53] 我在我的筆記型電腦上面
[10:56] 是不會出現的
[10:57] 好那不會出現的話
[11:00] 你這邊做過所有事情
[11:02] 你用另外一臺電腦開
[11:04] 就算你開的是同一個帳號
[11:06] 他也不會出現這個對話視窗
[11:09] 所以這個對話視窗
[11:10] 你沒有辦法再接著對話
[11:12] 因為他會不知道你在別臺電腦
[11:15] 有過這樣的對話
[11:16] 然後再來就是這個對話
[11:18] 我們在對話的時候
[11:19] 有所謂的我們的上下文
[11:22] 上下文的話現在會在這個地方
[11:24] 我先把我的頭像先移開
[11:27] 哈哈我的頭像等我一下
[11:30] 好來現在的話
[11:37] 你看一下我們 claude code
[11:38] 他的限制是這樣
[11:41] 大部分的人不知道 claude code 的限制
[11:43] 是我本地端在這個機器
[11:46] 我現在在我桌機的對話
[11:48] 在我的筆電上面是完完全全
[11:50] 沒有這個對話的
[11:51] 所以你沒有辦法在這臺電腦
[11:54] 做一做之後到別臺電腦
[11:56] 繼續往下做
[11:58] 好本身 claude他是有這個機制的
[12:01] 他的機制是這樣的
[12:02] 他的機制就是他會在資料夾裡面
[12:05] 會一個 claude.md
[12:08] 好比如說我們在做專案的時候
[12:10] 來大家我們在做的時候
[12:12] 我們在做的時候
[12:13] 你要開一個新專案
[12:15] 新專案你必須要選定一個資料夾
[12:18] 好我選定的資料夾
[12:19] 我使用的是google雲端硬碟
[12:22] 為什麼使用 google 雲端硬碟
[12:25] 是因為我在家裡面用桌機
[12:27] 我在學校用筆電
[12:29] 我想要畫裝置來去工作
[12:31] 因為對話他沒有辦法到同步到別臺去
[12:36] 這一臺的對話就是這一臺
[12:40] 你在別臺對話他不會有這些對話
[12:42] 可是你的專案的內容
[12:44] 你的專案內容就是
[12:46] 我一定要選定一個本地端的硬碟目錄
[12:48] 好本地端硬碟目錄
[12:51] 我選定的是我使用 google 雲端硬碟
[12:54] 所以我 google 雲端硬碟進來之後
[12:55] 我會在這邊興建我的工作目錄
[12:57] 比如說我今天要做的是data base
[13:00] 好data base 做進來之後
[13:03] 我所有在這個 claude code 的工作
[13:07] 產生的檔案全部都會在這個目錄裡面
[13:10] 所以我才講說 claude code
[13:12] 他是屬於本地端的 ai
[13:14] 他不是雲端的 ai
[13:16] 所以很多的條件會因為本地端的方式
[13:20] 受到限制
[13:21] 好所以因為他是本地端的 ai
[13:23] 你就一定要在本地選一個資料夾
[13:27] 那我為了能夠在不同的電腦之間
[13:29] 同步工作
[13:30] 所以我本地端的那個資料夾
[13:33] 我選定的是 google 雲端硬碟
[13:36] 也就是說我使用雲端硬碟
[13:38] 來去做我工作目錄的資料夾
[13:41] 所以我在這個claude code 裡面
[13:45] 產生的所有檔案
[13:46] 就會產生在我google 雲端硬碟裡面資料夾
[13:49] 所以我用這樣的方式
[13:51] 我在別臺電腦
[13:52] 我只要登錄我的 google 雲端硬碟
[13:54] 我就可以在別臺電腦裡面
[13:57] 去讀到同樣專案裡面的檔案
[14:00] 這樣大家理解我意思嗎
[14:01] 所以第一個小技巧是
[14:03] 你要用 google 雲端硬碟
[14:05] 來當做是你的工作目錄
[14:06] 你就可以把這些檔案
[14:09] 存在雲端上面
[14:10] 你就可以去跨電腦
[14:14] 好 git 的目錄
[14:15] 這樣同步不會出錯嗎
[14:17] 好我這邊的話
[14:17] 我等一下會講哦
[14:19] 然後再來就是
[14:21] 如果說今天你要做的是
[14:23] 像我上個禮拜直播
[14:24] 像 tablets 這種
[14:25] 你要做的是本地端的 app
[14:28] 的話你就不能夠使用
[14:30] 雲端硬碟來做你的工作目錄
[14:32] 因為你在打包程式的時候
[14:35] google 雲端硬碟是不會讓你打包的
[14:37] 所以今天假設你要做的專案
[14:39] 一定是我做了應用程式
[14:42] 發佈到 github 上面去
[14:44] 所以我才會使用雲端硬碟
[14:46] 那如果今天你要做的專案
[14:48] 是本地端
[14:48] 你必須要做打包成應用程式
[14:52] 在你的電腦使用的話
[14:53] 你就得要使用
[14:55] 你本機電腦的硬碟
[14:56] 這樣了解嗎
[14:57] 好所以我還是要先說要限制
[15:00] 所以你要根據你的需求
[15:02] 去選擇說
[15:03] 你要使用雲端硬碟 google drive
[15:06] 還是要使用本地的磁碟
[15:08] 來建立你的工作目錄
[15:10] 好所以我在做工作目錄的時候
[15:13] 為了我們在不同的電腦裡面
[15:16] 你可以同步去工作
[15:18] 或者是我在開新的對話的時候
[15:23] claude code 知道我上一次做到哪邊
[15:26] 所以 claude 他本身會有一個
[15:29] 叫做 claude.md
[15:31] 這個檔案就是在這個專案的目錄裡面
[15:36] 他就會把我們當下對話
[15:38] 比較重要的那些藍圖
[15:40] 你的規劃東西會記在這個檔案裡面
[15:44] 可是他能夠記的內容是有限的
[15:47] 細節他沒有辦法記很清楚
[15:50] 所以這個檔案你也不能夠
[15:52] 寫太多內容在裡面
[15:53] 你不能夠把所有都要寫在這個裡面
[15:56] 他只會寫一些你在做這個專案的時候
[15:59] 你規劃哪些重點內容
[16:01] 把它放在這個裡面
[16:02] 所以這個 claude.md
[16:04] 你不能夠讓他太肥
[16:05] 我不能夠讓他太肥
[16:06] 好那這邊會有一個 claude.md
[16:10] 那雲端硬碟的話
[16:11] 我到別的電腦工作的時候
[16:12] 我會讀進來這邊雲端硬碟
[16:14] 好那我們在做 claude code 的時候
[16:17] 你在這裡的話
[16:18] 來你在這裡的話
[16:20] 你看哦我們在新對話的時候
[16:22] new session 這邊有一個觀念
[16:25] 就是我們 ai 在工作的時候
[16:27] 他會有所謂的上下文
[16:29] 上下文就是你現在在跟他對話的地方
[16:33] 叫上下文
[16:34] 在這個地方這地方就叫上下文
[16:36] 這一塊就叫上下文
[16:37] 好上下文的話
[16:38] 我們在使用 ai 如果你的上下文爆掉的話
[16:42] 他就會變笨
[16:43] 為什麼呢
[16:44] 因為他的原理是
[16:45] 你每一次對話的時候
[16:48] 他都會把全部的內容再丟給 ai
[16:50] 那 ai 就是從頭到尾讀一遍
[16:53] 然後再回答給你
[16:54] 回答完之後你再跟他對話
[16:56] 下一次的時候
[16:57] 他會再把全部的內容
[16:58] 再全部丟給 ai
[16:59] 全部讀完之後再回答你
[17:01] 那他這個全部讀的這個地方
[17:03] 就等同是 ai 對話的記憶體
[17:06] 當他記憶體用完的時候
[17:10] 所以我們在使用 ai 的時候
[17:12] 你永遠都要去在意
[17:13] 你在這個對話裡面
[17:15] 他的上下文空間
[17:17] 是不是已經用完了
[17:19] 那我們以前在使用 google
[17:22] 或是使用一些 ai 工具的時候
[17:24] 你會不曉得上下文已經用完
[17:25] 那原則上我們的上下文
[17:26] 當你對話太久
[17:28] 或是你給他太多資料讀取的時候
[17:31] 他上下文就會爆掉
[17:32] 當上下文爆掉的時候
[17:34] 你會發現他就會變笨
[17:35] 他回答的內容就不會是你要的內容
[17:38] 或是有時候回答出來就是會亂
[17:40] 所以很多時候我們在使用 ai 的時候
[17:42] 就是不斷的對話
[17:43] 不斷的對話
[17:44] 對話就越對話越亂
[17:45] 越對話越笨
[17:46] 所以我們最好的方式就是
[17:48] 你要開一個新對話
[17:49] 可是你開一個新對話
[17:52] 會有個問題
[17:52] 就是你開一個新對話
[17:54] 這邊對話全部內容的記憶
[17:56] 他就全部都忘記了
[17:58] 所以我們在做一個比較大型專案
[18:01] 比較大型工作的時候
[18:02] 當你對話忘記的時候
[18:06] 他就會忘記之前做了什麼
[18:08] 做了哪些踩的坑
[18:10] 這是我們在使用 ai 的時候
[18:12] 會遇到的大問題
[18:15] 你必須永遠都要在意
[18:17] 說我現在這個對話的上下文
[18:20] 爆掉了嗎
[18:23] 還有剩嗎
[18:24] 好那上下文怎麼樣去節省
[18:26] 上下文這中間是一個很大的學問
[18:30] 我今天暫時不講怎麼樣節省上下文
[18:34] 好那現在在我們的 claude code 裡面
[18:36] 桌面版會有一個這個功能
[18:39] 來這個功能你們在右下角地方會看到
[18:41] 有這邊有一個功能好你就點他
[18:43] 你點他他就 context
[18:45] 這是我們的上下文好
[18:47] context 的話你看這邊話
[18:49] 我選用的是最新的 4.7
[18:51] 然後我選的是 100萬上下文的
[18:56] 所以你看我現在的對話是 56.4k
[18:59] 然後只用了這一點點
[19:01] 代表什麼代表我的上下文空間還很足夠
[19:04] 所以他還很聰明很健康
[19:06] 那你不斷的對話尤其是
[19:09] 你給他大量檔案的時候
[19:11] 這個上下文很快就會爆掉
[19:13] 如果你這個上下文這個地方
[19:15] 長期處在很多的量
[19:17] 很快就會把你這個 ai 的額度用完
[19:22] 所以上下文的管理就是
[19:24] 你在對話的時候怎麼樣管理上下文
[19:26] 其實是一個學問
[19:28] 我也我也在學習
[19:30] 所以大家只要知道說這裡就是
[19:32] 你去看一下 ai 聰不聰明
[19:35] 健不健康的地方就是在這個地方
[19:38] 當這裡爆掉的時候
[19:39] 不管再聰明 ai 都會變笨
[19:41] 好 claude code 他非常聰明
[19:44] 在你快爆掉的時候
[19:45] 他會自動幫你壓縮對話
[19:47] 壓縮對話他會把前面那些對話
[19:49] 把壓縮成比較精簡
[19:51] 那精簡的話當然你就看不到
[19:53] 就是詳細的對話他幫你壓縮
[19:55] 他這邊會自動幫你壓縮
[19:58] 可是壓縮的話就會失去詳細版的上下文
[20:01] 好那你也可以把它清空
[20:03] 可是清空的話你之前有一些
[20:06] 你做完的進度或是你一些踩過的坑
[20:09] 他就會忘記
[20:10] 所以我們怎麼樣去管理這個上下文
[20:13] 怎麼樣我開一個新的對話的時候
[20:15] 我才有辦法去接續我這個專案
[20:18] 也是很重要的事情
[20:19] 好所以我們現在就是有分兩個部分
[20:23] 就是我專案的話是有目錄
[20:24] 各位來我專案目錄
[20:26] 我專案的目錄我使用 google 雲端硬碟
[20:30] 那 google 雲端硬碟我最主要是
[20:33] 我要寫應用程式
[20:34] 所以我使用 google 雲端硬碟
[20:37] 那如果我是寫本地端程式的話
[20:39] 我就不要使用 google 雲端硬碟
[20:41] 好那另外一個就是在這個專案的資料夾裡面
[20:44] 我們在資料夾裡面跟他對話
[20:49] 所以你看我選一個新對話來
[20:52] 各位我現在選一個新對話來
[20:55] 我選一個新的對話啊
[20:57] 新的對話選新的對話
[20:58] 選新的對話他現在就是
[21:01] 一個全部上下文全部清空的狀態
[21:03] 啊全部清空狀態
[21:05] 所以你這時候你要選目錄啊
[21:07] 比如說選目錄我選 data base
[21:09] 好我現在新開一個新的對話
[21:11] 然後目錄我選 data base
[21:16] 好什麼意思呢就是
[21:17] 現在是一個完全沒有記憶的 up 4.7
[21:20] 啊但他有 100萬上下文的一個 ai
[21:26] 現在就是在這個工作目錄然後去工作
[21:29] 好那我怎麼樣接續這個工作目錄的工作呢
[21:33] 啊我只要告訴他說
[21:35] 啊 2026 data base 專案然後繼續
[21:40] 好這時候他會做什麼事情
[21:52] 他會去讀 claude md
[21:54] 他會去讀這個目錄裡面的這個 claude md
[22:00] 好那當然我們還有所謂的 memory
[22:03] 還有全域的 claude md
[22:04] 我今天先不要講這個
[22:05] 我們就講一個專案就好了
[22:06] 他就會去讀裡面 claude md
[22:09] 可是只有這樣是不夠
[22:10] 因為他不會知道說你上次詳細做了哪些
[22:13] 所以你需要有別的方式來去詳細的告訴他
[22:18] 做了哪些我們使用的就是 obsidian
[22:23] 第二大腦好所以你看
[22:24] 哦駕駛艙同步完成
[22:27] 你有看到嗎我已經寫好了
[22:29] 他要去讀我的第二大腦的 obsidian
[22:32] 裡面我上次專案做到什麼內容
[22:34] 然後他也會去讀這個專案資料夾的 claude md
[22:38] 裡面我們規劃的藍圖是怎樣
[22:40] 所以他就會告訴我說
[22:42] 哦現在的狀況是這樣
[22:43] 來各位他讀完這些事之後
[22:46] 他的記憶體就被佔掉了
[22:48] 你有看到嗎他讀完這些東西佔掉了 55.9k
[22:52] 把上一次我做的內容全部讀進來
[22:55] 那當然讀進來就是已經被我精簡過
[22:58] 做了重點摘要的內容
[23:00] 接下來我從這邊跟他對話
[23:03] 我就可以擁有一個乾淨的上下文
[23:06] 一個聰明的 ai 來去接續我上一次的工作
[23:11] 在這個目錄裡面這樣大家 ok 嗎
[23:14] 好來所以所以詳細的話
[23:19] 我們我們在做的事情是
[23:20] 實際上就是我我怎麼樣去做這些事情
[23:24] 好我怎麼做的呢我是這樣子做的
[23:27] 哇喝口水啊如果如果你聽不懂
[23:33] 沒有關係我我的
[23:35] 我我的我的影片會公開在網絡上
[23:39] 你隨時就是可以回來看哦
[23:47] 這東西我覺得好難哦
[23:50] 我學好久好來接下來我們來看一下
[23:54] 我是怎麼做的哦好
[23:59] 我們那個google drive裡面的claude md
[24:02] 是變動比較慢的
[24:03] 也就是說我們是做一個規劃藍圖
[24:05] 他不用說一直變動
[24:08] 因為claude md就是他每次都會去讀
[24:10] 他不用變動很大
[24:11] 可是我的阿博西點筆記本是變動很快的
[24:14] 那我們進度只在這邊記錄
[24:18] 避免雙斜飄移
[24:19] 就是我避免就是這邊寫那邊也寫
[24:22] 或是重複寫的所以我有避免掉這些事情
[24:25] 哦好所以維護規則
[24:28] 4月18的哦就是表格
[24:30] 表格超過30行的時候
[24:33] 把舊的啊搬到歷史日誌裡面去
[24:35] 是為了我要妥善的做上下文管理
[24:37] 簡單講就是我們不要把我們那個ai的記憶體
[24:42] 上下文我們不要把它塞滿
[24:43] 因為把它塞滿他就會變笨
[24:45] 我們的目標是我能夠工作的
[24:47] 我能夠延續我之前的專案工作
[24:51] 但是又不要把我的上下文塞滿
[24:53] 所以我現在這就是在做這樣的事情
[24:55] 好所以原則上他就是超過一定的行數的時候
[25:01] 會自動幫我精簡
[25:02] 有點像是壓縮對話哦
[25:04] 好那我這個腳本就是我今天要講的
[25:07] 那你要講好來我們來看一下哦
[25:12] 那這個是他剛剛去讀的
[25:15] 我們剛剛不是說我開了database嗎
[25:18] 然後我跟他講說我們專案繼續
[25:19] 他就來讀這個專案工作流程
[25:21] 那他就會把這些流程全部讀進來
[25:24] 所以讀進來的話你看
[25:25] 這個是我上次全部做完的內容在這邊
[25:28] 他就全部讀進去
[25:29] 他知道說我上次做哪些
[25:31] 全部都是精簡過後的重點整理這樣ok嗎
[25:34] 好來接下來我來講一下整個工作原理
[25:39] 是怎麼樣子好
[25:40] 我們在做專案的時候我會用到四個東西
[25:48] 就是我的google雲端硬碟
[25:51] 然後第二大腦obsidian
[25:53] 然後我們放網頁的地方dhub
[25:54] 放我們網頁互動的資料firebase
[25:59] 來我們是這樣子哦
[26:00] 一個工作桌加三個櫃子
[26:03] 工作桌的話就是我們的google drivegoogle drive看這裡
[26:09] 然後再來claude code桌面板
[26:10] 就是我們現在在執行這件事的全能執行者
[26:12] 啊就是我們使用claude code桌面板做這件事情
[26:17] 好那老師的話當然就是我
[26:18] 我就下指令的人
[26:20] 所以我實際上我會在做新專案的時候
[26:22] 我會在google雲端硬碟新增一個資料夾
[26:26] 然後新增完這個資料夾之後
[26:28] 我會開了這個資料夾之後跟他說
[26:30] 哎我這是一個新專案幫我將專案初始化
[26:34] 他就會把這個claude的點md建立起來
[26:38] 接下來我們要做的事情
[26:40] 我們就是在工作桌工作
[26:41] 工作桌就是google drivegoogle drive做完的東西會分別派到github
[26:48] 然後firebase跟obsidian
[26:51] 好這三個東西分別是網頁的話
[26:54] 我就是存到github上面去
[26:58] 我們寫好了網頁
[26:58] 然後網頁互動的資料我們全部是用firebase
[27:03] 啊就是網頁在網頁上產生資料
[27:05] 全部是用firebase不會到我本機這邊來
[27:08] 全部存到firebase
[27:09] 然後再來我在做這個專案
[27:11] 所有的想法全部存到obsidian裡面去
[27:15] 好我們就是在做這些事情
[27:19] 所以來這個角色定位
[27:21] 你們現在看到這個筆記本是我寫的
[27:24] 我今天為了來講解寫的
[27:26] 所以我們使用claude code桌面板來去操作這些事情
[27:31] 然後我的google就是我的個人賬號
[27:34] 個人賬號然後我在實際工作的地方
[27:37] 就是我在google drive工作
[27:40] 所有的網頁會全部發佈到github上面去
[27:44] 然後再來所有在網頁上面的資料
[27:46] 互動資料全部都是到firebase上面去
[27:50] 然後我所有在做這個專案的想法
[27:52] 工作筆記採坑決策記錄
[27:54] 我全部放到obsidian裡面去
[27:57] 好所以我就是那個把它串起來的人
[28:02] 所以google drive就是我的書桌
[28:05] 然後有三個櫃子
[28:06] 那我做完的東西就放在這三個櫃子裡面去
[28:10] 所以我我原則上我設定是大家這是
[28:12] 一台筆電然後你一個一個老師就你
[28:15] 自己一個人然後一個學習的班級工
[28:19] 具為為撰寫指南那我自己個人是兩
[28:22] 台電腦我我現在直播的電腦是桌機
[28:25] 那我在學校工作我有另外一台筆記
[28:28] 型電腦所以我會兩台電腦之間我會
[28:30] 用 claude code然後我
[28:32] 會做了這些事情之後我在兩台電腦
