[00:02] 哈囉大家晚安
[27:09] 一般我沒有max的話
[27:10] 我大概現在就已經超過用了
[27:12] 沒有用max沒辦法幫大家試
[27:15] 我現在用max5倍
[27:16] 那我跟你講max5倍我用不完
[27:19] 我老實講以我的用量
[27:21] max5倍我用不完
[27:22] 所以一般來說我覺得啦
[27:24] 大部分的人你們應該pro就夠用
[27:26] 那如果你的工作量比我還大的話
[27:29] 才需要買到max版本
[27:31] 那像我的話我在幫大家製作教學影片
[27:34] 所以我會需要大量的操作
[27:37] 還有嘗試錯誤
[27:39] 所以我只能夠先用max版本撐一下
[27:42] 好所以我現在是max5倍版本
[27:46] 但是我用不完
[27:47] 我老實講我用不完
[27:48] 我用不完5倍的量
[27:49] 真的一般來說就是大概兩倍吧
[27:53] 五倍一百美
[27:56] 大概三千多塊將近四千
[28:01] 五倍二十倍的話就兩百美
[28:05] 就是在double價錢
[28:07] 他是錢多一倍但是用量多四倍
[28:11] 吧都四倍以我的用法
[28:17] 就是我第一個月我幫大家試嘛
[28:19] 我用max我發現我用不完max的量
[28:22] 但是我猜pro應該不夠我用
[28:24] 所以如果另外一個折衷方案
[28:26] 就是你們可以買兩個pro
[28:27] 買兩份pro比較便宜
[28:30] 好來接下來他在做這個視覺腳本
[28:37] 跟視覺色彩系統適合
[28:44] 適合什麼科都可以做
[28:46] 他不是只有數學科
[28:48] 因為我有針對數學科去做
[28:50] 但他任何科別都可以做
[28:52] 認知科學簡報skill
[28:53] 任何科別都能做
[28:55] 他做出來簡報品質非常高
[28:57] 非常高然後我也教大家說
[29:02] 你把這個簡報做出來之後
[29:03] 啊你把丟去那個筆記本
[29:09] 你把丟去那個notebook LM
[29:12] 來像剛剛的話
[29:15] 我剛剛不是做出來那份簡報嗎
[29:18] 我把丟去notebook LM
[29:21] 對兩個pro帳號比較便宜
[29:25] 像這個就是剛剛的
[29:28] 來大家看一下powerpoint的
[29:30] 我的做法是這樣子
[29:32] 就是我剛剛powerpoint的做好了
[29:34] 對不對我剛剛powerpoint做好
[29:37] 我上傳ppt給notebook LM
[29:40] 然後由powerpoint的
[29:41] 剛剛你們看到那份簡報
[29:42] 去生成notebook LM的簡報
[29:45] 簡報內容是一樣的
[29:46] 但是他會就是以notebook LM的方式去呈現
[29:50] 所以大家看一下來大家可以比較
[29:52] 比較一下所以他也會符合
[29:55] 認知科學的簡報去生成
[29:57] 所以我的做法是我先用claude生成powerpoint
[30:01] 那如果你真的有圖形上的需求
[30:04] 你再從powerpoint那邊再去轉
[30:08] 再去轉這個notebook LM簡報也可以
[30:11] 那你看一下notebook LM簡報品質非常好
[30:14] 哦那缺點是不能改
[30:15] 哦就是不是不能改了
[30:17] 改比較麻煩的哦大家看一下
[30:19] 哦那notebook LM簡報當然沒有話講了
[30:22] 就就非常的讚哈哈哈
[30:25] 非常讚大家看一下這notebook LM簡報
[30:27] 哦也很讚哦也很讚
[30:28] 工程計算skill他內建沒有
[30:32] 你可以自己寫可以自己寫
[30:34] 好這個是我從剛剛你們看到那份powerpoint
[30:37] 然后去轉notebook LM簡報也非常好
[30:40] 我也建議大家如果你做完powerpoint
[30:44] 再轉notebook LM兩個都有
[30:46] 哦就很很彈性使用
[30:48] 好那個風格就是黑板粉筆風格
[30:54] 就這樣就很簡單
[30:56] 你就打黑板粉筆風格就好了
[30:58] 他就會幫你做
[31:00] 我現在簡報盡量不要做太花了
[31:03] 我大部分都是黑板粉筆風格
[31:06] 那風格就會蠻一致的
[31:08] 所以來給老師看一下黑板粉筆風格
[31:12] 就很簡單你就打黑板粉筆就好了
[31:14] 我們教室裡面就是用這種風格
[31:16] 像這樣像這個是直角座標平面的
[31:24] 你看這是黑板粉筆
[31:28] 你看這是我七年級的課了
