[00:00] 今天來講簡報。
[09:22] 去同時做很多任務的時候,
[09:26] 你是不是會花很多注意力去看agent
[09:29] 到底做哪些事情?
[09:30] 他做的事情對不對?
[09:32] 接下來你要往哪邊做?
[09:34] 你要做決策。
[09:35] 所以我們人類在跟AI協作的時候,
[09:38] 我們會花很多的判斷力去閱讀
[09:42] AI給我回報的內容。
[09:45] 而我們人類在閱讀AI回報內容的時候,
[09:48] 是很辛苦的。
[09:50] 因為這些內容它非常不好看,
[09:53] 因為有可能我讀到的是Markdown
[09:55] 的格式的檔案。
[09:56] 有可能我讀到的就像你剛剛看到的
[09:58] 那一串文字。
[09:59] 所以當我讀這些文字的時候,
[10:01] 我需要去思考,我需要去把這些內容轉化成我可以理解的
[10:05] 方式。接下來我才去做決策。
[10:08] 甚至很多時候我根本不了
[10:10] 解他為什麼要這樣做,因為我看不懂他跟我回報的
[10:13] 內容。所以我就沒辦法很好做決策。
[10:16] 我只能夠回答他說,照你的建議。
[10:19] 我幫你去做。
[10:21] 好,我所有東西,如果你有跟AI Agents
[10:25] 協作過,你會有共鳴。
[10:27] 好,我說的這段話你有共鳴的,
[10:29] 請在聊天室打個1。
[10:31] 事實上我們現在會累是因為我們請
[10:33] AI Agents做了很多的事情,
[10:36] 尤其是同步處理。
[10:37] 比如說我有兩三個 Agents在做事情。
[10:39] 所以我得要同時盯兩三個視窗,
[10:43] 去做兩三個決策。
[10:44] 而我在做這兩三個決策之前,
[10:46] 我得要先了解AI到底做了什麼。
[10:49] 這才是一個正確的使用AI agent的方式。
[10:53] 所以我們在做這件事的時候,
[10:55] 會耗掉我們人腦的注意力、
[10:57] 腦力、專注力。
[10:58] 可是我們人腦的注意力、
[11:00] 專注力是有限的。
[11:02] 所以你要花時間去理解AI做了什麼,
[11:04] 我們在讀Markdown是很吃力的。
[11:06] 所以HTML就扮演了這件事情。
[11:09] 對,全文字的易讀性是差的。
[11:11] 所以在我們人類的狀態下,
[11:14] AI給我們讀的東西,如果今天需要你
[11:18] 快速的去了解這些內容。
[11:21] 你應該要去做什麼事情。
[11:24] 你應該要請AI去做這件事情。
[11:28] 剛剛的那一段話。
[11:29] 好,比如說今天AI做了決策。
[11:32] 他現在給你。
[11:33] 好,我們在討論一個話題說為什麼HTML
[11:36] 會取代Markdown。
[11:37] 好,所以他就告訴你事件起源是這樣。
[11:40] 是Anthopic的工程師去發文,
[11:42] 引起社群的討論嘛。
[11:44] 對不對,那社群討論有哪些呢?
[11:46] 有4400萬的瀏覽數,
[11:49] 然後8200的按讚,
[11:51] 15700書籤收藏,代表這件事是大家關注說為什麼會這樣?
[11:56] 引起大家關注嘛。
[11:58] 所以為什麼大家過去用Markdown?
[12:00] 因為我們AI在讀的時候Markdown
[12:03] 語法非常的簡潔,所以AI在讀的時候用
[12:07] Markdown是比較划算的,
[12:09] 因為可以節省上下文。
[12:10] 但是HTML是並沒有節省上下文。
[12:13] 他會消耗比較多的Token。
[12:14] 所以大家會疑惑是因為不是這樣嗎?
[12:17] 那實際上我們在
[12:19] GPT
[12:21] 早期的時候我們使用的Token
[12:23] 數量其實並沒有很多。
[12:26] 可是現在我們在用AI Agent
[12:28] 的時候我們消耗Token數量是動輒上百萬。
[12:30] 所以我們當然是希望能省就省。
[12:33] 好,所以進入百萬的年代HTML
[12:36] 開銷就只有佔一點點而已。
[12:38] 好,所以HTML有四大優勢。
[12:41] 分別是第一個,資訊密度。
[12:43] 再來視覺豐富度。
[12:45] 接下來互動能力。
[12:46] 等一下我會示範。
[12:48] 再來分享便利性。
[12:50] 你看喔,我今天把這個網址,
[12:51] 各位,我把這個網址,我只要把它複製起來。
[12:54] 它現在在我的GitHub裡面。
[12:56] 我只要貼到聊天室的訊息裡面。
[13:00] 每一個人都可以拿到這份Markdown的文件。
[13:03] 這份Markdown文件當然給你AI讀,
[13:06] 它是讀得到的。
[13:06] 你可以把這網址貼給你的AI-agent。
[13:09] 它讀得到這些內容。
[13:10] 因為裡面那些東西,它都讀得到。
[13:13] 所以我們在分享的時候是很便利的,
[13:16] 我可以快速的把這個網址分享給你。
[13:18] 這是HTML的優勢。
[13:21] 所以我快速的把它做成一個簡報。
[13:24] 所以你現在看到的就是HTML跟Markdown
[13:26] 的對比。
[13:28] 你有發現我整個在人類的
[13:31] 可讀性上面是不是變得非常的好?
[13:35] 它可以變成是一個多維度的互動文件。
[13:38] 現在我只是一頁一頁讀它而已。
[13:41] 那等一下我是可以加東西的。
[13:43] 好,所以我們可以插入這些表格、
[13:46] 向量圖表、程式、互動元件、
[13:49] 整個空間的佈局、文件範圍的
[13:52] 樣式表都可以去做。
[13:54] 好,所以社群反應的話當然有人有支持啦。
[13:57] 當然也有人是持反對或是保留意見是因為這些人還是以
[14:02] markdown為主流。
[14:03] 所以非技術使用者學習門檻是比較高的。
[14:06] 好,所以RAG場景的例外啦。
[14:09] 所以在這個檢索真誠當時,
[14:15] HTML是在展示的時候,是明顯勝出的。
[14:19] 互動、視覺、可讀性。
[14:21] 這件事情是為了人類做的。
[14:22] 所以我們人類在可讀性這件事情,
[14:26] 用HTML會變得非常效率。
[14:28] 所以當我們做可讀性有效率的時候,
[14:31] 我就可以快速理解AI剛剛到底做了什麼。
[14:34] 所以我就可以做出更正確的決策。
[14:38] 所以HTML實際上是給人類看的。
[14:41] 這樣大家了解嗎?
[14:42] 所以來我現在示範了一遍。
[14:45] 所以你覺得像現在我用HTML
[14:47] 去解釋剛剛那段話,你覺得清楚很多在聊天室打個
[14:51] 2。好,這個是給人類看的。
[14:54] 所以你會發現你剛剛在看我HTML
[14:57] 格式的輸出的時候,
[15:00] 你花費的腦力是比較少的。
[15:02] 你比較容易理解說,哦,
[15:05] 對,原來是這個樣子。
[15:07] 那當我們人類花的腦力少,
[15:10] 我們人類就可能會有很多人。
[15:10] 我們就可以做更多的決策。
[15:12] 我們人類就可以做更正確的決策。
[15:15] 讓AIAGENT去做更好的發揮。
[15:18] 所以之前有一個討論是這個樣子。
[15:21] 所以大家看一下是不是很讚?
[15:25] HTML的簡報我覺得是很讚的。
[15:28] 所以你看他可以做這個圖表。
[15:30] 多好啊。
[15:32] 視覺豐富度。
[15:33] 你看可以做這個圖表。
[15:36] 很讚。
[15:37] 好,所以快速分享。
[15:40] 我覺得就是這樣,非常棒。
[15:42] 好,再來HTML
[15:45] 簡報為什麼會說好是,它除了可讀性高以外,
[15:50] 它用在教學上面是非常好的,
[15:52] 因為它的可讀性就高。
[15:54] 那除了可讀性高以外,剛剛大家有看到嗎?
[15:57] 大家有看到嗎?
[15:58] 它說互動嘛,圖形化嘛。
[16:02] 所以呢,我們可不可以進階,
[16:06] 我能不能在HTML簡報裡面,
[16:09] 加圖片。
[16:11] 能不能呢?
[16:12] 好,是可以的。
[16:14] 所以這個時候我們在AI-Agent時代下,
[16:17] 我們就可以去幫你HTML簡報加料。
[16:20] 怎麼樣加料呢?
[16:22] 好,我現在告訴他說,我想要在這份HTML
[16:25] 簡報上面加上圖片,
[16:28] 來去增強視覺化的輸出。
[16:31] 你利用我們的Draw技能去生成,
[16:35] 在我們簡報裡面有些頁面,
[16:38] 適合用圖來去加強視覺化效果的。
[16:41] 請用draw技能生成圖片,
[16:44] 將圖片加到HTML簡報裡面去。
[16:48] 所以你的HTML簡報能不能加圖片呢?
[16:52] 大家剛剛看到的那份簡報是不是沒有加圖片?
[16:55] 就是純HTML。
[16:57] 好,純HTML的話,它有幾個缺點啦,
[17:00] 缺點就是大家看到這個簡報就是,
[17:01] 你知道它的圖就是Emoji,
[17:04] 大家記得嗎?
[17:05] Emoji所以你看喔,
[17:07] 我要的圖片是不是只有emoji?
[17:09] 大家看一下,圖片,來,這個就是emoji圖片,
[17:12] 大家看到嗎?emoji圖片比較low啦,
[17:16] 我沒有說不好啦,這個就是emoji圖片,
[17:18] 比較low啦,比較low。
[17:21] 那我能不能加一些圖片上去讓它比較有質感一點呢?
[17:25] 因為我們想要提升HTML簡報的質感,
[17:29] 所以我們能不能加圖片上去呢?
[17:32] 在AI Agent時代下是可以的。
[17:35] 所以我這邊就利用我的Claude。
[17:38] 我今天是用Claude做示範的。
[17:39] 我利用Claude去接OpenAI的API Key。
[17:44] 然後使用OpenAI的Image 2
[17:47] 來去生成圖片。
[17:49] 那生成圖片有好幾種方式。
[17:50] 第一個是直接生成圖片加進去。
[17:52] 另外一種是生成底圖。
[17:55] 第三種是生成圖片然後裁切。
[17:57] 你叫AI來做都是可以的。
[18:00] 所以等一下我看看能不能都叫他示範。
[18:02] 好。所以大家對於Emo
[18:05] 已經有審美疲勞的情。
[18:07] 在聊天室打個3。
[18:08] 審美疲勞意思是說,AI每次做這種簡報的
[18:12] 圖片都用emoji。
[18:13] 那我已經看你emoji圖案了。
[18:15] 覺得emoji圖案真的是有點low。
[18:18] emoji圖案就代表是AI簡報有一種廉價感。
[18:22] 所以呢你覺得emoji圖案不太OK的。
[18:25] 好不好?
[18:27] 好,我們現在不要emoji圖案。
[18:29] 我們直接來做。
[18:32] 好,來,我看一下。
[18:34] 四張同時生成,不然有檔,
[18:36] 檔生成圖片,它不會讓你一次快速生成,
[18:40] 所以它會檔。
[18:41] 那我們在生成簡報的時候,
[18:43] 我給大家一些IDEAS。
[18:44] 它生成簡報是可以生成單張圖片,
[18:47] 把它縮小,去替換掉Emoji。
[18:49] 所以你剛剛看到Emoji圖片四張,
[18:51] 如果你要用生成圖片去替換掉的話,
[18:54] 它就會生成四張圖片去替換。
[18:56] 這樣很傷本,這樣很傷成本。
[18:59] 那再來另外一個就是我們讓圖片當作
[19:04] HTML簡報的背景。
[19:06] HTML簡報背景的話做起來就是會有質感很多,
[19:12] 因為你的HTML後面就會是疊背景。
[19:14] 所以一頁簡報就一張背景。
[19:17] 這樣也OK。
[19:18] 不要只能發生是你生成一張圖片,
[19:21] 圖片上面有好幾個icon,
[19:24] 就是那個圖標,icon圖標。
[19:26] 然後一張圖片可能會有四個圖標五個圖標。
[19:30] 那你請他截圖。
[19:32] 你的AI Agent是可以截圖的。
[19:34] 所以你生成一張圖片,那他截四個圖案。
[19:38] 然後再額外塞進去HTML簡報是可以的。
[19:42] 這樣比較省成本。
[19:43] 但是你要特別跟你的Agent說,
[19:46] 我生成圖片。
[19:49] 然後我是要截圖。
[19:50] 截圖然後再嵌進去。
[19:53] 你要特別跟他講,他才會這麼做。
[19:55] 那這樣是比較省成本。
[19:57] 但是對於AI Agent來講,
[19:59] 他要做比較多的。
[19:59] 所以請大家自行斟酌。
[20:02] 好,他現在幫我嵌了四張圖在裡面。
[20:07] 四張圖。所以我們等一下來看一下效果。
[20:09] 今天我們把HTML簡報加圖進去的話,
[20:14] 那看起來會怎樣呢?
[20:16] 我們看起來應該是會比較有質感的,
[20:18] 我們稍微等他一下。
[20:19] 因為我們不需要有emoji的圖案嘛。
[20:22] 那我剛忘記叫他把emoji的圖案移掉了。
[20:25] 他可能沒有移,他可能只有加圖片而已。
[20:28] 好,那我現在叫他做好。
[20:29] 有的簡報頁面是有圖標,
[20:32] emoji圖標的。
[20:33] 我現在要你用我們的draw技能,
[20:37] 生成一張圖片,擁有每一個標題的圖標。
[20:42] 你再用截圖方式,
[20:44] 去將emoji圖案的圖標替換掉。
[20:48] OK,大家看到嗎?
[20:49] 我把那個emoji的圖案,
[20:51] 用圖片把它替換掉。
[20:54] 那我們就提交,先看一下新簡報。
[20:57] 好嘞,各位,新簡報做好啦。
[20:59] 來 各位 加圖片的HTML
[21:03] 簡報怎麼樣?
[21:04] 封面 你覺得封面不錯了?
[21:08] 打一個5你看到嗎?
[21:10] 整個質感是不是瞬間就起來了?
[21:13] 加一個底圖進去是瞬間就起來了?
[21:16] 所以在AI agent時代下 我跟你講
[21:18] HTML簡報我覺得是很不錯的
[21:21] 所以我們來看一下
[21:26] HTML簡報可以耶!
[21:28] 你有看到這個圖片直接加上去整個就不一樣了
[21:32] 喔!有看到嗎?
[21:33] 感覺起來不錯嘛!
[21:34] 這邊沒有加碼,
[21:36] 因為我們需要有這個圖去做。
[21:40] 底圖,大家有看到底圖嗎?
[21:41] 現在這張圖的底圖大家有看到嗎?
[21:45] 它有一個透明的底圖在這裡。
[21:48] 再放四個emoji圖案上去。
[21:50] 但我等一下要把emoji圖案換掉。
[21:53] 所以大家看一下。
[21:54] 好,這個就沒有底圖。
[21:55] 核心主張。
[21:58] 接下來,這樣。
[22:00] ok。
[22:01] 接下來還沒有圖。
[22:02] 社群網頁沒有圖了。
[22:04] 好,這邊也有emoji圖案。
[22:06] 好,最後一張。
[22:08] 放了底圖上去。
[22:09] 是不是質感整個就提升起來了?
[22:12] 有沒有發現?
[22:13] 以前不容易做到的事情,
[22:15] 現在你看我在彈指之間我就做到了。
[22:18] HTML簡報加底圖。
[22:21] 好,接下來呢,我要做的事情是什麼呢?
[22:23] 來,他現在是要去幫我替換,
[22:26] 有沒有看到?他找到了五個emoji
[22:29] 的圖標在這邊。
[22:30] 用所有技能生成一張圖標總表,
[22:33] 五個圖標。
[22:35] 有一些沒有底圖是因為我沒有指定,
[22:37] 你可以指定他每一張都有底圖是沒有問題的,
[22:40] 因為他自己判斷說,我讓你去做的。
[22:43] 你幫他自己判斷說哪些要加,
[22:44] 他就自己判斷說這裡要加,
[22:46] 所以有些就沒加,那你可以強制他說每一張都要地圖。
[22:50] 所以我用draw子技能,他用draw子技能去生成一張圖標總表,
[22:55] 然後裁切成五個獨立圖標,
[22:59] 然後去取代HTML Emoji。
[23:01] 所以你會發現我用一張圖,
[23:02] 比較省錢啊各位,是可以這麼做的喔。
[23:05] 我們平常怎麼做你就叫他怎麼做,
[23:08] 我今天示範的是Claude,
[23:09] 我現在用的是Claude。
[23:10] 你用任何的AI Agents都能夠做。
[23:13] 今天我示範是用Claude的,
[23:14] 因為Claude的蠻可靠的,
[23:16] 雖然它比較貴,但它蠻可靠的。
[23:18] 所以我在做這些示範的時候,
[23:19] 我就會用Claude來示範。
[23:21] Claude還是可靠的。
[23:22] 所以它就接下來就開始去生成。
[23:25] 生成完之後,接下來它就開始去替換。
[23:29] 所以接下來下一個版本,
[23:31] 我們就會有圖標。
[23:32] 所以你看喔,它幫我換了。
[23:34] 看到嗎?
[23:36] 冠軍版本的圖標。
[23:38] 有失誤的地方,大家這是我今天示範,
[23:42] 我可能沒辦法示範到非常詳細。
[23:45] 有失誤的地方,你讓他修正就好了。
[23:48] 所以原則上是沒有問題的。
[23:49] 所以接下來他也做了,去把這些圖標全部換成這些圖標。
[23:55] 好,再來,我們在看的同時,
[23:58] 我現在請他在第二頁的地方加一個文字雲。
[24:02] 請在簡報的第二頁幫我加一個文字雲。
[24:06] 文字雲的題目是問說,
[24:09] 你認為使用HTML
[24:12] 取代Markdown的理由為何?
[24:15] 有一個輸入框讓大家去輸入這個理由。
[24:20] 有一個文字雲顯示大家的理由。
[24:23] 那文字雲的格式就是,
[24:25] 我們常用的文字語格式。
[24:28] 而資料庫的話,串接我的Firebase資料庫。
[24:31] 接下來下一個版本,我要讓他做這件事情。
[24:34] 我要讓他在簡報裡面加互動。
[24:38] OpenCode也可以做到。
[24:40] 所以我在簡報的第二頁,
[24:43] 加一個文字語功能設計是這樣。
[24:47] OK好,接下來提交,
[24:50] 讓它去做。
[24:51] 接下來我們來看一下我們新版的簡報。
[24:53] 新版的簡報在這裡。
[24:54] 這個是加強版的簡報,我們把emoji
[24:57] 圖案把它換掉。
[24:59] 所以emoji圖案換掉是變這樣,
[25:00] 這是剛剛有底圖的嘛。
[25:02] 接下來我們來看一下emoji的那頁。
[25:06] 來囉,準備囉。
[25:08] 來,emoji圖案來囉。
[25:10] 各位,沒換到,為什麼?
[25:12] 難道是那個嗎?
[25:13] 看一下,換到好了,沒有送進這裡。
[25:15] OK好,來,大家看到大家看到嗎?
[25:19] 翻車!
[25:21] 我是現場實作,我不是先做好給大家看喔。
[25:26] 我直播是現場實作,所以翻車都是很正常的,
[25:29] 就是要翻車給大家看。
[25:32] 來,有沒有看到?
[25:33] 那這個圖標呢?
[25:35] 如果你不滿意,你就直接指定說,
[25:39] 我要什麼風格的圖標?
[25:42] 它就會幫你去畫,直接全部畫上去,
[25:44] 但至少不會去,
[25:47] 不會是emoji圖案。
[25:49] 好,沒有去背對不對?
[25:50] 你可以請它去背,好不好?
[25:53] 請它去背。
[25:53] 好,可以去背是沒問題的。
[25:55] 好,所有的事情你都在我們的Agent裡面,
[25:59] 使用自然語言去跟它改就好了。
[26:02] 今天這是我直播的都是想說沒有Rei過的
[26:05] 好接下來後面還有兩個emoji我們看一下
[26:08] 好這兩個是沒有換到沒有那個沒有那個沒有重新整理啊
[26:16] 沒有置中好痛苦對這兩個沒有換到好感謝
[26:21] Henry780
[26:23] 930感謝Henry
[26:26] 這兩個沒有換到沒有換到沒關係我們只要在自然語言裡面去跟
[26:30] 他講就可以了。
[26:31] 所以等一下我們再一起換。
[26:33] 好,
[26:35] 所以這個是把emoji
[26:37] 圖案換掉的方式,
[26:39] 就是你請他生一張圖片。
[26:42] 那張圖片上面有我所有的圖標。
[26:45] 扁平化的圖標。
[26:47] 直接用截圖的方式去把圖標換掉。
[26:52] 那剛剛有人有提到說沒有去背、
[26:54] 沒有置中,沒有關係。
[26:55] 我們下一個版本就來挑。
[26:58] 好,在扁平化圖標的
[27:01] 部分沒有去背,
[27:03] 最後面有兩個圖標沒有改到,
[27:07] 請再次確認還有修正。
[27:09] 再來需要置中的
[27:10] 部分都需要置中兼顧視覺排版。
[27:14] 好,這個是請他去修就好了。
[27:16] 所以在AIagent時代就是這樣。
[27:19] 你把這些你覺得不OK的,
[27:21] 你就修。
[27:22] 扁平化圖標。
[27:25] 好,接下來我們去加什麼東西呢?
[27:29] 所以你會發現說我剛剛在做HTML簡報的時候,
[27:31] 我是不是一點一點的加東西?
[27:35] 是不是一點一點的加東西?
[27:36] 所以一點一點的加東西,
[27:39] 我們可以慢慢的
[27:41] 去打造出近乎全能的
[27:44] 教學簡報那為什麼我會說近乎全能是因為我們在做教學簡報的時候,
[27:49] 實際上你可能在某些場景需要做某些事情而
[27:53] HTML簡報是可以最大程度的
[27:56] 去加進去你要的功能。
[27:58] 可以往你在我們傳統的PowerPoint或是
[28:01] Google slide裡面,你要加這些功能可能需要依靠
[28:04] IRS軟體。
[28:06] 但IRS軟體的話,你的可控性就變得很低,
[28:09] 是因為你會被IRS軟體去綁住。
[28:12] 所以當你要在簡報裡面去加那些沒有功能的時候,
[28:17] 你就會被這些工具綁住。
[28:21] 而在AI Agent時代我們當然是動手搓自己的
[28:26] 簡報、自己的工具嘛。
[28:28] 所以什麼都要動手搓、
[28:29] 什麼都要客製化。
[28:30] 這個就是AI Agent時代下的精神。
[28:32] 所以當你在做教學場景應用的時候,
[28:36] HTML的簡報你就可以去做最大程度的
[28:39] 動手搓自己的互動式簡報。
[28:43] 好,來,所以現在呢我們互動簡報已經做好了。
[28:47] 所以也是一樣,那做好的時候,
[28:49] 我就要去改下一位。
[28:50] 沒有錯,我翻車還會不常翻車嗎?
[28:55] 對不對?我翻到,翻車就翻車,
[28:58] 會不會怎樣?我也常翻車啊?
