[00:00] claude_AI基本功第一集
[06:41] 當我執行這個程式的時候啊
[06:43] 在我的右下角會常駐一個程式
[06:46] 叫typenone他就是一個語音輸入的程式
[06:49] 那我把typeless停掉用這個typenone來試試看
[06:53] 退出typeless設定一下設定好所有的選項
[06:57] 上方有出現一個錄音中然後現在
[07:00] 我所有說話的對話就會傳到
[07:03] 大型語言模型裡面去做擷取文字
[07:07] 接下來會利用
[07:09] 我本地端的olama模型去做文字的修飾
[07:14] 修飾完之後會再輸出到我現在滑鼠指標的地方來
[07:18] 那你看下面會出現辨識中
[07:20] 這樣我就得到一個免錢版的本地端
[07:24] 大型語言的AI語音輸入工具
[07:27] 這個全部跑在我的本地是不用錢的
[07:30] 缺點是速度比較慢的因為我的
[07:32] 3D加速卡不夠力啊
[07:33] 我還做了一個轉字幕軟體
[07:36] 執行完之後會用網頁開啟
[07:38] 我只要將我的音檔把它拖拉上來
[07:41] 選擇開始辨識為什麼會做這個工具
[07:44] 是因為市面上免費的字幕還是會有很多錯字
[07:49] 所以我自己使用付費的API去做了一個字幕軟體
[07:53] 可以確保在我每次剪影片的時候
[07:56] 我的字幕生成的準確率可以非常的高
[07:59] 我就不太需要再花時間去校正字幕
[08:02] 以上兩個程式都是我在這個claude code
[08:05] 跟他去一起生產出來的程式
[08:09] 大原則是我做這些程式是為了要解決我的問題
[08:13] 讓我的工作更有效率他的優點就是
[08:16] 所有的界面都是圖形化的界面
[08:18] 你在寫程式有任何問題你都可以截圖
[08:21] 直接跟他對話他會幫你修正
[08:23] 在這個地方功能已經是相當完整的
[08:26] 而未來的走勢也會走向以圖形化界面
[08:30] 來去寫程式降低技術門檻為主
[08:33] 以上就是claude第三種類型claude code桌面版
[08:36] 接下來第四種比較難在你應用程式裡面
[08:39] 你使用命令提示字元
[08:41] 你只要搜尋cmd或者是powershell都可以
[08:44] 以系統管理員身份執行
[08:46] 要怎麼樣安裝claude code CLI呢
[08:49] 你直接問claude他會教你怎麼安裝
[08:51] 我已經安裝好了所以我只要直接輸入claude
[08:54] 他就會去執行claude code CLI
[08:58] 在這個地方界面就沒有那麼友善
[09:00] 因為大部分人對於像這種命令
[09:04] 指令輸入的界面最害怕
[09:06] 可是他實際用起來
[09:07] 跟我們的桌面版是一模一樣
[09:10] 這些指令你也不用害怕
[09:12] 也不需要學
[09:13] 你有什麼不懂的就問 AI
[09:15] 他都會教你使用
[09:16] CLI 模式去寫程式的好處是
[09:19] 他可以直接控制你的檔案
[09:21] 直接控制你的整臺電腦
[09:24] 直接跟系統對接
[09:25] 所以當你要做到全自動化的時候
[09:28] 你想要用到最多功能的時候
[09:30] 你最終還是會學到 claude code CLI這一步
[09:34] 這裡面確實是真的是
[09:36] 有蠻多東西要學的
[09:37] 以目前發展的趨勢的話
[09:40] 他會漸漸朝向比較低的門檻
[09:42] 還有圖形化界面去降低使用者的門檻
[09:46] 那如果你是一個精通 AI 寫程式
[09:49] 你想要最大化的去善用 AI
[09:52] 能夠做到的自動化來去處理
[09:55] 你所有工作可以研究看看
[09:57] 這邊能做的事跟 claude code 桌面版
[10:00] 幾乎是一模一樣
[10:01] 當然還是有一些差別
[10:03] 桌面版的話圖形界面
[10:04] 我覺得比較好上手
[10:06] 而 CLI 界面的話
[10:07] 當你有些特殊需求
[10:09] 或者你想要做一些自動登錄
[10:11] 自動部署自動腳本的時候
[10:13] 在這個 claude code CLI 界面
[10:16] 是比較容易操作的
[10:18] 桌面版不是做不到
[10:19] 比較麻煩
[10:20] 在這一系列影片裡面
[10:22] 我也會去介紹一下
[10:23] claude code CLI 界面在什麼狀況下使用
[10:26] 新手的話建議大家先不要碰
[10:28] 這真的有點難
[10:30] 對於初學者來學 claude code 的話
[10:33] 你的進化之路應該是這樣
[10:35] 先從 cloud chat 開始
[10:37] 大概大部分人到 claude code 桌面版
[10:40] 就差不多可以處理90%幾的事情
[10:43] 現在 claude code CLI 能做的事
[10:46] 大部分在 claude code 桌面版也都能做
[10:48] 但是圖形化界面在除錯上面
[10:51] 會比較友善
[10:52] 大部分也都能夠自動化
[10:54] 你真正要問自己的是
[10:56] 你要用這些工具要做什麼
[10:58] 先從你的日常生活
[11:00] 你的專業你的工作開始
[11:02] 學習使用 claude
[11:03] 真的可以大大的增加你的工作效率
[11:06] 好以上就是關於 claude code 的四種類型
[11:09] 你使用過哪些類型呢
[11:11] 在底下留言哦
[11:12] 那如果想要關注 claude
[11:14] 在教學上的應用
[11:16] 麻煩訂閱按讚還有分享哦
[11:18] 我們下期再見拜拜
