[00:00] Codex基本功第五集。
[03:46] 所以在這地方我已經加速了。
[03:48] 缺點是我覺得它太慢了,
[03:51] 所以這邊可以加速,加速的話要花兩倍額度,
[03:53] 所以大家不要輕易嘗試
[03:54] 啊好在它進行的同時我來講第二個功能,
[03:59] 第二個功能的話是這個它有一個功能叫做寵
[04:04] 物。
[04:05] 完成了。
[04:07] 可以關了。
[04:07] 好我們看一下是不是可以呢?
[04:09] 點開。
[04:10] OK好沒有問題成功了。
[04:13] 所以現在我們多一個網站就是可以將你的這個網頁部
[04:18] 署到Vercel上面去。
[04:19] 你只要在Codex裡面利用Codex裡面內建的連線功能就可以
[04:24] 連到上面
[04:25] 去。真的超級簡單。
[04:27] 所以從現在開始你也可以把你製作的這些動態網頁把它
[04:31] 部署到Vercel非常簡單。
[04:33] 然後這是它的第一個功能。
[04:35] 簡單的連接外部程式。
[04:36] 我今天只是拿Vercel做測試而已。
[04:39] 這是沒有裝過我第一次。
[04:40] 好再來第二個功能寵物功能。
[04:42] 在設定裡面啊這邊會有一個寵物。
[04:44] 我不曉得大家有沒有用這個功能。
[04:46] 就點它。
[04:46] 點寵物。點完之後這邊你可以選。
[04:48] 然後這邊有很多種寵物可以選。
[04:50] 有這麼多種造型可以選。
[04:51] 好這寵物是幹什麼的呢?
[04:53] 好你選好之後啊你就選。
[04:55] 好!
[04:56] 所以你有發現嗎?
[04:57] 對!有看到?
[04:57] 它實際上就是一個動態的狀態列所以你把它放在這裡
[05:02] 那它是可以放大縮
[05:03] 小的你可以放大縮小好!
[05:04] 它這個是幹嘛的?
[05:05] 就是說今天你等一下去做別的事情的時候啊它就會在
[05:08] 上面通知你說做好所以這是寵物大家可以往往看
[05:11] 當然有很多那你也可以自訂寵物啦!
[05:13] 自訂寵物的部分我沒有我沒有我沒有去玩啦!
[05:16] 請大家自行試試看好不好!
[05:18] 那等一下這個寵物的話它就會在左邊然後所有有通知
[05:22] 的部分它就會幫
[05:23] 我們像這個通知等一完整,
[05:25] 它就是會寫在這邊,這個要等待合作,
[05:27] 太delay了,先把這關一關。
[05:28] 好,所以它就在上面陪我們齁,
[05:32] 所以你看一下它是可以拉到畫面的任何地方,
[05:35] 給它放著。
[05:35] 好,這是它的第二個功能,
[05:37] 就是你記得讓你在,比如說我們一般在使用
[05:40] Agent的時候,我們不是會叫它去做事情嗎?
[05:42] 叫它做完事情之後它不會馬上完成,
[05:44] 那我們就是會去做別的事,
[05:46] 那你開別的視窗的時候,
[05:48] 它就會浮動在你的一個這個頁面上面,
[05:51] 在你的畫面上面,那做好了
[05:53] 它就會做到,然後再做到,然後再做到,
[05:53] 然後再做到,然後再做到,然後再做到,
[05:54] 然後再做到他會在那邊通知你,
[05:54] 你可以直接在那邊去回覆他,
[05:55] 你可以在那邊直接回覆他,
[05:57] 沒有問題。那點完他就會來到這。
[05:58] 所以他是有點像是通知你的一個小的圖案在那邊。
[06:02] 他就是寵物。
[06:03] 好那我們就先這樣。
[06:04] 第二個功能。
[06:05] 第二個我覺得很好用的功能。
[06:06] 很可愛啦。
[06:07] 再來第三個功能。
[06:09] 第三個功能。
[06:09] 語音輸入。
[06:11] 好,來,語音輸入在這個地方。
[06:13] 設定。然後再來個人檔案。
[06:14] 設定。
[06:15] 班。好,在設定裡面。
[06:16] 班。設定裡面一般。
[06:18] 然後往下這邊到聽寫。
[06:20] 這邊有個聽寫。然後聽寫。
[06:21] 然後選這個麥克風。
[06:23] 系統預設是什麼就是。
[06:24] 然後這兩種的話,這兩種是一個是要按住,
[06:27] 一個是要按一次就好。
[06:28] 那我兩個都試給你們看。
[06:29] 像這個設定,檔錯加點。
[06:31] 然後再來這個保持顯示聽寫列啊。
[06:34] 如果你有開的話,它就有一個小的圖案一直在底下。
[06:37] 那這個聽寫字典的話就是,
[06:39] 你可以把那個常用辨識錯的在這邊去做更動。
[06:44] 好我現在全部開出來之後,
[06:46] 來大家有看到嗎?
[06:47] 在這裡。
[06:47] 它是一個語音輸入的功能。
[06:49] 你打開它的話,你在任何地方都可以做語音輸
[06:52] 入。那我有設定兩種嘛。
[06:54] 一種是Ctrl、加點。
[06:56] 所以Ctrl、加點就是這個。
[06:58] 要按住才能夠使用。
[07:00] 那Ctrl、加斜線就是按一下就能使用。
[07:02] 這兩種。所以我們來試試看。
[07:03] 好比如說我這邊的話我開一個新的。
[07:07] 好比如說我現在Ctrl、
[07:08] 加點。Ctrl、加點。
[07:09] 你要按住哦。
[07:10] 你那個Ctrl、加點要一直按住哦。
[07:12] 現在在測試語音輸入的功能。
[07:14] 第一種的話你的按鍵必須要一直按。
[07:17] 它才會聽到你說話。
[07:19] 用你的麥克風。
[07:20] 直到你放開它就會做語音辨識。
[07:22] 接下來我放開囉。
[07:23] 好放開之後你會發現說它就會開始去做辨識然後清洗
[07:27] 文字。所以實際上這是一個Codex內建的功能。
[07:30] 你可以用這種方式去做語音輸入。
[07:34] 那它辨識功能蠻準的。
[07:35] 可以去替代那個Typeless。
[07:37] 是第一種要按住的。
[07:38] 那第二種的話Ctrl加斜線的話就是只要按音質就好。
[07:41] OK?測試一遍。
[07:42] Ctrl加斜線。
[07:43] 好我現在手已經放開了。
[07:44] 我現在手是沒有按在鍵盤上面。
[07:46] 它就會持續保持開啟。
[07:49] 去辨識我說話的聲音。
[07:50] 然後做文字清洗。
[07:52] 直到我現在手已經放開了。我現在手是沒有按在鍵盤
[07:52] 上面。它就會持續保持開啟。去辨識我說話的聲音。
[07:53] 然後做文字清洗。直那我再次按下Ctrl加寫的線。
[07:55] 像這樣。所以我再按下Ctrl加的線它就會停止辨識。
[07:59] 那我個人覺得就是第二種比較好用因為一直按住的話
[08:03] 手就有時候會一直按之後很方便所以你會發現說它的
[08:07] 文字蠻清楚
[08:08] 它已經內建了這個語音輸入
[08:10] 而且也有幫你做文字清
[08:12] 洗所以辨識率非常的
[08:13] 高重點是什麼你們知道嗎
[08:14] 我先把這關掉設定
[08:16] 然後在一般地方聽寫
[08:18] 對這個我就用不到了
[08:19] 啦我通常就把它關掉
[08:20] 了清楚這樣就好了
[08:21] 好保持聽寫列這個就是
[08:23] 你看你要不要這個這個要不要出現
[08:25] 這樣關掉它就不見了。
[08:26] 但還是可以用。
[08:27] 好重點是當你開這個功能之後啊。
[08:29] 比如說在你的電腦的任何地方都可以使用。
[08:34] 不一定是在Codex才能夠用。
[08:36] 你離開Codex在你的電腦任何地方都能夠使用這個功能。
[08:40] 所以你會發現這個是ChatGPT、
[08:42] Codex內建。
[08:43] 所以你有看到嗎?
[08:45] 在任何地方都可以使用這個功能。
[08:46] 非常的方便。
[08:47] 真的非常的方便。
[08:48] 我推薦大家一定要把它開出來。
[08:50] 好,那你有看到我的機器人嗎?
[08:53] 他還在這個地方有看到嗎?
[08:57] 這個一定要把它開出來好不好?
[08:58] 再來這是我覺得好用的第三個功
[09:01] 能再來第四個功能的話是這個
[09:04] 今天開我的專案所以
[09:06] 假設我今天我有一個專案
[09:07] 假設我有一個2026本土語的專
[09:09] 案選擇資料夾
[09:11] 因為我在另外一台電腦已經做過這個專案
[09:14] 了好我們有一個功能是這樣就是
[09:15] 你在你的鍵盤上面按斜線跟小老鼠
[09:19] 好比如說你現在打斜線
[09:20] 打斜線的話它會出現這麼多東西
[09:23] 大家有看到
[09:23] 嗎?那寵物的話就是剛剛那個寵物。
[09:26] 那這邊初始化的話,就是可以在你這個專案資料夾幫你
[09:30] 建立那個AGENTS.md,幫你做初始化。
[09:33] 所以一般來說我們第一次開新專案都要按這個啦。
[09:37] 那再來就是這邊會有一個快速是要不要加速你的
[09:40] Agent功能。
[09:41] 那再來這邊還有一個推理,
[09:43] 推理一般我都是選高啦。
[09:45] 好,所以你打斜線啊,它就會出現這麼多,
[09:48] 這麼多可以使用的功能。
[09:50] 那我這邊的話,比較常用的功能大概這個。
[09:52] 就是顯示,
[09:54] 顯示這個聊天ID上下文用兩個,
[09:56] 你可以這樣子然後選它。
[09:58] 它就會告訴你說你現在你的5小時額度還有多少?
[10:01] 然後上下文多少?
[10:02] 我現在還沒對話,所以沒有出現上下文。
[10:05] 還有7天的額度還有多少?
[10:07] 這邊的話你看完之後你就會把過。
[10:08] 或是你覺得你要一直存在也可以,
[10:11] 就一直把它開著。
[10:11] 好,那接下來我開始去做這個專案嘛。
[10:14] 這個專案的目的是你要上網去搜尋台灣中小學本
[10:20] 土語台語的官方教
[10:22] 材。將所有官方教材架到這個專案裡面來做分類跟整
[10:27] 理。結束之後要針對這些教材去做以下的分析。
[10:31] 這個專案未來是要讓使用者在這個專案資料夾裡面使
[10:36] 用自然語言,就能夠喊出本土語裡面台語的任何教
[10:42] 材,包含寶券、包含簡報、
[10:44] 包含影片、包含數位互動的網站以及程式,
[10:49] 包含測驗。
[10:50] 只要用自然語言就可以產生
[10:52] 這樣的內容是這個專案的最主要的目標。
[10:55] 好那你將這個專案的目標啊,
[10:57] 把它打好之後,將這個專案的目標儲存到這個專案裡面。
[11:01] 好接下來你就按提交。
[11:03] 那你看哦,我們這個專案的目標我打好之後啊,
[11:07] 接下來它會有一個功能,
[11:08] 一樣按斜線。
[11:09] 那斜線的話這邊會有一個目標,
[11:11] 那有看到嗎?
[11:12] 這目標。那我要先說明一下這個目標是做什麼用的?
[11:14] 它就是你設定好你專案的目標,
[11:17] 你這個專案你已經很明確知道開頭要做什麼,
[11:19] 中間要做什麼,最後結果要做什麼。
[11:21] 那你也把這個目
[11:22] 標它存在這個專案的目錄裡面。
[11:24] 你只要在這個專案目錄裡面開啟這個功能。
[11:28] 開啟這個功能之後你告訴它說要達成這個專案的目標。
[11:32] 中間它就再也不會停下來。
[11:34] 會一直做一直做一直做直到專案完成或者是你的額度
[11:39] 燒光。額度燒光它就會停下來。
[11:40] 所以等到5小時之後額度又可以繼續了它就繼續燒。
[11:44] 所以當你要做的專案是需要做一些重複的事情。
[11:47] 比如說像我剛剛提到的就是它要去下載教材。
[11:50] 它要去做很多的事情。
[11:52] 所以我的專案是需要做一些
[11:52] 重複的事情。專案是有一個長遠的目標,
[11:54] 但是我不想要每次都停下來一直按暫停、
[11:57] 一直按確認、一直按繼續所以我就會按照我這個專案
[12:01] 的目標設定好之後,去開啟這個功能。
[12:04] 所以我就會這樣。
[12:05] 你就選目標。
[12:06] 以完成這個專案的目標才停下來。
[12:10] 好,所以原始上你就告訴他好了。
[12:11] 那他這邊就會出現一個訊息說,
[12:15] 這個設為目標。
[12:16] 那他就會在這邊會有一個符號寫進行中的目標。
[12:19] 那實際上你這個專案已經設定好,
[12:21] 在什麼時候他就會一直跑,
[12:23] 那我這邊的話,不要這麼燒啦。
[12:25] 因為這個燒太快
[12:26] 了。如果你要設定目標的話建議不要開這個快速因為
[12:29] 會兩倍額度在燒。
[12:30] 我們就開標準。
[12:31] 好,來這邊的話,權限的話我開就是完整的存取讓它去
[12:35] 看起來。好,那原則上它就會開四動去完成這個事情。
[12:39] 所以你中間就可以不用再去管。
[12:42] 所以你在做這個功能之前,
[12:43] 你就是一定要先擬好。
[12:44] 你這個專案到底要做什麼。
[12:46] 所以可能就是你要先想清楚專案目標在哪邊。
[12:48] 那再來最重要的是,你可能需要100美金以上的訂閱方
[12:52] 案,還不會一下子被燒光。
[12:54] 這個是,這個是它裡面
[12:56] 的,我覺得很好用的功能。
[12:58] 好,接下來我就不管它了,
[13:00] 就讓它去比。以上是第四個我覺得很好用的功能。
[13:03] 再來第五個功能是它的Computer Use。
[13:06] 好,所以我們在設定的地方,
[13:08] 左邊有一個整合。
[13:09] 這邊有一個瀏覽器跟Computer Use。
[13:12] 好,所以有瀏覽器的話看一下,
[13:14] 因為它這個有時好時壞。
[13:16] 所以應用程式內瀏覽器,
[13:19] 暫時我要使用。
[13:20] 好,Computer Use。
[13:21] 好,前一陣子是好的,最近又壞了。
[13:24] 好,壞掉壞掉了,沒關係。
[13:26] 它這個Computer Use啊,為什麼說很強?
[13:28] 是因為它的瀏覽器功能是很強的,
[13:30] 是因為你可以完全讓它去接管你的電腦跟瀏覽器。
[13:34] 當它接管你的電腦跟瀏覽器的時候,
[13:36] 它可以做很多的事情。
[13:37] 比如說我們人類需要去點瀏覽器的事,
[13:40] 它都能做。
[13:41] 比如說它去幫你找什麼東西最便宜,
[13:44] 有點像是爬蟲這樣。
[13:45] 或是幫你去摸透一個網站,
[13:47] 幫你把一個網站把它摸透。
[13:49] 或是說去一個很複雜的網站幫你去下載出某一個東西
[13:52] 來,就是有點像是爬蟲這樣。
[13:54] 那我自己做的應用是,我有網
[13:56] 站在裡面,我叫他去摸透某一些網站是,
[13:58] 那些網站它是有功能性的網站。
[14:01] 比如說它可能是一個解謎遊戲的網站。
[14:04] 你需要透過這個解謎遊戲網站裡面去設定各式各樣的
[14:09] 功能來去建構出你的解謎遊戲來。
[14:13] 像這種你網站裡面是有很多功能的。
[14:15] 我就會使用Codex的Computer Use去把這個網站裡面的
[14:19] 每一個功能把它摸手。
[14:21] 注意哦,是指那些它的網站是有特定功能的。
[14:25] 然後它,你
[14:26] 給它們的特定功能。你點進去它有好幾層,
[14:27] 然後有每一層會有不同的設定或不同的功能藉由這些
[14:30] 特定的功能去建構出一個作品這樣的網站使用
[14:34] Computer Use會非常的方便是因為你可以請
[14:37] Codex去摸那個有特殊功能的網站然後將它記錄下來所以
[14:43] 之後呢你本人就可以不用去操作那個網站叫
[14:47] Codex去幫你操作就好所以你在操作上就會變得非常簡單
[14:51] 你可以用站員就可以去完成複雜那我有拿它來做
[14:56] 一些那這個應用的話之後我等我做完的時候我再分享
[15:01] 給大家我覺得蠻厲害的啦就是今天我也只能夠講到這樣
[15:05] 好所以以上就是今天的我個人覺得在
[15:09] Codex裡面很好用的五個功能
[15:12] 然後分享給大家
[15:13] 目前的話我Codex算是我的主力的
[15:17] Agent之一
[15:17] 啦因為它可以畫
[15:18] 圖隨便是我在做一些需要圖形的專案的時候
[15:22] 它就會變得非常方便
[15:24] 再來他很簡單很成熟也很聰明唯一的缺點唯二的缺點
[15:28] 我覺得他兩個缺點是我比較覺得跑的第一個就是他的
[15:31] 上下文太傻第二個就是他動作有點慢
[15:34] 因為他在做事情很嚴謹就是他做完之後他還在檢查一下
[15:37] 是真的有做的我覺得是好的啦但是就是動作有點
[15:40] 慢所以除了這兩個以外我覺得沒有什麼好挑剔如果你
[15:45] 今天要付費付一份20美金的價格我個人認為首選就是
[15:50] Codex好!
[15:51] 今天我們的影片就到這邊哦!
[15:53] 如果你想要知道更多關於AIH你在教學上應用的話要訂閱
[15:58] 按讚還有分享哦!
[15:59] 那我們下次見 拜拜!
