[00:00] 我在外面的話,
[02:22] 他會有一個Dispatch打開之後
[02:25] 他會出現聊天視窗
[02:26] 接下來你就可以在這個地方
[02:28] 跟他聊天聊天的內容
[02:30] 會跟你桌面版的程式會同步
[02:33] 幫我上網去找這個禮拜
[02:36] 關於claude的AI的新聞
[02:39] 並且總結給我
[02:41] 所以我在手機上面完成之後
[02:43] 按提交桌面版是不是同步更新這個訊息
[02:47] 那接下來因為我在Cowork的地方
[02:49] 他接收到這個指令之後
[02:51] 他就會去幫我做這件事情
[02:52] 在我的手機上面的訊息
[02:54] 跟在我的桌面版的訊息裡面
[02:57] 通通都是同步的這時候
[02:59] 他就開始做事情我人可以
[03:01] 不用在電腦前面找到了
[03:02] 你看他已經完成了
[03:04] 完成之後會在這個地方顯示
[03:06] 那我的手機上面也會顯示
[03:08] 同步的訊息接下來試試看
[03:10] 能不能去操控我的瀏覽器
[03:12] 幫我打開我的YouTube頻道Sensebar
[03:15] 幫我去找我所有影片最新的10個留言
[03:19] 幫我看看有沒有需要回覆留言的部分
[03:22] 接收到命令之後他開始工作
[03:24] 所以你看我現在我的桌面版
[03:26] 就被打開來了好我們為這個工作的
[03:29] 網頁瀏覽器設一個名字
[03:32] 然後讓他連接手機會出現一個訊息
[03:35] 會問你說要不要允許我的瀏覽器
[03:37] 去開我的YouTube帳號後台
[03:40] 好這個時候我選同意他所有的操作
[03:43] 所以你看到上面就會有一個功能
[03:46] 全部被打開來所以他網頁上
[03:48] 所有的操作我都是允許
[03:49] 接下來他就自動去幫我查看
[03:52] 我的YouTube後台接下來這個
[03:54] 都是他自動動作的我沒有動他喔
[03:56] 他自己在幫我查看我的瀏覽器喔
[03:59] 所以你會發現他已經接管這個瀏覽器
[04:01] 他自動在查詢你看他現在在看
[04:05] 這個排序依據是最相關的
[04:08] 自動在幫我看所有的留言
[04:10] 上面都會有相關的訊息
[04:12] 他說claude正在使用這個分頁
[04:15] 好這些全部他自己手動操作
[04:17] 我都沒有碰電腦都全部他自己操作
[04:20] 你看一下他正在看所有的留言
[04:23] 你要使用這個功能的話
[04:24] 你必須要在你的瀏覽器先把你的帳號
[04:26] 都登錄好他沒辦法自動幫你登錄
[04:28] 所以像我的YouTube我會先登錄
[04:31] 我的Google帳號先登錄
[04:33] 所有你需要他去操作的網站
[04:35] 你要先登錄所以他打開分頁
[04:37] 直接就可以去到你帳號的地方去工作
[04:40] 所以你只要能夠用瀏覽器完成事情
[04:43] 他都可以幫你做好完成了
[04:45] 大家看一下這是我的手機畫面
[04:48] 所以他幫我開了瀏覽器
[04:49] 幫我查完了最新的10則留言
[04:52] 需要回覆的分析所以他把分析為
[04:55] 高優先的有需要提問的有提問
[04:58] 需要回覆的還有一個中優先的
[05:01] 需要提供資源的有兩則
[05:03] 低優先的感謝讚美的有三則
[05:05] 幫我列出了已經處理的
[05:07] 他問我說可以直接幫我輸入回覆嗎
[05:11] 是可以的喔但我個人建議
[05:13] 還是你自己輸入會比較好
[05:15] 了接下來問你說是不是之後
[05:17] 這個claude在使用這個網站的時候
[05:20] 會允許你的瀏覽器去做存取
[05:23] 所以手機的部分跟電腦部分
[05:25] 會同時同步接下來我們到戶外
[05:28] 去試試看是不是真的可以
[05:30] 遠端的去操控我們的電腦
[05:32] 我現在人在外面然後我來試試看
[05:36] 我在外面的話可不可以去叫我
[05:38] 電腦版的claude的Cowork來去工作
[05:41] 我已經寫好一個技能是專門出考卷的技能
[05:45] 那我現在在外面臨時要出一張考卷
[05:47] 然後給學生去做練習那怎麼辦呢
[05:50] 我們在外面的話會建議你手機
[05:53] 一定要裝語音輸入軟體
[05:54] 我個人推薦typeless所以可以讓你
[05:57] 不用打字就可以順暢的跟AI通話
[05:59] 接下來我打開我的typeless
[06:02] 直接告訴AI幫我出一張
[06:05] 七年級下學期第一次斷考範圍的考卷
[06:09] 是第一章的內容數學我要有
[06:13] 16題選擇題4題非選題
[06:16] 按照我平常的格式去配分
[06:19] 完成之後按輸入這個技能
[06:22] 我已經寫好了所以我只要交代好工作
[06:24] 之後我就去做其他事情
[06:29] 躺好在我的硬碟裡面去看一下
[06:32] 接下來回到電腦我們來看一下
[06:35] 我現在操作是電腦版在我電腦版的對話裡面
[06:39] 考卷已經出好了一樣在我的對話視窗裡面
[06:43] 也收到一個通知說考卷出好了
[06:46] 接下來我指定下載這些檔案
[06:49] 到我的下載資料夾裡面去
[06:51] 所以你會看到他已經存好了
[06:53] 這三份考卷在這裡那我打開我的電腦
[06:56] 大家有看到嗎我的三份檔案
[06:58] 就存在這個地方接下來我們打開題目卷
[07:01] 各位老師題目已經出好了啊
[07:05] 整份全部按照我提供的這個技能的設定
[07:09] 去出的考卷看一下答案卷
[07:11] 答案卷包含所有的答案以及
[07:13] 所有題目的解析全部都在這裡面
[07:17] 還有我有要求他去輸出雙向細目表
[07:20] 所以我會得到這份考卷的雙向細目表
[07:23] 那你會看到在我手機的對話記錄裡面
[07:26] 全部都是同步完成也就是說
[07:28] 我可以在外面使用手機去操控
[07:31] 我電腦上面的claude AI
[07:33] 這等同是龍蝦的功能
[07:36] 所以現在各家都在做自己的龍蝦
[07:38] 大家不要太著急去架設自己的龍蝦
[07:41] 因為之後一定會有非常成熟
[07:43] 非常穩定非常便宜又能夠
[07:46] 足夠保護你隱私的一個龍蝦方案
[07:49] 如果你對這樣的功能有興趣
[07:51] 或者有需求的話不妨去訂閱claude
[07:53] 你只要20美金的訂閱就可以使用這個功能喔
[07:57] 以上是今天影片的全部內容
[07:59] AI時代真的是我們需要動手部分
[08:02] 越來越少了那如果你想要知道
[08:03] 更多AI工具的應用的話
[08:06] 訂閱按讚還有分享喔我們下期再見
[08:09] 掰掰
