[00:00] AI Agent基本功 第三集
[00:03] 今天要來聊一下就是你的AI Agent本身的基本能力有
[00:08] 哪一些這個是大家開始最不能夠理解的部分
[03:12] 是在我們的Agent裡面你的電腦讓AI就有了手腳,
[03:17] 所以他可以直接去讀你的檔案寫程式去上網查資料下
[03:21] 載。然後將
[03:22] 所有的成品就是這麼簡單。
[03:24] 所以我們一個工作流、
[03:26] 四個能力時間這一集會提到的。
[03:28] 除了讀寫檔案以外,處理你的知情程式跟安裝工具。
[03:32] 然後上網去搜尋資料、
[03:35] 下載檔案。
[03:35] 接下來產出各式各樣所有你需要的都是。
[03:39] 好,所以讀寫本地檔案有點像是我們在使用
[03:42] NotebookLM這樣。
[03:43] 你給它檔案,它就讀得到。
[03:45] 所以看得到、讀得懂,然後還有改得懂。
[03:48] 所以只要你給它檔案的路徑,
[03:51] 它就能夠讀到。
[03:52] 那這邊的話有幾個地方你可能需要注意就是你使用的
[03:56] 大型語言模型有沒有多模態的能力是很重要
[04:01] 的所以你一般來說像純文字檔、
[04:04] 像Word檔、Excel檔、TTSD檔大部分的PDF
[04:08] 裡面的文字
[04:08] 所有的AI都是能讀的但是PDF裡面的圖片跟圖片檔的話
[04:12] 就必須要是有多模態的語言模型才能夠讀得
[04:16] 到好再來大部分的狀況下它都能夠修
[04:19] 改所以文字檔案它都能夠直接在你的檔案上面去修改。
[04:23] 不管是新增、搬移、删除、
[04:25] 改名,通通都能做。
[04:26] 所以在你的電腦上就是可以做這些事。
[04:28] 好,所以在這一頁我稍微聽一下,
[04:30] 跟大家講一下。
[04:31] 好,第一個,你必須要知道說你的大型語言模型有沒有
[04:35] 支援多模態。
[04:36] 所以這裡的話我開OpenCode給大家看。
[04:39] 像OpenCode裡面啊,我們在講的時候,
[04:41] 我們可以知道說,你的所有的AI的能力,
[04:44] 比如說好了,Claude的Opus 4.8,
[04:46] 它就是一個多模態的頂級模型。
[04:49] 所以它支援文字、圖片、
[04:51] PDF,然後上下文百萬。
[04:53] 所以代表這樣的語言模型是讀得到圖片的。
[04:56] 所以你給它圖片它讀得懂。
[04:57] 再來有些PDF或是PowerPoint或是你的Word
[05:01] 裡面有圖片的話,它也都是讀得到的喔。
[05:03] 所以你原則上使用的是頂級模型都沒有太大問題。
[05:07] 所以像我們的這個GPT5.5也是多模態的模型。
[05:11] 所以像GPT5.5這也是頂級的大型語言模型的資源圖片。
[05:15] 所以它都是可以讀到圖片的。
[05:16] 那唯一要小心的是,如果是
[05:19] 純文字模型的話比如說我最近常常使用的
[05:23] GLM 5.2頂級的大型語言模型它只有純文字而已所以它
[05:28] 讀圖片的部分可能就沒辦法讀到所以當你使用
[05:31] AI在讀取檔案的時候你要注意這件事你使用的大型語
[05:36] 言模型有沒有讀取圖片的能力這件事很重要所以你必
[05:41] 須要去確認一下原則上各家廠商頂尖的模型都具備多
[05:46] 模彈的能力所以你應該是不用太擔心如果
[05:49] 你有付費的話,付費的模型頂尖的都是可以讀取圖片的。
[05:54] 來再來,你要怎麼樣讓它讀得到呢?
[05:56] 這邊我教大家有一件很重要的事情你一定要學會。
[05:59] 在我們使用AI的世界裡面,
[06:02] 有一件事情非常重要。
[06:04] 什麼事情呢?
[06:05] 就是在Windows裡面。
[06:07] 比如說我今天要AI去讀這個檔案,
[06:10] 那我要怎麼做呢?
[06:11] 在這個檔案上面按滑鼠的右鍵。
[06:14] 這邊有一個很重要功能你一定要學會,
[06:17] 叫做複製路徑。
[06:19] 你在檔案上面按滑鼠右鍵裡面會有一個功能叫做複製
[06:23] 路徑。熱鍵是Ctrl、Shift、
[06:25] C在AI的Agent裡面這個功能非常常用。
[06:30] 你一定要學起來這個功能。
[06:32] 為什麼?因為如果你沒有準確的告訴他路徑跟檔名他要
[06:37] 去找,他在找的時候會浪費掉你的Token有時候也不見
[06:41] 得找得到。
[06:42] 所以我們在AI Agent時代如果說你要很明確的告訴他
[06:46] 要去讀什麼檔案
[06:48] 你就要占用複製路徑的功能。
[06:52] 熱鍵式Controf加C。
[06:54] 好,所以像這樣子。
[06:55] 我要去讀這個,比如說我要去讀這個工具列表。
[06:59] 我就按右鍵,然後我們選複製路徑。
[07:01] 好,接下來回到我的OpenCode裡面來。
[07:05] 然後我在這個地方我新開一個讓你看看說他能不能讀
[07:09] 到這東西。
[07:10] 好,我現在開一個文字模型,
[07:13] 還有我們的這個大醃菜。
[07:15] 然後我們將路徑給他。
[07:16] 這時候你只要貼上,
[07:18] 大家有看到嗎?
[07:19] 貼上的話就會出現你的所有檔案的正確路徑,
[07:24] 包含你的檔案資料夾,包含你的檔案。
[07:28] 所以你可以用這樣的方式,
[07:29] 在我們的Agent裡面詳細的給AI這個檔案的路徑在哪裡?
[07:35] 所以雖然說我現在我的專案目錄裡面沒有這個檔案,
[07:39] 但是我仍然可以使用這樣的方式,
[07:42] 叫他去讀這個檔案。
[07:44] 請去讀取這個檔案,並簡單的總結一下。
[07:48] 這個檔案是做什麼的?
[07:50] 所以各位讀得到是這個意思。
[07:52] 所以你一定要善用這個Ctrl、
[07:55] Shift、C、複製檔案路徑的功能。
[07:57] 接下來按交。
[07:58] 所以你看哦,它就會畫出去我現在這個專案目錄裡面,
[08:02] 然後去讀這個檔案。
[08:04] 我個人建議你使用複製路徑的方式會優於直接餵
[08:10] 給它檔案。
[08:11] 這樣大家理解嗎?
[08:12] 好,允許。直接餵給它檔案的意思是這樣子。
[08:14] 我們在這個加號裡面有一個附加檔案。
[08:16] 直接餵給它檔案的是我們在
[08:18] 這個AI的上下文裡面,餵給他這個檔案,
[08:21] 這樣子比較不好。
[08:22] 我個人建議,我們就是給你檔案的路徑讓他去讀,
[08:25] 這樣子叫好。
[08:26] 因為你檔案更改的時候,
[08:27] 他在我們在重新讀的時候可以讀到正確的資訊,
[08:31] 也不會佔掉上下文。
[08:32] 好,所以你看哦,他讀完之後就會告訴我說,
[08:35] 誒,這個教學檔案是屬於三師爸基本功系列。
[08:39] 那列出了我們老師日常批閱跟行政作業的常見痛點。
[08:44] 然後每一頁附一個可直接複製給AI。
[08:48] Agent的指令讓AI正玩。
[08:49] 所以大家有看到嗎?
[08:51] 他能夠讀到所有的檔案只要你給他正確的路徑。
[08:55] 所以這一招你學會了嗎?
[08:57] 好,這一招你新學會,你今天有學會的在聊天室。
[09:01] 所以我們習慣在電腦裡面給他完全正確的檔案或
[09:06] 資料夾的路徑。
[09:07] 你也可以給他整個資料夾,
[09:09] 他可以去讀整個資料夾。
[09:10] 所以這個是在我們Agent的世界裡面很常用的功能,
[09:14] 你一定要學起來。
[09:15] 好,所以他就可以讀得到你電腦裡面
[09:17] 所有的檔案只要你用這樣的方式,
[09:19] 任何地方在專案資料夾以外它能夠讀得到。
[09:23] 好這個叫做讀得到這裡的話我們讀檔案的部分就
[09:28] 先這樣子,接下來我們來看一下這個簡報好不好那
[09:32] 該檔案的部分我等一下再試,
[09:34] 那這邊我舉了幾個例子,
[09:35] 比如說整理資料
[09:36] 夾整理資料夾是最方便的啦,
[09:40] 那我們就來整理一下資
[09:41] 料夾好了好假設我今天開一個新的Session,
[09:45] 那你要整理資料夾的話你要怎麼做
[09:46] 呢然後呢你就直接到我們的下載資料夾裡面來。
[09:49] 那下載資料夾裡面非常的亂嘛。
[09:51] 看一下我下載資料夾,亂。
[09:52] 所以我直接就是複製這個路徑,
[09:55] 大家看到嗎?
[09:56] 你將你下載資料夾的路徑複製它。
[09:58] 或者是按熱鍵Ctrl Shift加C。
[10:00] 然後直接回到你的Agent裡面來。
[10:02] 就算你的專案目錄不在那邊,
[10:04] 你也可以接怎麼樣?
[10:06] 直接給它這個路徑,複製路徑,
[10:08] 然後貼過來。
[10:08] 幫我按照這個資料夾裡面的檔案去做分類。
[10:13] 整理這個資料夾。
[10:14] 如果有一些檔案是你覺得需要刪除
[10:16] 的。請幫我整理到一個資料夾裡面去標上代刪除。
[10:20] 由我確認之後我直接來刪除。
[10:23] 好所以你也可以這樣子叫他去幫你去整理資料夾。
[10:26] 所以各位老師你的電腦裡面是不是有某幾個資料是你
[10:31] 很想要整理但是你卻找不出時間來整理因為做這件事
[10:35] 真的是太麻煩了。
[10:36] 那各位有行政的老師我相信你們也非常多的資料需要
[10:41] 整理。
[10:42] 所以這個功能是在AI Agent裡面我覺得幫助老師最大的功
[10:46] 能就是它可以幫你整理你的資料。
[10:48] 所以我這邊按提交。
[10:49] 那在這邊的話,我給它的權限是我開到全自動。
[10:54] 因為我相信它不會亂刪我的單位。
[10:56] 接下來它就會去整理我的下載資料夾。
[10:59] 那各位,我的下載資料夾是非常凌亂的,
[11:02] 所以給大家看一下這邊。
[11:03] 好,所以大家看到嗎?
[11:04] 自我下載資料夾非常的亂。
[11:06] 所以我就
[11:06] 讓它去整理。
[11:07] 好,我們就先丟著,先丟著。
[11:09] 所以實際上它就可以幫你整理你的檔案。
[11:11] 大家可以放心,頂級模型原則上是不太會去動你的。
[11:15] 你不太會去亂刪你的檔案。
[11:18] 所以你要做這件事的話,
[11:19] 你開比較聰明一點的模型。
[11:20] 一般來說都沒有太大的問題。
[11:22] 所以你可以在任意的資料夾去幫你整理。
[11:26] 你也可以讓他去讀完資料之後,
[11:28] 再幫你做會真。
[11:29] 完全可以的喔。
[11:30] 所以各位老師,你是不是在電腦裡面有一個資料夾是你
[11:35] 很想整理,但是你都沒空整理的,
[11:37] 幫我在聊天室打一個。
[11:39] 所以你可以用這樣的方式來去幫你整理你電腦裡面的
[11:42] 資料,將一些下來資料夾或是你有存一些文件
[11:45] 把你一些很多文件你丟到一個地方去集中但是沒有整
[11:48] 理他都可以幫你
[11:49] 整理好再來所以再來執行程式跟裝工
[11:52] 具欸各位我一定要跟大家說一下這件事情超級強大
[11:57] 你知道你的AI Agent是可以跑程式的嗎?
[12:00] 他跑的程式就是Python
[12:02] 那Python的話簡單的說就是他在你的電腦裡面寫程式
[12:07] 來去完成你要的功能。
[12:09] 這件事情你不要小看它,
[12:11] 它基本上可以做到你電腦上面的任何事情。
[12:15] 注意哦,是任何事情。
[12:17] 而且你不會感受到它在寫程式幫你做。
[12:21] 你感受到就是說,啊?
[12:23] 已經做完了。
[12:24] 實際上它就是在Agent裡面幫你寫程式然後做。
[12:27] 但是跳過,你感受到它寫程式這件事情。
[12:31] 所以你在你的Agent裡面看到的就是,
[12:33] 你下層,你下層,你下層,
[12:33] 你下層,你下層,你下層,你下層,你下層,
[12:34] 你下層,你然後他做完了中間寫程式的過程你看不到但是
[12:38] 我今天講給你聽實際上他就是寫了程式去幫你完成你
[12:42] 交代的任務他可以做到什麼事情呢?
[12:44] 我跟你講各位老師你平常會做的工作的大部分事情他
[12:49] 都能做所以呢你不用碰程式他就是給你結果然後所有
[12:53] 缺什麼東西他會自去裝你不懂也沒有關係他為了達成
[12:58] 任務他就會去裝那些應該要裝的東西那我為了方便等一下
[13:02] 我會給大家
[13:03] 看你會寫一個檔案直接在你的電腦裡面裝起來,
[13:07] 非常的方便。
[13:08] 好,所以比如說類似的,
[13:10] 像這樣寫一個Python幫你計算全班的成績。
[13:13] 所以實際上你不需要跟他說寫一個Python,
[13:15] 只要跟他檔案的名字,只要講說幫我計算全班的成績就
[13:18] 好,我就會幫你做了。
[13:20] 好,上網的部分,寫成是我等一下示範,
[13:22] 上網的部分我來說明一下,
[13:24] 上網的話每一家agent不太一樣,
[13:26] 但是每一家agent都能上網。
[13:29] 那我現在來簡單說一下,
[13:31] 4家agent上網的部分有哪一些。
[13:33] 好 所以4家Agent 我們先來看一下
[13:36] 首先最神奇的是Codex
[13:39] Codex很強哦
[13:40] 我最近都沒有更新Codex
[13:42] 過幾天我在更新Codex
[13:43] Codex實在是太好用
[13:45] 了我只能夠說
[13:46] 他應該是目前我覺得最好用的Agent
[13:48] 應該是排第一名好
[13:50] 他的話他
[13:51] 就是可以使用他內建的Computer Use
[13:54] 或者是直接他就可以在背景去跑程式
[13:58] 所以像這裡的話
[13:59] 我直接開一個新的專
[14:01] 案大家可以使用現有資料夾
[14:03] 開一個專案開到我們AI-Agent B3
[14:06] 好它強到什麼程度你知道嗎?
[14:08] 它開瀏覽器上網做這件事情你是看不到的
[14:11] 或者是說你可以直接看得到然後它幫你操控
[14:15] 這件事很可怕你知道我就看著它在操控我的瀏覽器做
[14:19] 事可是它操控瀏覽器怎樣就是它操控瀏覽器是自己有
[14:22] 一個滑水游標
[14:23] 跟你滑水游標是不一樣
[14:24] 的所以我覺得最強的瀏覽器上網功能第一名
[14:28] Codex就是上網用AI-Agent幫你上網第一名
[14:31] Codex然後
[14:32] Codex上網幫你做這件事的應用非常的多。
[14:36] 那在Codex基本功系列我會專門去講Codex
[14:39] 的這些功能。
[14:40] 我覺得這些功能真的是太犯規,
[14:42] 有非常多應用。
[14:43] 但是我一直沒有空拍影片,
[14:44] 所以大家也不會看到這些應用。
[14:47] 它是我認為用AI Agents上網功能裡面最強的第一毛,
[14:52] 所以它是可以幫你去上網做任何的。
[14:55] 甚至可以幫你去摸清楚某一個網站裡面全部的功能、
[15:00] 全部的內容。
[15:01] 是沒有問題的。
[15:02] 我舉例好了請你去光武國
[15:07] 中新竹市光武國中的官方網站找到我裡面需要一份資
[15:13] 料就是我們在段考命題方向細目你找到之後幫我下載
[15:18] 下來好像這樣就是你就直接叫他去做這件事情可是你知道
[15:22] 嗎這個我們人類去找很麻煩的很麻煩的所以我來試試
[15:25] 看他能做到嗎所以接下來按傳送好接下來他就會上網
[15:30] 去幫你做這件事好這個是
[15:32] 這是Codex的部分。
[15:33] 我覺得Codex上網功能最起。
[15:35] 好接下來我來講一下Claude。
[15:37] Claude上網功能的話,你必須要裝一個Claude。
[15:40] 看一下,帶刪除保守。
[15:42] 紙龜類不動它。
[15:43] 好這邊他問我一些問題啦。
[15:44] 在Chrome裡面啊,你要去裝一個功能。
[15:47] 就是裝Claude的外掛。
[15:48] 所以在擴充功能裡面,你的這個商店,
[15:52] 你Chrome商店裡面的擴充功能。
[15:54] 好在Chrome商店,在這個右上角,
[15:57] 供流暗器的右上角。
[15:57] 然後我們在右上角的地方選擴充功能。
[16:00] 然後選這個,前往Chr
[16:02] ome商店。
[16:02] 然後選擴充功能。
[16:06] 選前往Chrome 線上應用程式商店。
[16:10] 去做這件事。
[16:12] 去搜尋Claude。
[16:13] 去裝這個。
[16:14] 好,裝好之後啊。
[16:16] 裝在你的Chrome 瀏覽器。
[16:17] 你裝在你的Chrome 瀏覽器之後。
[16:18] 你必須要登入你的Claude Code的帳號。
[16:21] 所以在這邊你必須要登入。
[16:22] 所以你點它之後,它會要你登入。
[16:24] 好,像這樣就登入完成了。
[16:26] 登入完成之後,它也可以像Codex 這樣子去操控你的瀏
[16:31] 覽器。也是接在地方做給你看。
[16:33] 好這樣子都是比較強力的功能。
[16:35] 但是在Claude Code裡面你必須要去安裝Claude
[16:38] 的外掛。
[16:39] 然後在這個地方登錄,就可以去控制你的瀏覽器幫你做
[16:42] 事。所以在Claude Code裡面是這麼做的。
[16:44] 所以這個也是Claude的瀏覽器上網的功能。
[16:48] 所以它也可以上網去做這件事。
[16:49] 只要你裝了這個Claude Code Chrome的擴充應用程式就可以
[16:53] 做到這件事。
[16:54] 好再來Antigravity跟OpenCode。
[16:57] 它就會用另外一個程式叫Playwright。
[17:00] Playwright。
[17:01] 那Playwright的話就是內建的。
[17:03] 內建的就是最原上網功能。
[17:05] 所以這邊的話我也開給大家看。
[17:06] AntiGravity OpenCode裡面。
[17:08] 上網功能是什麼?
[17:10] 所以我也開給大家看。
[17:11] 所以我的AntiGravity開出來。
[17:12] 好,所以我也把它開出來給大家看。
[17:14] 它的上網功能就是用一個程式叫做Playwright。
[17:18] 好,一樣我也開到我們的專案裡面來。
[17:21] 所以到我們專案AI Agent專案03。
[17:23] 好,有人有問說我們要怎麼樣就是在AntiGravity
[17:27] 裡面去開這個全自動的權限。
[17:30] 就是你開這個Turbo Mode 然後NAS開完Turbo
[17:33] Mode之後啊在這個專案的設定裡面去設
[17:39] 定它這邊要先跑一下幫我解釋一下你的上網功能
[17:43] Playwright是什麼功能它可以做什麼
[17:46] 好 像這樣所以實際上它就是有一個內建的功能在
[17:49] Agent裡面可以直接去網路上爬網頁然後去抓東西出來
[17:54] 我的上網功能跟這個Playwright其實相關。
[17:57] 它可以做網路搜尋,然後可以網頁讀取。
[18:00] 好這個是微軟開發的強大的功能用於瀏覽器自動
[18:06] 化。簡單的說它就是一個虛擬的瀏覽器操控助手。
[18:09] 那所有的AI agent都可以使用這個功能。
[18:13] 所以就算是Codex還是Claudecode,
[18:15] 他們一樣也有這個Playwright的功能。
[18:17] 但是Playwright的功能它是屬於在背景跑的話就有一
[18:21] 些限制。
[18:22] 對就是有一些限制,所以變成是當你要做一些,
[18:24] 比如說你要讓它在瀏覽器跑一些比較複雜的事情,
[18:28] Playwright可能就沒有那麼好。
[18:30] 大原則是你在叫你的AI上網的時候,
[18:33] 如果你沒有像Codex或Claude Code這些比較進階的網路
[18:37] 瀏覽器功能的話,它預設就會使用這個Playwright
[18:41] 去幫你做網路的爬蟲。
[18:43] 對,網路爬蟲。
[18:44] 那當然有些網站不見得爬得到,
[18:46] 是因為有些網站有反爬蟲的裝置。
[18:48] 所以在協作裡面,它是可以去做這些事情。
[18:52] 所以你知道說原來我的Agent裡面內建的網路瀏覽功能
[18:57] 東西叫Playwright。
[18:58] 所以實際上你就知道這件事。
[19:00] 那大部分的狀況下它都會自動開出來。
[19:02] 只要你在你的提示裡面有提到說上網幫我做什麼事情,
[19:08] 它就會開這個功能來去上網幫你做。
[19:11] 所有的Agent都擁有這個功能。
[19:13] 所以你的AI Agent是可以上網。
[19:15] 好再來我們現在不是開了這個功能嗎?
[19:18] 所以我們在我們專案的設定裡面Anti-Gravity
[19:21] 專案設定裡面。
[19:22] 我記得上一集有減線這邊Turbo Mode然後選
[19:26] Always Proceed然後在這個Turnimo Commends
[19:30] 裡面去把那些常會用到的增加比如說NPM
[19:34] 然後比如說Python你就把那個它待會詢問你的那些程
[19:39] 式都在這邊增加那大原則就會幾乎是全自動了所以在
[19:43] 這個專案裡面就會變幾乎是全自動了所以你在
[19:45] AntiGravity你要全自動的話大概就開這個功能它就不會
[19:49] 再詢問你允許不允許了好所以這個是這是
[19:52] Antigravity裡面的網頁搜尋功能。
[19:56] 那OpenCode也是一樣的功能。
[19:58] 就不開出來給大家看了。
[19:59] 來接下來我們來看一下Codex。
[20:01] 好,Codex的話看起來它不見得找得到,
[20:04] 我看一下。因為我自己知道,
[20:07] 我自己知道在哪邊是因為它非常的非常的深。
[20:10] 所以讓它去。
[20:11] 好,所以它就想辦法吵上去。
[20:12] 好,它還在努力的進行當中。
[20:15] 好,大原則是這樣,大原則就是網路搜尋的功能。
[20:18] 接下來我們回到我們剛剛不是請的我們的這個,
[20:22] 這個,這個,這個,這個,這個,這個,
[20:24] 這個,這個,這個Claude Code去整理檔案嗎?
[20:24] 大家所有的AI Agent都可以去做整理檔案之間所以呢他
[20:28] 就幫我整理好了我們來看一下我們下載資料夾好各位
[20:31] 下載資料夾大家有看到嗎?
[20:33] 有沒有看到?整整齊齊啊整整齊齊看到嗎?
[20:36] 整整齊齊好有看到嗎?
[20:37] 超級整齊AI教學工具你有看到嗎?
[20:39] 所以他可以去完全動你的檔案的內容是沒有問題所以
[20:43] 你看這邊可能會有一個帶刪除好我們點他點進來這些
[20:47] 東西就是他覺得應該是可以刪的所以他就幫我整理了
[20:51] 這些可以刪的好然後
[20:52] 你自己確認完之後,你覺得OK可以刪了,
[20:55] 你再刪,像這樣。
[20:56] 好,所以像這個整理檔案資料夾,
[20:58] 對它來講是基本功能啦,
[21:00] 好不好?好,所以這個部分都示範完了。
[21:02] 接下來我們來看一下今天最重要的功能就是這個功能。
[21:06] 簡報。所以像這種上網啊,
[21:08] 你就是叫它上網去查資料,
[21:10] 然後去下載資料,都是沒有問題,
[21:12] 它可以下載圖片、下載資料。
[21:14] 好,所以各種檔案格式的話,
[21:16] 等一下我們會示範。
[21:17] Word Excel、PPT、圖片、
[21:19] HTML,甚至影片都是可以。
[21:20] 像這種我示範過很多次
[21:22] 的啦。直接產出一份Word考卷是沒有問題的。
[21:25] 再來當然安全的部分還是要注意一下。
[21:28] 因為我剛剛都開了全自動嘛。
[21:29] 所以大家還是要確認一下。
[21:31] 如果可以的話,半自動先半自動。
[21:34] 然後限制在專案目錄。
[21:35] 不要讓它在整個硬碟。
[21:36] 所以我剛剛教大家你把那個檔案路徑。
[21:39] 就可以不要讓它各個硬碟找你的檔案。
[21:42] 以前我們在講的時候我們都說把這個檔案把什麼檔案
[21:44] 你都不夠精確。
[21:45] 我們只要用檔案路徑就可以很精確的告訴它要處理。
[21:49] 好,所以有些套件不要亂裝。
[21:52] 因為有些所以套
[21:52] 件可能裡面有木馬。
[21:54] 有一些惡意的程式要你的agent。
[21:55] 所以如果今天你從網路上隨便抓一個GitHub
[21:59] repo、一個MD檔。
[22:01] 不要亂裝。
[22:02] 好!那這個是下面兩集的內容。
[22:05] 我會講,你除了本身能力以外,
[22:07] 要怎麼樣去連接外部工具。
[22:09] 然後第五集的話,會好好地去講什麼事。
[22:11] 這是未來兩天預告一下。
[22:12] 好!所以這是今天的簡報內容。
[22:15] 再來,大家有看到嗎?
[22:16] 這個地方,你們看到?
[22:17] 掃QR Code拿走全部的資料。
[22:19] 太好了吧!
[22:21] 好所以趕快掃齁大家趕快掃齁那
[22:25] 等一下我就會開這個東西給大家看
[22:27] 就是所謂的老師Python的工具清單以及給
[22:31] Agent的一鍵安裝
[22:33] 所以你可以帶走這些內
[22:35] 容好我們先來看一下老師Python的工具清單
[22:39] 先給大家掃描QR Code
[22:40] 沒有這麼佛心的人啦
[22:42] 沒有這麼佛心的人
[22:43] 通通免費給大家帶
[22:45] 走我整理好
[22:46] 掉好所以老師的Python工具清單等一下
[22:49] 你就可以去拿到了
[22:50] 然後跟這個給Agent的一鍵安裝套件。
[22:53] 好接下來我們來看一下哪一些內容。
[22:56] 在我的GitHub repo裡面。
[22:57] 好接下來我直接開了吼。
[22:59] 來,所以你會拿到這個檔案。
[23:01] 就是教學檔案處理工具列表。
[23:03] 老師的Python神器清單就是這個檔案。
[23:06] 所以我們來看一下。
[23:06] 來,這邊有什麼呢?
[23:08] 比如說如果你要處理Word檔案。
[23:10] 像這樣。套印、獎狀、
[23:11] 通知單、成績單、讀考卷、
[23:13] 講義合併、PPT轉PDF,像這些。
[23:15] 那這些是不是老師的教學痛點。
[23:17] 所以你的AI會幫你裝什麼?
[23:19] 裝這些套件。
[23:20] 大家有看到嗎?重點就是這些套件。
[23:22] 所以你要做這些事的時候,
[23:23] 它會幫你裝這些套件。
[23:24] 各位,這些套件就是所有的Agent都能夠免費還有自動
[23:30] 安裝的套件。
[23:31] 所以比如說像Python、
[23:32] DOCX就是專門在產生Word、
[23:35] 除Word、福利Word的Python程式。
[23:37] 你的Agent會自動幫你裝。
[23:40] 你真的不用擔心。
[23:41] 好,所以你可以做到這些事情。
[23:43] 就是比如說套那個獎狀模板。
[23:46] 每人產生一份純層PDF像這種。
[23:48] 把題目做成Word,這個我做過很多遍。
[23:50] 然後再來合併這個PDF,
[23:53] 你將好幾份的這個PDF合併成。
[23:55] 以前我們要做這件事是很麻煩的。
[23:57] 或是我們可能會用寫程式變成是一個網頁來做嘛。
[24:00] 你現在都不用做這件事情了。
[24:02] 你只用自然語言,叫它做就好。
[24:04] 它會自動去安裝這些套件幫你玩。
[24:06] 好,再來我們來看一下Excel的部分。
[24:08] Excel的部分就是我們常常會處理Excel的部分。
[24:11] 比如說成績計算碼、台名跟及格標紅,
[24:14] 就類似這種。
[24:15] 或是段考的成績分析,記得要去識別化。
[24:18] 然後再來就是總成績單,
[24:20] 參選各班,你只要有班級座號就可以處理了。
[24:23] 隨機座位表一樣,我們也是用班級座號就可以處理了。
[24:27] 好,iPhone的部分,可能iPhone的格式要另外再跟他說。
[24:31] 因為iPhone部分我沒有試過,
[24:33] 所以老師們。
[24:34] 然後再來有老師問到說Codex可以設定那一家或其他人
[24:38] 的Agent MD?
[24:39] 可以,但是這個部分我今天可能沒辦法詳
[24:42] 細。那你就看看我的頻道裡面有沒有我應該有講過這
[24:46] 件事。好,在Excel部分是不是我們常常做的就是這些
[24:49] 事對吧?好,那也是一樣在你的這個AI裡面,
[24:53] 他會去自動幫你裝這些套件,
[24:56] 這些套件,那你只要有了這些套件,
[24:59] 他就可以做這些事,是嗎?
[25:00] 就是大家你在你的教學現場會常做的事,
[25:03] 那像尤其是這個Matplotlib這樣子,
[25:07] 這個就是畫圖表,畫那個長條圖啊,
