[00:00] 所以原則上在Codex裡面是可以使用
[04:56] 只要抓最近五年了就好,
[04:59] 下載到這個目錄裡面來。
[05:01] 關鍵字的話,這個叫Computer Use,
[05:05] 讓它去控制你的電腦。
[05:06] 使用的就是我們剛剛講的那個外掛程式。
[05:10] 你沒講的話,它應該也會使用了。
[05:12] 好,接下來按提交。
[05:13] 接下來它就會啟動瀏覽器工作,
[05:16] 真的幫你下載下來。
[05:17] 所以我們來看一下資料夾裡面有沒有這些檔案。
[05:20] 所以大家看一下資料夾裡面就真的有
[05:24] 這五年的歷屆試題
[05:26] 所以你完全都不用動手。
[05:27] 在它操控瀏覽器去下載的時候,
[05:30] 你也可以邊在電腦上面做其他的事情。
[05:33] 所以所有在有瀏覽器上面能做的事情,
[05:36] 你都可以請Codex幫你去做。
[05:39] 接下來在這個資料夾裡面我們來去對這些檔案做工作
[05:43] 就是我們Agent的最大用途。
[05:45] 那我簡單示範一下什麼叫做Skill。
[05:47] Skill是你現在要做一件事情。
[05:49] 中間會有非常多的流程。
[05:52] 最後會完成一件事或是輸出一個成品來。
[05:56] 你只要是你要他做什麼?
[05:58] 你只要是要他做的事情是一個固定的格式跟流程。
[06:03] 然後最後輸出的結果,你只要結果就好。
[06:07] 那這樣方式就很適合做。
[06:09] 你只要是Codex裡面能做的事,
[06:12] 都能夠做成Skill。
[06:13] 所以Skill有點像是使用說明書,
[06:16] 你告訴他說要先做什麼再做什麼,
[06:19] 再做這件事的時候要符合什麼規則,
[06:21] 最後再怎麼樣,輸出的時候是什麼東西,
[06:24] 成品就會跑出來。
[06:26] 像這樣的東西就是很適合做成Skill。
[06:29] 那如果說你做出來的東西還要你審核的話,
[06:32] 那就不適合做成Skill。
[06:34] 所以我來示範一次,去分析這五個檔案,
[06:39] 歷屆試題的檔案。
[06:40] 接下來產出這五個歷屆試題會考的重點,
[06:44] 包含各個單元出現的頻率。
[06:47] 最後給出準備會考的策略,
[06:51] 包含從C到B、B到A的策略。
[06:55] 這些策略做成資訊圖表。
[06:58] 歷屆試題一張資訊圖表。
[07:00] 應考策略一張資訊圖表。
[07:02] C到B的策略一張資訊圖表。
[07:07] B到A的策略一張資訊圖表。
[07:09] 所以你會發現說我請他做的事情是一大串的事情。
[07:13] 因為這個是我們的AI Agent,
[07:15] 所以他可以一次做很多事情是沒有問題的。
[07:17] 正確的使用方式也是這樣子。
[07:19] 你不要一次叫他做一件,
[07:21] 你要一次把你要他做的事情一次把他送出這樣子最省
[07:26] Token的數量。
[07:27] 因為他就不用重複讀那些對話。
[07:30] 所以這個是小技巧。
[07:31] 你要做的是一次講完。
[07:33] 接下來他就開始工作。
[07:35] 在工作同時你可能要注意一下你的使用量。
[07:39] 所以一般來說我們會在左下角設定的地方,
[07:42] 選擇這個剩餘的速率限制來看一下你的用量。
[07:46] 目前我的方案是20美金的方案。
[07:49] 所以可以看一下我這邊5小時的用量還有67%,
[07:53] 週用量的話還有70%。
[07:57] 正常來說,你在做這些工作的話,
[08:00] 20美金的用量是足夠的。
[08:02] 那如果當你工作到這些用量遠遠不足的時候,
[08:06] 你就要考慮升級下一個方案,
[08:08] 或者是用時間來去換取效率。
[08:11] 用時間換取效率意思是說,
[08:13] 它5小時冷卻時間,你用完之後,
[08:16] 就是要在下午的6點26之後,
[08:19] 才可以再使用下一個5小時的使用額
[08:22] 度。而這個一週的額度意思是說你這個禮拜到
[08:26] 5月2號之前你的額度有這麼多。
[08:28] 如果你全部用完的話你就要等到5月2號之後才會重置
[08:33] 你的週額度。
[08:34] 所以在Agent世界的用量是這樣子計算的。
[08:37] 權限的部分我使用的是自動審核。
[08:39] 所以它在這個地方會自動去核准請求。
[08:42] 所有的事情它自己核准自己去工作。
[08:46] 這樣我們就可以節省很多時間。
[08:48] 因為如果說你沒有切自動審核的話,
[08:50] 會變成是它會請求你核准,
[08:53] 才能夠往下工作。
[08:54] 如果你人沒有在電腦前面的話,
[08:56] 他就不會往下做。
[08:57] 所以一般來說我都會選用自動審核。
[09:01] 所以他就一次做到好才會停。
[09:04] 除非有需要做到一些比較需要人類核准的判斷,
[09:08] 比如說刪除資料,他才會跳出來要你確認。
[09:11] 正常狀況下,它就會一直做一直做到好為止。
[09:15] 這個就是AI Agent時代的好處。
[09:17] 你不用重複對話,你也不用跳出去視窗去切換分頁。
[09:22] 在同個視窗裡面一次把工作做到好。
[09:24] 好,已經快做完囉,它現在在生圖囉。
[09:27] 所以各位,在我們的Codex裡面可以直接呼叫
[09:32] Image 2來生圖。
[09:33] 是沒有問題的。
[09:35] 所以你看一次生成四張。
[09:37] 好,四張圖表的話全部在這個地方。
[09:40] 檔案全部在
[09:41] 這個地方。資料夾裡面。
[09:42] 我們來看一下它給定的所有檔案。
[09:44] 所以打開你的資料夾。
[09:46] 在這個資料夾裡面
[09:47] 我們看一下數學分析的資訊圖表。
[09:50] 點開來,第一張。
[09:52] 五大領域的出現頻率。
[09:54] 高頻單元有哪些。
[09:56] 年度的題型觀察。
[09:57] 還有會考重點。
[09:59] 都非常清楚。
[10:00] 總策略的話,先保底再衝高分。
[10:03] 所以這邊也會給一些相關的作答策略。
[10:07] 考前四周的配置。
[10:08] 再來C到B的部分。
[10:10] 給了很好的策略。
[10:13] 錯題只改一件事。
[10:14] 每天20分鐘基本題。
[10:17] 遇到長題先停10秒。
[10:20] 非選題拿過程分。
[10:22] 還有練習菜單。
[10:24] 接下來B到A的策略。
[10:26] 還不錯啦。
[10:27] 大部分該講的都有講到。
[10:29] 再來還有一個重點分析摘要。
[10:32] 看一下。
[10:33] 這個話是Markdown格式的文件。
[10:35] 裡面就是我們整體的文字內容。
[10:39] 再來還有一個試算表。
[10:41] 所以它可以產生試算表。
[10:43] 打開試算表的中文也都是正常的。
[10:47] 所以完完全全的可以把這些統計資料放在我們的試算
[10:50] 表裡面。
[10:51] 資訊圖表的話它用的是比較像是分析的資訊圖表。
[10:56] 如果要生圖的話我給大家看一下,
[10:58] 生圖是可以生圖的。
[10:59] 這個是我在Codex上面畫的,
[11:02] 貓在鋼琴上昏倒了。
[11:03] 所以你會看到圖片還有中文字都是沒有問題的。
[11:07] 那我請他畫四格漫畫也是沒有問題的。
[11:10] 中文也非常精準。
[11:11] 在我使用凱西仙姑的提示詞去畫圖片也是沒有問題的。
[11:22] 使用的就是你訂閱帳號的額度。
[11:25] 那如果你想要利用API Key去做更多的
[11:29] 客製化圖片設定的話,也是沒有問題
[11:32] 那這屬於比較進階的應用,
[11:34] 我們之後有機會再說。
[11:35] 好,完成之後,接下來我要把剛剛那一整串的操作,
[11:39] 把它變成是一個可以重複執行的技能。
[11:43] 所以我就跟他講說
[11:45] 把剛剛我們做的事情打包成一個技能。
[11:48] 這個技能就叫做會考試題分析技能。
[11:52] 所以以後我們只要要對會考的試題做分析的話,
[11:56] 會自動把我們剛剛做的事情全部跑一遍。
[11:59] 所以你只要以後再做這些事的時候,
[12:02] 你覺得這些事情你已經做出來很成熟了。
[12:04] 你可以把它打包成一個技能。
[12:07] 所以它就會利用產生技能的技能來去做這個技能。
[12:12] 然後放到本機的技能資料下面。
[12:14] 所以這台電腦就會有這個技能。
[12:16] 它會去下載、分類、統計、
[12:20] 剷除摘要、還有四張資訊圖表。
[12:23] 一次全部做完。
[12:24] 所以技能名稱會保留會考試題分析技
[12:27] 能。技能寫好之後,他會自己驗證一次,
[12:30] 看能不能用。
[12:31] 所以技能會放在這個地方,
[12:33] 叫CabExam。
[12:34] 當你打出一些關鍵字的時候,
[12:36] 會自動觸發。
[12:37] 所以大家不用擔心。
[12:39] 接下來你的技能路徑會在你的帳號裡面使用者名稱
[12:44] Codex這個資料夾裡面。
[12:46] 所以我們在Codex資料夾裡面會找到這個Skills
[12:49] 資料夾。
[12:50] 點進去,你的技能就在這裡。
[12:53] 所以你剛剛創造的技能在這個地方。
[12:55] 如果說你想要把這個技能拿去別台電腦使用,
[12:58] 或是給別人使用的話,就是讓他複製整個資料夾過去,
[13:04] 別人也可以擁有這個技能。
[13:05] 再來最後跟大家講一個使用Codex、
[13:08] AI Agentg這種工具的話,
[13:10] 你必須要注意一件事情。
[13:12] 就是我們在同一個專案裡面,
[13:14] 你可以有很多不同的對話。
[13:16] 比如說我現在這個專案叫做數學歷屑試題。
[13:19] 我是可以在這個地方開一個新的對話。
[13:22] 當你開一個新的對話之後,
[13:24] 他會忘記你另外一個對話講過什麼。
[13:26] 所以當你開一個新對話之後,
[13:28] 他會去讀這個專案的資料夾裡面有一個檔案叫做
[13:32] Agents.md。
[13:34] 這個檔案最主要就是記錄下來說你做了什麼事情,
[13:38] 進度到哪邊。
[13:39] 所以一般我們在做專案的時候,
[13:41] 我們都會習慣要先將專案初始化,
[13:45] 就是要建立這些內容。
[13:47] 所以往後的工作流程裡面,
[13:49] 你應該要設計一個技能,
[13:51] 像我現在這樣子,就是打一個收工。
[13:53] 他就會自動幫我把所有該結束的檔案全部
[14:00] 把它儲存下來。
[14:02] 當我在這個專案裡面開另外一個新的對話的時候,
[14:06] 他就會知道要從哪邊開始做。
[14:08] 那為什麼要開新的對話呢?
[14:10] 是因為我們舊的對話會用掉大量的上下文視窗。
[14:15] 比如說像這邊,在這個對話視窗裡面,
[14:18] 因為我對話了很多輪
[14:20] 所以變成是裡面就有很多文字。
[14:21] 這些文字就會占掉上下文視窗,
[14:24] 也就是AI的記憶體。
[14:26] 所以當上下文視窗被占掉越多的時候,
[14:29] 它就會越笨。
[14:30] 然後使用掉的量就會越多。
[14:34] 所以一般來說,我們在工作到一個狀態的時候,
[14:37] 我們會習慣將我們現在的對話做一個整理跟記錄。
[14:42] 然後在另外一個開的新對話做別的事情的時候,
[14:46] 我們只要將那些重點的事情
[14:48] 告訴現在這個對話視窗的AI,
[14:50] 讓他知道說我們這一個專案是在做什麼的。
[14:53] 就可以節省上下文視窗的容量,
[14:57] 也可以節省你的用量。
[14:58] 那這個是我們在使用AI Agentg裡面
[15:01] 要習慣注意的事情。
[15:02] 要不然如果說你沒有任何的紀律或節制的話,
[15:07] 你很容易就會很快的把你的用量把它用完。
[15:10] 他跟別人講說我怎麼一下子就用完了?
[15:13] 那是因為你可能有不好的使用習慣。
[15:16] 不好的使用習慣,比如說你丟給他很多的檔案,
[15:20] 每次只要他做一小件事情,
[15:22] 重複跟他去對話,那就會很浪費這個上下文視窗。
[15:25] 所以你真的要節省用量的話,
[15:28] 你就一次要想好要做什麼事情。
[15:30] 一個對話全部把他講完,
[15:33] 讓他去做。
[15:35] 那我們工作一段時間之後你應該要把這個對話做一個
[15:39] 類似收工的一個工作。
[15:42] 所以像我在做收工的時候我就會讓他去檢查狀態然後
[15:46] 同步應該記錄的工作結果。
[15:49] 因為這個專案沒有Agents.md所以他就會補一份上去。
[15:54] 把今天完成事項採坑跟下一步寫進我們的
[15:57] Obsidian專案工作流程的筆記裡面。
[16:01] 所以實際上這件事就是在做說,
[16:03] 我把在這個對話裡面的內容做一個壓縮,
[16:06] 把重點寫下來就好。
[16:08] 之後我開新的對話的時候,
[16:10] 他只要讀我這個對話內容的重點就好了。
[16:13] 就不用把全部的內容都讀進來。
[16:16] 這樣才是有效率的做法。
[16:18] 接下來大家慢慢去養成這個習慣。
[16:20] 我們在使用agent的時候,
[16:22] 你就是要去做這些事情。
[16:24] 重要的事情在這個專案資料解裡面會記錄到
[16:27] agent.md這個檔案裡面來。
[16:29] 新的對話會重讀這個檔案,
[16:32] 來知道說我們上次做到哪邊。
[16:35] 那使用筆記本的部分呢,
[16:36] 我們在之後的集數
[16:37] 我會教大家怎麼樣去安裝
[16:39] 你的第二大腦Obsidian筆記
[16:41] 也會教大家怎麼樣去連接你的GitHub。
[16:43] 所以如果你想要知道更多
[16:45] 關於Codex的教學應用的話,
[16:47] 要訂閱按讚還有分享哦!
[16:49] 我們下集再見!
