[00:02] 哈囉 大家好 今天的主題是長出來的技能才是你的技能
[00:08] 以我的觀點來去跟大家分享一下
[04:01] 才能夠應用在我的工作場域裡面。
[04:03] 所以很多時候我去看業界的人怎麼做的時候,
[04:06] 我心中都會需要多做一個動作,
[04:09] 就是,那這個業界的專業人士提供的這些技能,
[04:13] 提供這些資源,在我的專業領域裡面,
[04:16] 能夠怎麼做呢?
[04:17] 這實際上這中間是一個空白需要摸索的地方。
[04:22] 那為什麼會這樣講?
[04:23] 是因為我覺得以我自己本身來說,
[04:26] 因為我知道現在來看直播或是事後看我影片的人,
[04:30] 有很多都不是老師。
[04:32] 我知道你們就算不是老師,
[04:34] 你在你自己的專業領域,
[04:36] 你一定也會有你自己專業領域那一塊。
[04:39] 那比如說以我為例好了,
[04:40] 我是老師嘛,那我當然就是以我的教學專業這一塊,
[04:44] 是我最關注
[04:45] 的。所以我會關注比如說出題,
[04:47] 我會關注說怎麼去寫教案,
[04:50] 我會關注說怎麼去做教學,
[04:53] 互動教學。
[04:54] 所以這是在我專業領域我需要關注的事情。
[04:57] 所以當我去看業界、專業人士的東西的時候,
[05:00] 我需要把這些東西轉成在我領域能夠做的事。
[05:05] 這中間是需要花一些腦力跟心力去做嘗試的。
[05:10] 那現在你們看到的我分享的所有內容,
[05:12] 都是我自己嘗試過之後,
[05:15] 統整成心得,或是做好東西之後,
[05:18] 分享給大家。
[05:19] 那這個東西當然就是適用於教學領域。
[05:22] 那如果你今天不是教學領域的人,
[05:24] 你們看我的東西,你們也知道說原來在教學領域裡面的人
[05:29] 是這樣子做的。
[05:30] 那你勢必也是需要經過轉化之後到你的專業領域裡面
[05:34] 去做嘛。
[05:35] 所以我自己認為最方便最方便就是,
[05:39] 你去找到你跟你一樣專業領域的人,
[05:42] 然後來去學他的東西,這是最佳方案。
[05:45] 所以像我會很希望說能夠看到跟我一樣是教學領域的人,
[05:52] 然後我能夠跟他們這些人學習。
[05:53] 或是他在某個教學領域是這個領域的專業人士。
[05:57] 那當他用他的專業在使用AI工具的時候,
[06:02] 我就會去跟他學習。
[06:03] 那這個是我自己的經驗。
[06:05] 那接下來提到說為什麼長出來的經驗才是你的經驗?
[06:09] 是因為不同的專業,比如說教學領域的專業,
[06:13] 目前來講是藍海。
[06:15] 為什麼是藍海?
[06:16] 是因為在教學領域裡面真正用
[06:20] AI agentnt去做很多工作流的人真的非常非常非常的少。
[06:25] 所以各位老師,你自己使用這些AI工具,
[06:29] 在你自己專業領域,在你自己擅長的場域裡面,
[06:34] 你去嘗試錯誤打造出來的工作流,
[06:38] 製造出來的技能,那些東西都是非常寶貴的。
[06:41] 各位老師,所以,
[06:44] 所以應該是,怎麼講,應該是你要找到跟你相同專業領
[06:49] 域的人,然後你可以去跟他們學習或是互相學習。
[06:53] 我覺得這個是大家可能現階段在做AI
[06:57] agentg或是AI工具的時候可能是首要任務。
[07:01] 業界的東西不是說不能參考,
[07:03] 而是你需要經過轉化,實際上對一般人來講是需要蠻多
[07:08] 的難度,因為業界的東西你沒辦法直接來套用,
[07:11] 是完全不能用的。
[07:13] 好,所以長出來的技能才是你的技能,
[07:15] 是因為你在你自己專業領域真的解決你自己問題的這個
[07:20] 技能優化之後才是你自己的技能。
[07:23] 所以大家其實不太需要去到處上網去下載別人的技能,
[07:29] 或是到處上網去跟別人要技能。
[07:32] 很多時候你在你自己的工作流裡面不斷的去嘗試錯
[07:37] 誤,嘗試錯誤。
[07:39] 最後完成那個技能。
[07:41] 就是對你來說最棒最棒最好的技能。
[07:44] 這樣就是我今天的主題。
[07:47] 好,那我隨便舉幾個範例。
[07:50] 那當然我是老師,我就是以我教學場域為範例去做操
[07:55] 作。那如果你不是老師的話也沒關係。
[07:58] 你還是經由轉換之後可以找到在你自己專業領域能夠
[08:02] 用的地方。
[08:04] 好,那我今天給大家一個Padlet。
[08:07] 那這Padlet的話,我
[08:08] 把它放在這裏。放在這裡。
[08:11] 這Padlet就是我今天的簡單的內容。
[08:15] 我把它貼在聊天室。
[08:16] 那大家可以幫我去看一下,
[08:18] 這邊有一個許願。
[08:19] 許願是說跟大家互動一下。
[08:22] 你可以把你許願要做Skill,
[08:25] 你在這邊。我等一下如果可以的話,
[08:27] 我挑一兩個來做。
[08:29] 所以大家請幫我在這個Padlet這個區段裡面,
[08:33] 去許願你想要做的Skill。
[08:35] 那我等一下分享我的部分之後,
[08:38] 我會回到
[08:38] 這個Padlet。回過頭來看看有哪些人的Skill,
[08:41] 我可以嘗試做做看。
[08:42] 我先講好,我沒有辦法做每個人許願的
[08:47] Skill,因為我並不是非常厲害的人。
[08:50] 我自己也是在這個地方,
[08:53] 我也是在摸索前行。
[08:55] 所以你可以許願,但是我不確定,
[08:59] 我也沒把握能不能做。
[09:01] 好,在今天這個Padlet裡面提供大家兩份資料,
[09:04] 一個是OpenAI Codex基本功。
[09:08] 那Codex 的話我自己用起來我個人感覺是相當不錯的。
[09:11] 那相較於Claude Code,
[09:15] 它能夠做的是,Claude Code 跟OpenAI 的 Codex
[09:18] 能夠做的是基本上大致相同,
[09:20] 他們就是AI agent。
[09:23] 那這邊我題外話講一下就是,
[09:25] 大家不要,就是如果你是新手的話,
[09:29] 你不要先從也就是命令提示介
[09:35] 面去著手。
[09:36] 就是因為那個東西對你來講門檻太高了。
[09:39] 我建議大家是先從Claude Code 的桌面版還有
[09:42] Codex App開始去學你的AI agent。
[09:46] 等到你真的很厲害你是高手的時候,
[09:48] 你再去學CLI 介面。
[09:50] 就是命令列介面。
[09:53] 那我個人建議新手的話不要從命令行介面開始學。
[09:57] 因為那個東西對你的門檻太高了。
[09:59] 你會有挫折感。
[10:02] 所以我這邊給兩個播放清單,
[10:04] 一個分別是Codex基本功,
[10:06] 另外一個分別是Claude Code基本功。
[10:11] 那Codex 的話比較便宜,
[10:13] 那Claude Code比較成熟,
[10:15] 那我覺得Codex 也不會差到哪邊去。
[10:18] 所以如果說你想要低成本去體驗
[10:23] AI agentnt的話,我個人覺得一個月690
[10:27] 塊的OpenAI 是可以
[10:30] 值得你去以AI agentnt 的入門為首要
[10:35] 的選擇。
[10:37] 就是OpenAI的690塊。
[10:40] 那大家可以去從基本功的第一集看。
[10:43] 好,那這邊大家已經開始在許願了。
[10:46] 有些我沒辦法做到啦,我沒辦法做到,
[10:50] 就是我也沒辦法處理。
[10:51] 好,我現在來講一下單一功能Skill。
[10:55] 那大家一定會有一個疑惑,
[10:57] 就是我這個Skill跟我們之前
[10:59] 我之前學過的Google Gem到底有什麼不一樣?
[11:02] 那我這邊我就給一個Gem 的範例給大家看。
[11:05] 那我這邊是我的一個Google Gem。
[11:07] 這個Google Gem 的話,比如說我這個叫無字漫畫生成器。
[11:11] 那這個Jem的用途就是,
[11:14] 它就是專門生成漫畫。
[11:15] 所以呢,我上面就會有我的Jem的提示詞。
[11:19] 那這個是在以前我們生成式AI的時候,
[11:22] 我們常常會做一個機器人,
[11:25] 一個Google Gem,或者是ChatGPT的GPTs,
[11:28] 來去專門
[11:29] 做我們或是做某一件事情。
[11:31] 那大家會疑惑說,那在AI agentnt時代的話,
[11:34] 如果我要做到這樣的效果,
[11:36] 我要怎麼做呢?
[11:37] 我們現在就是不做這種 Gem。
[11:41] 我們做的東西叫Skills,
[11:44] 叫做技能。
[11:45] 我們用一個技能來去包含我們以前的
[11:48] Google Gem或是GPTs。
[11:50] 我所謂的包含的意思是指說,
[11:53] 我們現在使用Skills,能夠做到券的所有的事情。
[11:56] 但是能夠做的事情多很多。
[11:59] 多。
[12:00] 所以我們可以做到我們所以前 Gem 的可以做到的事情。
[12:04] 然後可以做到的事情多很多。
[12:06] 那你說我以前 Gem可以分享,
[12:08] 那我們Skill也可以分享。
[12:10] 那我個人比較推薦,Skill你就自己做就好。
[12:14] 其實你也不太需要去跟別人一樣Skill。
[12:17] 你就自己做就好了。
[12:18] 其實現在AI agent真的很聰明,
[12:20] 你自己做Skill就好了。
[12:22] 因為你長出來的技能才是你的技能。
[12:25] 好不好?所以,實際上我覺得AI時代你不需要,
[12:28] 你不太需要再
[12:29] 次做。跟別人要那個Skill。
[12:31] 除非這個Skill是有難度的,
[12:34] 比如說我今天分享的影片是做簡報的。
[12:38] 那簡報的Skill可能是有難度的,
[12:40] 那你可以拿我的去改,沒關係。
[12:42] 那改完之後還是你的Skill。
[12:45] 好,那比如說我像這樣,
[12:46] 我有一個無字漫畫生成器。
[12:49] 那我就將這個 Gem,我把這個 Gem把它複
[12:55] 製起來。那我現在我要做到的是,
[12:57] 我現在要寫一個Skill,
[12:59] 然後來去做這個無字漫畫生成器。
[13:01] 也就是說,我要做一個四格漫畫。
[13:04] 那以前我都是用Gem來做嘛。
[13:06] 我現在用Skill來做。
[13:07] 那差別在哪裡呢?
[13:09] 差別在這裡。
[13:10] 那今天我就用Claude來做示範。
[13:16] 用Claude Code來做示範。
[13:17] 在Codex 那邊操作方式,
[13:20] 基本上是一模一樣。
[13:21] 如果今天你使用Codex 的話,
[13:24] 你用Codex 跟著我操作,
[13:28] 好,所以我們在做的時候,
[13:29] 我們在agent 時代我們使用的是本地端,
[13:33] 所以本地端的話我們就是以資料夾為一個專
[13:39] 案的內容。
[13:41] 所以比如說我現在要做漫畫,
[13:43] 我就是要新建一個資料夾,
[13:44] 專門來做漫畫的。
[13:46] 所以我這邊在雲端硬碟就建一個資料夾,
[13:49] 那我就2026 COMIC
[13:56] 好 所以我就建一個資料夾 2026 COMIC 像這樣
[14:02] 好 那這個資料夾就是專門來放我漫畫的資料夾。
[14:05] 大家可以理解這件事情嗎?
[14:07] 所以在AI agentnt時代,原則上我們最簡單的方式,
[14:11] 我們就是用一個資料夾來當作是我們這個專案
[14:14] 產生的所有內容放置的地方。
[14:17] 所以大家稍微要變換一下在AI agentnt時代,
[14:20] 你使用AI工具的邏輯。
[14:22] 我們就是用一個資料夾
[14:24] 來去做事情。
[14:25] 那如果你想要把東西上雲端的話,
[14:29] 你就使用Google 雲端硬碟或是OneDrive都可以。
[14:32] 你只要是雲端的資料夾都是可以處理的。
[14:36] 好,創完資料夾之後,我在Claude Code 裡面,
[14:39] 我這邊就創一個New Session。
[14:41] 這邊,就是新的對話。
[14:44] 那這新的對話呢,我在這個地方,
[14:46] 我就是要去選我的資料夾。
[14:49] 所以你選資料夾的地方選這個Open Folder。
[14:54] 然後選進去我剛剛新增的那個資料夾,
[14:57] 所以我新增資料夾在Google 雲端硬碟裡面,
[15:00] 所以我選雲端硬碟,然後我一個2026 COMIC,
[15:04] 所以我就選那個2026 COMIC,
[15:06] 選它。
[15:07] 選它之後,那我是不是要做一個新的嗎?
[15:12] 所以我這邊就寫專案初始化,
[15:15] 那專案初始化的話,原本上它就會幫我建好所有需要的
[15:19] 東西,包含它會幫我建一個檔案叫做ClaudeC
[15:22] laude.md就是記錄這個專案重要資訊的檔案。
[15:27] 所以你在這個資料夾裡面,
[15:28] 這個資料夾是做什麼的?
[15:30] 我們會用一個MD檔叫做Claude.md來去記錄說我這個資
[15:35] 料夾裡面的專案是做什麼事情的。
[15:38] 那一般我們在專案初始化的時候,
[15:40] 我們都會做這件事情。
[15:41] 那我告訴他說此專案不上Obsidian,
[15:47] 然後不上GitHub。
[15:49] 那因為我之前設定都有上了。
[15:52] 所以你對話的時候他會問你說這是一個新的資料夾,
[15:58] 你要信任這個新的資料夾嗎?
[16:00] 新的資料夾才會問這個問題,
[16:02] 然後就選確認。
[16:04] 所以他就會開始做專案初始化。
[16:07] 我看一下我的語音軟體。
[16:22] 我的
[16:27] Tablet ok好
[16:34] 那可能要稍等一段時間他建立一些相關的檔案那
[16:42] 使用起來你們可以如果你使用agent的話你就可以把你
[16:46] 所有的Google Gem去把它做成對應的技能。
[16:50] 那它不是那麼單純就是變成技能而已。
[16:56] 它是比那個聊天機器人還要強大
[17:00] 10倍的東西。
[17:01] Skill是比聊天機器人還要強大10倍的東西。
[17:05] 所以它說資料夾是空的,
[17:09] 它要建立Claude.md。
[17:10] 所以就用2026comic,然後專案這個專案要做什麼?
[17:14] 它已經幫我做做
[17:16] 這個,你就回答一下,那要不要GitInitial,
[17:20] 就是原則上還是要啦,
[17:23] 所以你就回答他這四個問題,
[17:26] 第一個就是用2026Com
[17:33] ic,然後第二個問題是漫畫創作,
[17:37] 然後
[17:44] 第三個問題是,
[17:45] 無法創作。
[17:46] 5 截止日期。
[17:47] 第四個要。
[17:50] 做Git的話是做版本控制。
[17:53] 所以原理上像這個,
[17:57] 比如說你做壞掉可以回到之前的版本。
[18:01] 所以原理上我們一般都會做Git。
[18:05] 所以它就會去幫我生成這個專案需要建立的
[18:10] 事項。
[18:14] 專案開始之前都要做這些事情。
[18:17] 比如說我現在要做一個漫畫的,
[18:20] 那我就要建立一個專案。
[18:21] 在這個專案資料檔面,我要去建這兩個檔案。
[18:24] 這個Git Ignore就是比如說你有一些敏感資訊、
[18:27] 個人資料或是API Key的時候,
[18:29] 它推上網的時候,它會幫你擋掉的那些資訊,
[18:33] 它會放在Git Ignore裡面。
[18:35] 所以這個東西都是必備的。
[18:39] 所以原則上我們在做一個專案的時候,
[18:43] 就是都會有這些檔案。
[18:44] 這個Claude.md有點像是我們這個專案的使用藍圖
[18:50] 或是使用說明書注意事項。
[18:52] 一般都會放在這個地方。
[18:54] 如果你使用的是Codex 的話,
[18:56] 它是另外一個檔案叫做agents.md。
[18:59] 功能是一樣的,就是專案的資訊、
[19:03] 專案的藍圖、專案需要你的喜好、
[19:06] 你要做的事情。
[19:07] 他就會放在這個檔案裡面。
[19:10] 所以我們每次進來這個資料夾的時候,
[19:12] AI在工作的時候,他都會先去讀這個檔案。
[19:15] 他知道說這個資料夾是做什麼的,
[19:18] 他讀這個檔案他就懂了。
[19:20] 那我個人建議這個檔案不可以放太多東西,
[19:23] 因為這個檔案是他每次對話都會讀。
[19:25] 所以如果你放太多資訊的話,
[19:28] 會吃掉你的上下文。
[19:29] 所以你必須要精簡地去做這個Claude.md
[19:34] 的控制,不要讓它裡面有太多
[19:37] 東西。好,那現在你不曉得怎麼做嘛,
[19:41] 我們現在一開始做好的時候,
[19:42] 我們是不是要把那個Gem 做複製?
[19:44] 所以我的Gem 裡面,我不是有Gem 的提示詞嗎?
[19:47] 我就把它在這個地方,我就跟他講說以上
[19:55] 是我在Google Gem 裡面做的漫畫生成器,
[20:00] 我想要把這個生成器變成是一個技能專門去生
[20:06] 成我提供的教材或我提供的文件,
[20:10] 做成四個漫畫。
[20:12] 一頁式漫畫。
[20:14] 是直式的一頁式漫畫。
[20:16] 我應該要如何處理?
[20:21] 那因為現在AI已經非常聰明,
[20:24] 應該說論聰明程度,現在最聰明就是Obs 4.7,
[20:28] 還有GPT 5.5,是現在最聰明的兩個AI。
[20:31] 所以以前我們在Google裡面寫的可能提示詞沒有很好。
[20:35] 所以這邊我還是會再問他一次說,
[20:40] 這個是我以前在Google Gem 裡面做的。
[20:43] 那 Gem 這邊,
[20:44] 把這個
[20:50] 生息變成這樣。
[20:51] 好,我該如何處理,好,像這樣。
[20:55] 他就會根據我的提示詞去幫我處理一下,
[21:00] 現在我這個技能要怎麼樣處理會比較好。
[21:05] 你可以把你的所有在Google Gem 裡面的這些券全部
[21:11] 把它改成技能。
[21:12] 我會建議說,因為技能是很強大,
[21:14] 所以你可以把一些比較同類性質的券,
[21:18] 把它做成一個技能就好了。
[21:20] 同類性質,比如說你都生成圖片類的,
[21:23] 你就是一個技能就可以處理了。
[21:27] 好,所以建議架構,
[21:30] 你看他就是會給一些建議嘛。
[21:32] 比如說這個叫做Comic 4 Panel好了好不好?
[21:36] 所以這樣。
[21:37] 觸發時,他就會說你要怎麼觸發。
[21:40] 像我們做成技能比較好是因為他看到關鍵字才觸發。
[21:43] 也就是說你在任何地方都能用,
[21:46] 只不過我們做出來的教材會放在這個資料夾。
[21:50] 技能是任何地方都能用,
[21:52] 任何對話都能用。
[21:54] 但你做出來的教材會放在這個資料夾。
[21:56] 那如果你選別的資料夾就會生成在別的資料夾。
[21:59] 所以差別就差別在這個地方而已。
[22:02] 好。
[22:04] 那流程的話,SKILL.md它裡面就是會去做以下四
[22:10] 步。那這四步的話就是這樣這樣。
[22:12] 讀教材,萃取敘事重點,
[22:16] 然後組合英文 prompt。
[22:20] 然後它直式的嘛,1024×1536,
[22:22] 由上至下四格。
[22:24] 預設卡皮巴拉風格,因為這個卡皮巴拉風格是因為我的
[22:28] 鍵裡面預設是卡皮巴拉風格。
[22:31] 那你可以去指定風格是沒有問題的。
[22:35] 那這邊的話呼叫GPT-Image 2,
[22:38] 然後走Draw,Draw是我另外一個技能。
[22:40] 所以在我的Claude Code 裡面有一個專門生圖的技能。
[22:43] 所以它在使用這個技能的時候會呼叫另外一個技能。
[22:46] 所以技能可以呼叫技能。
[22:48] 你可以做連鎖
[22:49] 反應。是沒有問題的。
[22:50] 這個是比Google Gem還要強大的地方之一。
[22:56] 技能又要全域可用。
[22:58] 這邊的話就是說全域可用是指說你是不是要在每個對
[23:02] 話都能用,還是只有在這個專案資料夾裡面可以用?
[23:05] 專案看你怎麼決定?
[23:07] 那原則上比如說你做四格漫畫,
[23:09] 你可能不一定會在這個專案資料夾裡面做。
[23:12] 所以我會傾向於放在全域可用。
[23:15] 那如果有一些是你特殊技能,
[23:17] 就是只有在某個地方才用的,
[23:19] 你可以只放在這個專案使用就好。
[23:22] 所以這個技能就只會在這個專案使用。
[23:23] 也可以這樣子。
[23:26] 好,那他說要不要說讓Claude先做重點摘要讓你過目,
[23:30] 確認後才生成。
[23:32] 好,原則上應該是要會比較好。
[23:34] 角色一致性,四格要長得一樣嗎?
[23:37] 好,所以Image 2維持一致性是沒有問題的。
[23:40] 那預設風格,沿用卡皮巴拉還是要支援切換這些呢?
[23:45] 好,像這樣。
[23:46] 回答我之後就直接建Skill。
[23:49] 所以像這樣。
[23:49] 他非常聰明。
[23:50] 那你就按照原來的問題去回答他就好了。
[23:54] 那我應該講說全域。
[23:55] 全域技能。
[23:57] 第二個,要。
[24:00] 然後再來,3。
[24:03] 要角色一致。
[24:04] 跨頁要角色一致。
[24:08] 連續生成多頁時要角色一致。
[24:15] 好,為什麼我會提這個是因為你知道我們Skill
[24:19] 的好處是它可以一次生成3頁、
[24:21] 4頁、5頁、6頁、7頁、
[24:22] 8頁。這個就是AI agent。
[24:24] 它不像說Gem一次生成1頁。
[24:26] 沒有,在Skill裡面你可以一次10頁是沒有問題的。
[24:30] 所以我這邊會多一個選項說,
[24:32] 連續生成多頁的時候角色要一致。
[24:36] 好,然後再來,
[24:39] 這邊,預設風格。
[24:44] 預設風格在使用者生成
[24:49] 的時候去詢問使用者給多個風格適合
[24:55] 要生成的漫畫內容來去讓使用者選擇。
[24:59] 在Skill裡面就是你在做這個Skill的時候它是可以生
[25:04] 出來選項讓你去選的。
[25:05] 所以你完完全可以達到說你讓使用者去問了什麼問題
[25:09] 之後然後再去做選擇。
[25:11] 所以我就做完這樣子然後就按提
[25:14] 他就會幫我生成這個技能。
[25:18] 那這個技能的話,他就可以變成是把我以前
[25:22] Google Gem 的一個單一功
[25:27] 能,把它變成是一個Skill。
[25:29] 那這Skill的好處是,他在任何對話裡面都能夠生成。
[25:33] 然後再來,他可以連續做生成。
[25:38] 好,所以他會放在這個地方。
[25:41] 那你所有的Skill會放在你這個
[25:44] 資料。那你會有一個專門放
[25:48] Skill的資料夾,你所有Skill都放在裡面。
[25:50] 那如果你要分享給別人的時候,
[25:52] 你只要給他Skill的資料夾,
[25:56] 別人拿到Skill資料夾,
[25:58] 他就可以做到一樣的事情。
[26:03] 所以這邊的話他就會幫我去創作。
[26:05] 那他在創作同時,我們來看一下,
[26:09] 就是我來看一下,我給大家看一下我這邊有一個,
[26:16] 我看一下。
[26:18] 這個就是我生成封面的技能。
[26:24] 大家有看到嗎?
[26:24] 像我現在生成我的U2的封面,
[26:27] 我就是都用這邊來生成。
[26:29] 好,那正在創造技能。
[26:32] 那比如說,假設我現在這個資料夾的技能是生成
[26:38] U2封面技能。
[26:39] 比如說我現在隨便生成一個。
[26:44] 專業的領
[26:50] 域才是你應該學習的對象。
[26:55] 不斷的事物嘗試長出來的技能才
[27:01] 是屬於你的技能。
[27:04] 比如說我給他一段文字,
[27:06] 然後跟他說生成Y
[27:12] T封面。
[27:14] 像我這個資料夾,
[27:19] 我有一個技能是專門生成YT封面的技能。
[27:22] 所以我只要告訴他我要生成YT封面的標題是什麼。
[27:27] 然後跟他講說生成YT的封面縮圖或是什麼,
[27:31] 反正就是有一個關鍵字他會觸發。
[27:33] 所以我跟他講說生成YT封面。
[27:35] 然後在這個資料夾裡面,
[27:37] 我有放我的人物形象照。
[27:39] 所以他會自動去讀我的人物形象照的照片。
[27:42] 然後搭配我給他的這個文字,
[27:46] 然後來去生成我的Youtube封面的圖片。
[27:50] 所以像現在我的YouTube封面的圖片,
[27:52] 因為上都是Claude去幫我生成的,
[27:55] 我只要給它標題就好了。
[27:57] 它就可以做得非常的好。
[27:58] 所以像這個就是我的其中一個技能。
[28:02] 所以它就告訴我說它會做這個東西,
[28:06] 然後接下來它就幫我產生圖片。
[28:08] 那圖片的話要稍微等一下。
[28:10] 所以你會發現說在這個AI agentnt時代原則上,
[28:14] 你可以做到任何你想做的事情。
[28:16] 那這個東西能不能自動呢?
[28:18] 可以。它可以變這個
[28:19] 你的工作流裡面的一個東西,
[28:21] 比如說我貼給他一個字,
[28:23] 或貼給他一個什麼東西,
[28:24] 他就自動幫我產生各式各樣的內容。
[28:27] 比如說YouTube封面、關鍵字、
[28:30] 影片的說明,像這些東西,
[28:34] 他就會幫我全部都把他產生好。
[28:37] 好,所以他現在正在跑,
[28:40] 跑的話稍微要一點時間。
[28:42] 那我們先來看一下我們剛剛的技能。
[28:47] 剛才技能在哪裡啊?
[28:52] COMIC對不對好
[28:59] 所以我們看一下這邊
[29:01] 的話好他問說要允許嗎?
[29:05] 好允許他就是創造了這個技能
[29:10] 好完成了像這樣技能建立完成了像
[29:14] 這樣好所以它現在建好之後我就可以去做這個技
[29:21] 能的生成。
[29:22] 比如說我要怎麼生成呢?
[29:23] 例如我現在拿一個示範給大家看,
[29:28] 比如說我拿我的Style型選擇的教材,
[29:33] 那我把它放到這個地方來。
[29:35] 我們在用的時候都是這樣用的,
[29:38] 我就示範給你看說一般我們是怎麼用的。
[29:41] 所以我們在Coming的地方,
[29:43] 這個是要假的。
[29:43] 我們就把我們要生成的教材放到這個地方來。
[29:47] 所以你看我現在在這個資料夾裡面喔。
[29:50] 我的Comic資料夾裡面,
[29:53] 我是有這個GitIgnor跟Claude.md。
[29:57] 然後跟我要生成漫畫的教材,
[29:59] 我把它放到這個地方來。
[30:00] 比如說我拿的是二下貝克、
[30:03] 三之三、三角形全等的性質。
[30:07] 好,那我這邊的話,我要產生的是我利用我教材然後來
[30:12] 去生成四個漫畫。
[30:13] 所以我就把我的教材丟到資料夾裡面來。
[30:16] 在資料夾裡面呢,實際上我們是可以看到資料夾內容。
[30:19] 所以比如說你在這個對話裡面的右邊,
[30:22] 你就選這邊,把它展開視窗,
[30:24] 然後看我們的file。
[30:26] 看出我這個資料夾裡面有什麼檔案。
[30:28] 所以那個檔案就會出現在這裡。
[30:30] 所以我們就點它。
[30:33] 選這個Copy file name。
[30:35] 因為你還是要告訴它是什麼教材。
[30:38] 所以我們一般會給它名字。
[30:41] 然後你就跟它講說這樣。
[30:46] 根據我提供的教材裡面,
[30:48] 每一個重點生成一頁四個漫畫。
[30:52] 裡面有幾個重點,就是生成幾頁?
[30:59] 提交。
[31:02] 好,然後他就會去跑。
[31:03] 所以你看喔,他就看到四個漫畫,
[31:05] 他就會去跑這個Skill。
[31:08] 所以它就自動觸發這個Skill。
[31:10] 實際上,你這Skill在任何的對話裡面都可以完成。
[31:15] 它就會去讀PDF。
[31:17] 現在的話,Claude Code在讀這個圖片
[31:22] 的能力是很強的。
[31:25] 所以我會建議大家可以把教材
[31:31] 給它,讓它去試試看,是沒有問題的。
[31:35] 好!所以我們讓他讀一下,
[31:36] 我們回過頭來看我們的封面。
[31:39] Youtube封面。
[31:41] 好!
[31:42] 所以Youtube封面,來大家看一下,
[31:43] 有沒有看到?大家看到嗎?
[31:46] 這時候聊天室是不是要刷一排888?
[31:50] 你看,他就是會幫我生成Youtube封面。
